TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA
ADV,11.97,undefined,None,13.60,undefined, 19.06 
ADVM,10.21,undefined,-1.38,N/A,undefined, -5.04 
ADXN,10.34,undefined,None,,undefined, -3.14 
ADXS,0.752,undefined,-0.327,N/A,undefined, -3.19 
AEACU,9.94,undefined,None,,undefined,Not Found!
AEGN,29.15,-34.75198675496689,-1.015,15.00,-1.1921779332750222, 15.05 
AEHL,3.9,undefined,None,N/A,undefined, 1.56 
AEHR,2.37,-8.055496688741721,-0.194,20.00,-3.398943750523933, -9.31 
AEI,11.46,undefined,None,N/A,undefined, -4.78 
AEIS,102.08,73.6133986754967,3.499,5.94,0.7211343914135648, 17.78 
AEMD,2.04,undefined,-0.706,N/A,undefined, -1.77 
AEP,84.72,94.34211920529802,4.42,6.15,1.1135755335847264, 12.27 
AEPPZ,49,undefined,None,,undefined, 12.27 
AERI,18.145,339.40842384105963,-3.989,-66.90,18.70534162805509, -6.95 
AESE,3.04,undefined,-0.758,N/A,undefined, -5.2 
AEY,2.59,undefined,-1.513,N/A,undefined, -2.26 
AEYE,27.49,undefined,-0.774,N/A,undefined, -46.46 
AEZS,1.17,undefined,-0.125,N/A,undefined, -18.32 
AFIB,13.76,undefined,None,N/A,undefined, -3.13 
AFIN,9.68,undefined,-0.43,N/A,undefined, 15.65 
AFINO,24.99,undefined,None,,undefined,Not Found!
AFINP,25.7,undefined,-0.43,,undefined,Not Found!
AFMD,7.975,undefined,-0.607,N/A,undefined, -18.18 
AFRM,69.56,undefined,None,-2.43,undefined, -276.98 
AFYA,19.67,undefined,None,10.36,undefined, 17.5 
AGBA,10.58,undefined,None,,undefined, -168.87 
AGBAU,9.24,undefined,-0.048,,undefined, -168.87 
AGC,12.05,undefined,None,N/A,undefined, 12.29 
AGCUU,12.74,undefined,None,,undefined,Not Found!
AGEN,2.82,undefined,-1.05,N/A,undefined, -4.64 
AGFS,2.12,-43.27735099337749,-1.264,15.00,-20.413844808196927, 7.01 
AGFY,12,undefined,None,N/A,undefined, -75.77 
AGIO,49.38,-335.2923841059603,-4.745,40.00,-6.790044230578378, -9.88 
AGLE,8.13,undefined,-1.516,N/A,undefined, -2.81 
AGMH,13.59,undefined,-0.077,,undefined, -244.32 
AGNC,16.79,-8.12543046357616,-0.66,-0.05,-0.48394463749709116,Not Found!
AGNCM,25.54,undefined,-0.66,,undefined,Not Found!
AGNCN,25.8199,undefined,-0.66,,undefined,Not Found!
AGNCO,24.68,undefined,-0.66,,undefined,Not Found!
AGNCP,23.8,undefined,None,,undefined,Not Found!
AGRX,2.04,undefined,-0.612,N/A,undefined, -2.92 
AGTC,5.27,undefined,-2.269,N/A,undefined, -3.27 
AGYS,48.07,-13.802304635761592,-1.108,0.05,-0.287129283040599, -72.57 
AGZD,46.9,undefined,None,,undefined,Not Found!
AHAC,10.59,undefined,None,,undefined, -593.22 
AHACU,12.05,undefined,None,,undefined, -593.22 
AHCO,34.29,undefined,None,29.89,undefined, 88.97 
AHPI,4.65,undefined,-0.08,N/A,undefined, 83.09 
AIA,89.78,undefined,None,,undefined,Not Found!
AIH,7.41,undefined,None,N/A,undefined, -8.56 
AIHS,1.33,undefined,-0.318,,undefined, -9.25 
AIKI,1.17,undefined,None,N/A,undefined, -9.09 
AIMC,54.76,-13.524172185430464,-0.395,15.00,-0.24697173457688942, 23.67 
AINV,13.62,-19.904900662251656,-1.188,3.00,-1.4614464509729557,Not Found!
AIQ,27.62,undefined,None,,undefined,Not Found!
AIRG,20.43,-21.548344370860928,-0.34,35.00,-1.0547403020489932, -94.54 
AIRR,39.23,undefined,None,,undefined,Not Found!
AIRT,23.7,undefined,-0.38,N/A,undefined, 56.74 
AKAM,99.54,92.99414569536425,3.37,10.44,0.9342389561519414, 15.85 
AKBA,3.24,undefined,-2.769,N/A,undefined, -1 
AKER,3.35,undefined,-2.493,N/A,undefined, -1.6 
AKRO,29.52,undefined,-2.517,N/A,undefined, -9.38 
AKTS,12.8,undefined,-1.107,N/A,undefined, -17.45 
AKTX,2.62,undefined,-0.636,N/A,undefined, -4.56 
AKU,3.53,undefined,None,N/A,undefined, 8.62 
AKUS,17.91,undefined,None,70.30,undefined, -6.62 
ALAC,10.9,undefined,0.004,,undefined, -105.04 
ALACU,13.68,undefined,0.004,,undefined, -105.04 
ALACW,0.4488,undefined,0.004,,undefined,Not Found!
ALBO,33.7,undefined,-6.734,N/A,undefined, -4.43 
ALCO,29.28,undefined,3.559,N/A,undefined, 6.94 
ALDX,11.34,-132.45631788079473,-1.106,73.70,-11.680451312239395, -12.94 
ALEC,15.89,27.084185430463585,-2.446,-16.10,1.7044798886383628, -5 
ALGM,24.43,undefined,None,13.69,undefined, 71.8 
ALGN,517.87,1205.1237218543044,22.41,28.41,2.3270776871691825, 85.15 
ALGS,20.16,undefined,None,N/A,undefined, -6.93 
ALGT,247.01,146.09777483443708,-11.526,-17.20,0.5914650209887741, -40.52 
ALIM,9.71,undefined,-1.043,N/A,undefined, 41.02 
ALJJ,1.45,undefined,-1.551,N/A,undefined, -5.46 
ALKS,19.8,5.694940397350993,-0.698,-14.10,0.2876232523914643, -478.66 
ALLK,112.22,9.036026490066225,-3.101,-10.50,0.08052064239944952, -35.37 
ALLO,34.48,-28.77556291390729,-2.079,1.00,-0.8345580891504435, -16.39 
ALLT,14.62,-38.550993377483444,-0.27,89.50,-2.636866852085051, -164.29 
ALNA,1.49,undefined,-1.01,N/A,undefined, -1.79 
ALNY,135.24,-593.6499814569538,-7.464,46.09,-4.389603530441835, -20.12 
ALOT,14.75,undefined,0.18,N/A,undefined, 15.88 
ALPN,11,undefined,-1.342,N/A,undefined, -6.74 
ALRM,83.41,63.53046357615895,1.53,20.00,0.7616648312691399, 38.01 
ALRN,1.5,-9.420662251655628,-0.61,2.10,-6.280441501103752, -6 
ALRS,31.41,undefined,2.52,N/A,undefined,Not Found!
ALSK,3.25,1.1917880794701987,-0.02,-49.40,0.3667040244523688, 7.31 
ALT,14.12,undefined,-1.913,N/A,undefined, -5.55 
ALTA,42.22,55.05099337748345,2.29,8.00,1.3039079435690064,Not Found!
ALTM,53.41,10.559125827814569,0.282,17.20,0.19769941636050495, 15.22 
ALTO,5.365,undefined,None,20.00,undefined, 20.14 
ALTR,60.66,-12.223564238410596,-0.143,50.17,-0.2015094665085822, 126.77 
ALTUU,10.66,undefined,None,,undefined,Not Found!
ALTY,12.58,undefined,None,,undefined,Not Found!
ALVR,21.83,undefined,None,N/A,undefined, -13.9 
ALXN,152.97,68.4791523178808,2.72,8.78,0.4476639361827862, 33.68 
ALXO,67.76,undefined,None,N/A,undefined, -49.59 
ALYA,2.37,-22.973973509933778,-0.671,15.00,-9.693659708832817, -8.01 
AMAL,15.34,undefined,1.48,N/A,undefined,Not Found!
AMAT,119.72,181.40556026490069,4.181,21.28,1.5152485822327153, 23.34 
AMBA,96.9,-46.6187867549669,-1.724,10.06,-0.4811020304950144, -58.17 
AMCA,34.2863,undefined,None,,undefined,Not Found!
AMCX,60.87,-25.01298013245033,4.64,-12.20,-0.4109245955717156, 2.84 
AMD,76.22,104.67897218543048,2.064,26.31,1.3733793254451652, 54.9 
AMED,267.77,207.17181456953645,5.52,17.26,0.7736931492308192, 31.52 
AMEH,25.92,undefined,1.01,N/A,undefined, 6.16 
AMGN,246.25,278.1733907284768,12.31,7.01,1.129638134937977, 12.96 
AMHC,9.85,undefined,None,,undefined, -157.97 
AMHCU,10.15,undefined,None,,undefined, -157.97 
AMKR,22.11,82.03814569536424,1.4,31.72,3.7104543507627423, 6.45 
AMNB,33.24,49.71854304635762,2.73,4.00,1.4957443756425275,Not Found!
AMOT,50.75,80.21258278145696,1.43,30.00,1.5805435030828958, 16.7 
AMPH,17.9,1.4642384105960264,0.03,25.00,0.08180102852491769, 28.61 
AMRB,16.23,41.08609271523179,1.2,15.00,2.5314906170814413,Not Found!
AMRK,36.3,undefined,8.33,N/A,undefined, 6.3 
AMRN,5.91,-3.4529801324503313,-0.05,38.90,-0.5842605977073319, -150.15 
AMRS,19.88,-105.45430463576159,-1.88,30.00,-5.304542486708329, -20.41 
AMSC,19.4,-45.14735099337749,-0.925,25.00,-2.3271830408957475, -31.23 
AMSF,64.57,120.48278145695365,4.47,10.00,1.8659250651533785,Not Found!
AMST,4.98,undefined,None,N/A,undefined, -20.06 
AMSWA,20.56,6.103907284768214,0.171,16.00,0.2968826500373645, 56.33 
AMTB,17.73,undefined,-0.041,N/A,undefined,Not Found!
AMTBB,15.85,undefined,-0.041,,undefined,Not Found!
AMTI,48.08,undefined,None,38.70,undefined, -24.75 
AMTX,23.1,undefined,-1.745,N/A,undefined, -172.93 
AMWD,94.41,97.38496688741722,4.051,8.00,1.031511141694918, 9.9 
AMYT,12.75,undefined,None,N/A,undefined, -17.11 
AMZN,3046.26,2785.157748344371,41.83,37.20,0.9142876013027026, 30.09 
ANAB,21.12,undefined,-0.73,N/A,undefined, -9.66 
ANAT,110.53,undefined,17.38,N/A,undefined,Not Found!
ANDA,10.21,undefined,-0.173,,undefined, -39.62 
ANDAU,12.23,undefined,-0.173,,undefined, -39.62 
ANDE,27.81,5.529139072847683,0.23,8.00,0.19881837730484297, 11.96 
ANGI,13.9,-1.1513867549668875,-0.013,52.29,-0.08283357949402068, 75.04 
ANGL,31.77,undefined,None,,undefined,Not Found!
ANGO,21.12,-153.798940397351,-4.492,15.00,-7.282146799116998, -5.34 
ANIK,36.53,-45.55165562913907,-1.69,10.00,-1.2469656618981404, -446.82 
ANIP,31.41,-29.386026490066225,-1.885,2.20,-0.9355627663185682, 20.69 
ANIX,4.73,undefined,-0.413,N/A,undefined, -12.92 
ANNX,29.13,undefined,None,38.60,undefined, -11.12 
ANPC,5.9,undefined,None,N/A,undefined, -8.98 
ANSS,327.88,119.4774834437086,4.97,8.00,0.3643939351095175, 48.69 
ANTE,3.34,-105.17821192052982,-2.533,20.00,-31.49048261093707, -0.65 
ANY,2.37,-50.8658940397351,-1.225,20.00,-21.462402548411436, -6.28 
AOSL,30.85,22.997284768211923,0.619,17.00,0.7454549357605161, 15.94 
AOUT,25.25,undefined,None,N/A,undefined, 8.75 
APA,18.34,290.41456953642387,-12.86,-24.00,15.83503650689334, -6.33 
APDN,7.98,undefined,-3.236,N/A,undefined, -4.23 
APEI,36.73,42.79801324503311,1.25,15.00,1.1652059146483287, 12.31 
APEN,5.3,undefined,-0.994,N/A,undefined, -12.18 
APHA,17.94,undefined,-0.632,,undefined, -50.86 
API,53.21,undefined,None,26.70,undefined, -6099.32 
APLS,41.16,-75.53488741721856,-4.588,2.80,-1.8351527555203733, -9.07 
APLT,20.21,undefined,-4.278,N/A,undefined, -4.49 
APM,3.05,undefined,-0.536,N/A,undefined, -5.43 
APOG,38.5,90.28668874172187,2.637,15.00,2.3451087984862826, 8.16 
APOP,4.77,undefined,-0.854,N/A,undefined, -12.32 
APPF,139.45,216.70728476821196,4.44,25.00,1.5540142328304911, 116.96 
APPN,141.88,undefined,-0.485,N/A,undefined, -372.36 
APPS,75.69,35.11549668874173,0.412,50.00,0.46393838933467735, 129.38 
APRE,5.21,undefined,-26.67,N/A,undefined, -0.37 
APTO,5.88,undefined,-0.675,N/A,undefined, -6.79 
APTX,3.02,undefined,-1.024,N/A,undefined, -1.2 
APVO,30.13,undefined,-5.835,N/A,undefined, -4.61 
APWC,3.48,undefined,0.051,N/A,undefined, 10.51 
APXT,11.92,undefined,None,,undefined, -93.51 
APXTU,13.41,undefined,None,,undefined, -93.51 
APYX,10.09,-15.886622516556292,-0.464,15.00,-1.574491825228572, -13.18 
AQB,6.43,undefined,-0.451,N/A,undefined, 2.67 
AQMS,4.11,-26.808675496688746,-0.423,35.00,-6.5227920916517625, -12.18 
AQST,4.49,undefined,-1.658,N/A,undefined, -4.18 
ARAV,6.98,-498.1779072847682,-1.934,168.30,-71.37219302074043, -3.33 
ARAY,4.85,-29.20900662251656,0.08,-259.10,-6.022475592271457, 12.25 
ARBGU,10.02,undefined,None,,undefined,Not Found!
ARCB,67.63,93.27708609271525,2.69,15.30,1.3792264689149085, 8.22 
ARCC,18.47,12.623046357615895,1.14,-0.90,0.6834351032818569,Not Found!
ARCE,26.81,2.484397350993378,0.116,6.20,0.0926668165234382, 26.26 
ARCT,42.15,undefined,-3.553,N/A,undefined, -8.96 
ARDS,6.05,-244.64932450331125,-2.484,59.10,-40.437904876580376, -2.73 
ARDX,6.15,-59.06562913907285,-1.053,30.00,-9.604167339686642, -5.53 
AREC,3.9,undefined,-0.349,N/A,undefined, -51.3 
ARGX,293.45,133.04380529801327,-13.899,-15.07,0.4533781063145792, -65.37 
ARKO,10.26,undefined,None,N/A,undefined,Not Found!
ARKR,20.53,undefined,-1.995,N/A,undefined, -20.85 
ARLP,5.58,-2.4720423841059604,-1.016,-6.83,-0.4430183484060861, 5.68 
ARNA,70.61,125.97258278145696,-7.39,-20.20,1.7840615037736434, -7.78 
AROW,33.89,59.23390728476822,2.64,6.90,1.7478284828789679,Not Found!
ARPO,1.6,undefined,-0.101,N/A,undefined, -4.5 
ARQT,28.19,-273.7946622516557,-10.269,9.80,-9.712474716270156, -8.27 
ARRY,28,7.5127231788079465,0.486,2.11,0.2683115421002838, 73.65 
ARTL,1.74,undefined,-0.882,N/A,undefined, -3.94 
ARTNA,39.21,32.599337748344375,1.79,4.00,0.8314036661143681, 13.07 
ARTW,3.15,undefined,-0.48,N/A,undefined, -10.67 
ARVN,62.82,undefined,-3.018,N/A,undefined, -19.5 
ARWR,65.21,-23.1788940397351,-1.005,7.33,-0.35544999294180496, -59.05 
ARYA,12.26,undefined,-0.078,N/A,undefined, -1345.97 
ASET,31.2796,undefined,None,,undefined,Not Found!
ASLEW,2.33,undefined,None,,undefined,Not Found!
ASLN,3.65,undefined,-1.162,N/A,undefined, -1.09 
ASMB,4.46,-65.16516556291391,-1.754,17.00,-14.611023668814779, 0.55 
ASML,584,377.4185960264901,10.119,17.10,0.646264719223442, 46.81 
ASND,131.39,-467.68576158940397,-9.877,24.00,-3.5595232634858363, -13.45 
ASO,23.93,undefined,None,41.90,undefined, 8.88 
ASPS,8.64,-178.96490066225167,-4.31,20.00,-20.71353016924209, -2849.99 
ASPU,6.24,-27.063642384105968,-0.383,40.00,-4.337122176940059, -37.02 
ASRT,0.7099,-13.17814569536424,-0.27,25.00,-18.56338314602654, -20.82 
ASRV,4.13,undefined,0.27,N/A,undefined,Not Found!
ASTC,2.07,undefined,-0.845,N/A,undefined, -3.98 
ASTE,70.65,55.25496688741722,2.05,10.00,0.7820943650023668, 21.35 
ASUR,7.8,-50.27218543046359,-1.03,25.00,-6.445151978264563, 61.79 
ASYS,11.09,-38.61655629139073,-0.93,20.00,-3.482106067753898, 404.45 
ATAX,5.83,undefined,0.07,N/A,undefined,Not Found!
ATCX,9.39,undefined,None,N/A,undefined, 19.83 
ATEC,17.05,-35.21384105960265,-1.179,12.00,-2.0653279213843194, -31.07 
ATEX,45.15,undefined,-3.191,N/A,undefined, -15.83 
ATHA,17.96,undefined,None,N/A,undefined, -40.43 
ATHE,1.47,undefined,-0.66,N/A,undefined, -2.21 
ATHX,1.74,-174.58092715231788,-0.42,276.80,-100.33386617949304, -4.54 
ATIF,1.32,undefined,-0.374,,undefined, -9.26 
ATLC,27.14,127.89139072847684,3.08,20.00,4.71228410937645,Not Found!
ATLO,26.11,undefined,2.061,N/A,undefined,Not Found!
ATNI,47.21,-36.955629139072855,-0.89,20.00,-0.7827923986247163, 9.72 
ATNX,4.65,55.41744635761591,-1.718,-30.64,11.917730399487292, -2.8 
ATOM,23.57,undefined,-0.793,N/A,undefined, -34.96 
ATOS,2.26,undefined,-1.378,N/A,undefined, -19.46 
ATRA,14.77,undefined,-4.145,N/A,undefined, -2.5 
ATRC,62.39,-47.46099337748344,-1.143,20.00,-0.7607147520032608, -80.91 
ATRI,644.3,undefined,17.44,N/A,undefined, 23.89 
ATRO,17.26,-353.3403973509934,-3.76,56.00,-20.471633681981075, 37.87 
ATRS,4.05,42.02145695364239,0.33,78.90,10.375668383615405, 41.21 
ATSG,28.5,7.041456953642386,0.537,0.50,0.2470686650400837, 7.9 
ATVI,90.85,108.17968211920528,2.82,17.83,1.190750491130493, 21.05 
ATXI,6.02,undefined,-0.581,N/A,undefined, -9.72 
AUB,37.92,57.935761589403974,2.41,8.00,1.5278418140665604,Not Found!
AUBAP,27.37,undefined,None,,undefined,Not Found!
AUBN,38.81,undefined,2.09,N/A,undefined,Not Found!
AUDC,26.82,23.45986754966887,0.83,10.90,0.8747154194507409, 20.81 
AUPH,12.555,undefined,-0.867,N/A,undefined, -11.72 
AUTL,6.13,undefined,-1.4,N/A,undefined, -2 
AUTO,2.81,-25.38013245033113,-0.52,25.00,-9.032075605100045, -19.39 
AUVI,9.3,undefined,None,N/A,undefined, 85.34 
AVAV,114.65,52.265298013245044,1.237,20.50,0.45586827748142206, 44.13 
AVCO,1.2,undefined,-0.193,,undefined, -6.88 
AVCT,5.73,undefined,None,,undefined, -101.65 
AVDL,9.01,4.450993377483444,0.13,15.00,0.4940059242489949, 44.61 
AVEO,7.64,undefined,-1.663,N/A,undefined, -4.6 
AVGO,461.7,215.43055629139076,8.647,8.60,0.46660289428501356, 18.83 
AVGOP,1481.52,undefined,None,,undefined,Not Found!
AVGR,1.57,undefined,-0.465,N/A,undefined, -8.68 
AVID,19.53,8.559602649006623,0.25,15.00,0.438279705530293, 25.84 
AVIR,59.95,undefined,None,N/A,undefined, -186.15 
AVNW,63.24,77.23748344370861,2.586,12.00,1.2213390803875492, 14.73 
AVO,20.09,undefined,None,13.70,undefined, 20.14 
AVRO,11.88,undefined,-3.306,N/A,undefined, -2.01 
AVT,39.94,-21.203046357615897,-0.77,10.40,-0.5308724676418602, 33.14 
AVXL,14.86,undefined,-0.455,N/A,undefined, -30.33 
AWH,6.71,undefined,None,N/A,undefined, -49.32 
AWRE,3.78,undefined,-0.355,N/A,undefined, -4.79 
AXAS,3.48,-336.1279470198676,-21.972,2.00,-96.58849052295045, -1.78 
AXDX,8.64,-78.30543046357616,-1.396,30.00,-9.06312852587687, -9.79 
AXGN,19.09,undefined,-0.595,N/A,undefined, -37.92 
AXLA,5.05,undefined,-1.781,N/A,undefined, -1.92 
AXNX,55.9,242.10417218543049,-1.485,-120.40,4.331022758236681, -41.76 
AXON,136.77,-1.1932450331125828,-0.03,18.80,-0.008724464671438054, -4912.67 
AXSM,59.32,165.63027814569537,-2.766,-49.60,2.7921489909928416, -20.77 
AXTI,11.23,1.8867549668874177,0.07,10.00,0.16801023747884397, 36.23 
AY,32.87,9.886887417218544,0.117,49.50,0.30078756973588516, 12.47 
AYLA,12.21,undefined,None,N/A,undefined, -3.89 
AYRO,6.65,undefined,None,N/A,undefined, -31.8 
AYTU,7.76,undefined,-2.218,N/A,undefined, -9.76 
AZN,49.7,49.68794701986755,1.218,19.50,0.9997574853092062, 16.1 
AZPN,143,155.73887417218546,4.363,16.00,1.089083036169129, 25.16 
AZRX,1.35,undefined,-0.899,N/A,undefined, -8.18 
AZYO,14.05,undefined,None,N/A,undefined, -18.48 
BAND,118.925,undefined,-1.83,N/A,undefined, 378.11 
BANF,72.09,67.74834437086093,3,7.00,0.9397745092365228,Not Found!
BANR,53.81,73.61986754966887,3.26,7.00,1.3681447230936419,Not Found!
BANX,19.85,undefined,1.185,N/A,undefined,Not Found!
BATRA,28.53,-119.48185430463579,-1.53,45.10,-4.187937409906617, -96.3 
BATRK,27.74,undefined,-1.53,N/A,undefined, -96.3 
BBBY,28.81,-203.0317350993378,-1.824,67.90,-7.047266056901694, 159.56 
BBCP,7.09,undefined,-1.371,N/A,undefined, 50.56 
BBGI,2.85,13.217483443708609,-0.63,-22.90,4.637713489020564, 87.61 
BBH,170.88,undefined,None,,undefined,Not Found!
BBI,1.19,undefined,-3.167,N/A,undefined, -2.3 
BBIG,3.61,undefined,None,,undefined, -10.29 
BBIO,63.14,451.2906622516557,-4.729,-74.00,7.1474605994877365, -19.19 
BBQ,7.9,6.2532450331125835,0.232,10.00,0.7915500041914663, 19.9 
BBSI,69.8,150.30662251655627,4.39,15.00,2.1533900074005197, 8.04 
BCAB,60.73,undefined,None,N/A,undefined, -50.61 
BCBP,13.76,30.61933774834437,1.136,10.00,2.225242568920376,Not Found!
BCDA,4.35,undefined,-1.827,N/A,undefined, -3.45 
BCEL,15.05,undefined,-6.355,N/A,undefined, -3.71 
BCLI,3.78,undefined,-1.066,N/A,undefined, -3.27 
BCML,18.28,30.91582781456954,1.147,10.00,1.6912378454359702,Not Found!
BCOR,16.16,-296.64158940397357,-7.144,20.00,-18.35653399777064, -5.24 
BCOV,20.87,-5.033046357615895,-0.147,15.00,-0.24116178043200262, 88.22 
BCOW,14.75,undefined,0.28,,undefined,Not Found!
BCPC,125.97,123.11258278145695,2.6,24.00,0.97731668477778, 26.17 
BCRX,10.71,-45.22558940397351,-1.093,19.90,-4.222744108681, -10.86 
BCTG,10.16,undefined,None,,undefined,Not Found!
BCYC,26.15,undefined,-4.988,N/A,undefined, -9.8 
BDSI,3.68,11.713907284768212,0.24,25.00,3.183126979556579, 8.27 
BDSX,18.14,undefined,None,N/A,undefined, -31.8 
BDTX,22.95,undefined,-13.874,N/A,undefined, -7.66 
BEAM,83.34,undefined,-4.191,N/A,undefined, -38.15 
BECN,50.71,-110.64114701986755,-4.382,8.83,-2.181840801022827, 13.47 
BEEM,37.41,undefined,None,N/A,undefined, -74.56 
BELFA,18.33,undefined,1.038,N/A,undefined, 8.66 
BELFB,18.85,undefined,1.038,N/A,undefined, 8.66 
BFC,70.79,undefined,5.07,N/A,undefined,Not Found!
BFI,15.54,undefined,None,,undefined, -231.21 
BFIN,10.64,14.664238410596028,0.61,8.00,1.3782178957327094,Not Found!
BFIT,26.13,undefined,None,,undefined,Not Found!
BFRA,5.25,undefined,-0.798,N/A,undefined, -12.48 
BFST,23.17,undefined,1.64,N/A,undefined,Not Found!
BGCP,4.29,3.9468874172185435,0.129,12.50,0.9200203769740195,Not Found!
BGFV,14.4,7.367523178807948,2.58,-6.54,0.5116335540838853, 5.86 
BGNE,328.52,-905.8718543046359,-19.131,24.00,-2.7574328939018504, -16.62 
BGRN,54.89,undefined,None,,undefined,Not Found!
BHAT,1.37,undefined,0.279,,undefined, 8.11 
BHF,42.68,-780.7455576158941,-11.589,37.74,-18.293007441796956, -2.57 
BHFAN,25.9,undefined,None,,undefined,Not Found!
BHFAO,27.71,undefined,None,,undefined,Not Found!
BHFAP,26.79,undefined,-11.589,,undefined,Not Found!
BHSE,9.8,undefined,None,,undefined, -96450 
BHSEU,10.2,undefined,None,,undefined, -96450 
BHTG,1.57,undefined,-0.631,N/A,undefined, -9.45 
BIB,81.91,undefined,None,,undefined,Not Found!
BICK,36.7228,undefined,None,,undefined,Not Found!
BIDU,204.57,160.46209933774838,9.967,2.55,0.7843872480703348, 18.45 
BIGC,54.58,undefined,None,N/A,undefined, -119.74 
BIIB,273.97,-57.08927152317882,24.8,-10.08,-0.20837782064889884, 8.04 
BILI,95.65,-42.277764238410604,-1.336,13.22,-0.44200485351187246, -90.11 
