TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,ENTERPRISE VALUE,FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL)
AGNCM,25.74,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCN,25.63,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCO,24.73,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCP,23.94,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNG,27.72,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGRX,1.98,undefined,-0.612,N/A,undefined, -2.77 , 134.68 Mil ,$-47.66,$23.73
AGTC,4.45,undefined,-2.269,N/A,undefined, -2.74 , 150.14 Mil ,$-50.38,$30.45
AGYS,48.67,-14.226266211604099,-1.108,0.05,-0.29230051801117934, -75.8 , 1.15 Bil ,$18.9,$72.4
AGZD,47.12,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AHAC,10.73,undefined,None,,undefined, -622.72 , 143.85 Mil ,$,$2.10
AHACU,12.03,undefined,None,,undefined,Not Found!, - ,$,$2.10
AHCO,37.94,undefined,None,29.89,undefined, 94.65 , 5.04 Bil ,$156,"$1,419"
AHPI,5.04,undefined,-0.08,N/A,undefined, 84.97 , 21.75 Mil ,$-2.72,$10.61
AIA,92.55,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AIH,7.6,undefined,None,N/A,undefined, -8.19 , 264.21 Mil ,$0.0,$133.5
AIHS,1.49,undefined,-0.318,,undefined, -9.25 , 73.16 Mil ,$-1.51,$18.18
AIKI,1.11,undefined,None,N/A,undefined, -9.78 , 64.06 Mil ,$-5.49,$0.88
AIMC,59.64,-13.939590443686008,-0.395,15.00,-0.23372888067883985, 25.28 , 5.15 Bil ,$229,"$2,211"
AINV,14.32,-20.51631399317406,-1.188,3.00,-1.4327034911434398,Not Found!, 2.42 Bil ,$431.51,"$1,561.37"
AIQ,29.45,undefined,None,,undefined,Not Found!, 323.03 Mil ,$54.9,$662.7
AIRG,21.92,-22.21023890784983,-0.34,35.00,-1.0132408260880397, -94.28 , 185.53 Mil ,$2.98,$7.19
AIRR,40.7103,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AIRT,24,undefined,-0.38,N/A,undefined, 56.27 , 157.63 Mil ,$-23.4,$163.3
AKAM,102.49,103.74539249146758,3.37,12.00,1.0122489266413073, 16.02 , 18.63 Bil ,$483,"$3,513"
AKBA,3.17,undefined,-2.769,N/A,undefined, -0.95 , 327.31 Mil ,$-110.4,$396.5
AKER,3.35,undefined,-2.493,N/A,undefined, -1.42 , 18.27 Mil ,$-11.93,$2.26
AKICU,10.07,undefined,None,,undefined,Not Found!, - ,$,$0.03
AKRO,28.33,undefined,-2.517,N/A,undefined, -8.72 , 698.65 Mil ,$-70.80,$14.63
AKTS,12.075,undefined,-1.107,N/A,undefined, -16.94 , 563.06 Mil ,$-35.59,$31.09
AKTX,2.57,undefined,-0.636,N/A,undefined, -4.26 , 80.40 Mil ,$-16.18,$8.84
AKU,3.28,undefined,None,N/A,undefined, 23.51 , 727.07 Mil ,$13.3,$579.0
AKUS,13.47,undefined,None,26.20,undefined, -3.92 , 182.29 Mil ,$-45.30,$22.74
ALAC,10.945,undefined,-0.02,,undefined, -98.4 , 53.62 Mil ,$0.03,$7.69
ALACU,11.3,undefined,-0.02,,undefined,Not Found!, - ,$0.03,$7.69
ALACW,0.54,undefined,-0.02,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ALBO,33.49,undefined,-6.734,N/A,undefined, -4.07 , 391.39 Mil ,$-101.03,$104.38
ALCO,28.89,undefined,3.559,N/A,undefined, 6.83 , 378.32 Mil ,$-37.96,$205.64
ALDX,12.35,-136.52494197952223,-1.106,73.70,-11.05465117243095, -14.1 , 506.32 Mil ,$-37.49,$23.84
ALEC,19.24,27.916122866894206,-2.446,-16.10,1.4509419369487635, -5.45 , 1.02 Bil ,$-171.77,$220.72
ALGM,27.42,undefined,None,13.69,undefined, 78.03 , 5.06 Bil ,$59.7,$135.0
ALGN,552.56,1098.4418293515357,22.41,24.14,1.9879141257990731, 95.74 , 46.02 Bil ,$507,"$1,596"
ALGS,20.59,undefined,None,N/A,undefined, -8.19 , 588.43 Mil ,$-52.39,$45.26
ALGT,250.53,150.58541979522184,-11.526,-17.20,0.6010674162584195, -40.83 , 5.24 Bil ,$-46.5,"$2,559.6"
ALIM,9.7,undefined,-1.043,N/A,undefined, 40.77 , 108.04 Mil ,$-2.81,$58.83
ALJJ,1.59,undefined,-1.551,N/A,undefined, -5.61 , 203.53 Mil ,$12.2,$211.1
ALKS,19.07,5.8698703071672345,-0.698,-14.10,0.30780651846708096, -465.45 , 2.80 Bil ,$41,$883
ALLK,106.98,9.31358361774744,-3.101,-10.50,0.08705911027993495, -31.9 , 4.96 Bil ,$-114.55,$65.22
ALLO,32.88,-29.659453924914683,-2.079,1.00,-0.9020515183976484, -15.83 , 3.84 Bil ,$-181.05,$148.21
ALLT,19.33,-39.735153583617745,-0.27,89.50,-2.0556209820805873, -213.58 , 583.49 Mil ,$-19.8,$71.4
ALNA,1.33,undefined,-1.01,N/A,undefined, -1.55 , 49.43 Mil ,$-28.16,$16.36
ALNY,140.67,-611.8849638225257,-7.464,46.09,-4.349790032149896, -20.5 , 14.86 Bil ,$-685.3,"$2,390.8"
ALOT,14.26,undefined,0.18,N/A,undefined, 16.43 , 115.09 Mil ,$11.3,$40.3
ALPN,11,undefined,-1.342,N/A,undefined, -7.06 , 187.60 Mil ,$29.28,$81.93
ALRM,85.73,65.48191126279863,1.53,20.00,0.7638155985395851, 38.77 , 4.31 Bil ,$81.6,$263.9
ALRN,1.37,-9.66227986348123,-0.607,2.10,-7.052759024438853, -5.29 , 107.46 Mil ,$-20.48,$4.18
ALRS,30.02,undefined,2.52,N/A,undefined,Not Found!, 437.21 Mil ,$-26.1,"$2,683.6"
ALSK,3.28,1.22839590443686,-0.02,-49.40,0.37451094647465244, 7.35 , 411.35 Mil ,$8.3,$403.5
ALT,13.61,undefined,-1.913,N/A,undefined, -4.91 , 265.14 Mil ,$-34.78,$19.24
ALTA,41.75,56.7419795221843,2.29,8.00,1.3590893298726778,Not Found!, 626.56 Mil ,$49.1,"$2,995.1"
ALTM,55.63,10.883467576791809,0.282,17.20,0.19564025843594837, 15.37 , 1.49 Bil ,$134.3,"$2,046.1"
ALTO,5.775,undefined,None,20.00,undefined, 14.36 , 443.97 Mil ,$65.2,$180.6
ALTR,64.05,-12.599032081911261,-0.143,50.17,-0.19670619956145607, 130.16 , 4.87 Bil ,$24.7,$450.5
ALTU,10.06,undefined,None,,undefined,Not Found!, 381.75 Mil ,$,$0.28
ALTUU,10.86,undefined,None,,undefined,Not Found!, - ,$,$0.28
ALTY,12.8534,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ALVR,23.74,undefined,None,N/A,undefined, -15.29 , 1.09 Bil ,$-60.81,$17.76
ALXN,152.35,70.58260750853243,2.72,8.78,0.4632924680573183, 33.73 , 33.82 Bil ,"$2,896","$6,452"
ALXO,69.18,undefined,None,N/A,undefined, -48.41 , 2.15 Bil ,$-38.32,$6.21
ALYA,2.36,-23.503208191126284,-0.666,15.00,-9.95898652166368, -9.41 , 240.41 Mil ,$-2.5,$102.3
AMAL,16.52,undefined,1.48,N/A,undefined,Not Found!, 545.98 Mil ,$64.2,"$5,442.8"
AMAT,139.14,186.97774470989762,4.181,21.28,1.34381015315436, 25.21 , 126.55 Bil ,"$3,797","$11,832"
AMBA,104.57,-48.050763139931746,-1.724,10.06,-0.45950811073856507, -67.32 , 3.31 Bil ,$25.9,$98.3
AMCA,35.1828,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AMCX,52.19,-25.78129692832764,4.64,-12.20,-0.493989211119518, 2.77 , 4.35 Bil ,$702,"$4,603"
AMD,82.2,107.8943672354949,2.064,26.31,1.3125835430108868, 58.92 , 98.76 Bil ,$777,"$3,125"
AMED,267.73,213.5354539249147,5.52,17.26,0.7975776114926033, 32.89 , 9.53 Bil ,$284,$756
AMEH,26.51,undefined,1.01,N/A,undefined, 6.32 , 1.30 Bil ,$45.0,$372.3
AMGN,248.12,283.9450648464164,12.31,6.86,1.1443860424246994, 12.76 , 165.69 Bil ,"$9,889","$53,539"
AMHC,9.9,undefined,None,,undefined, -159.9 , 124.24 Mil ,$-0.64,$3.68
AMHCU,10.15,undefined,None,,undefined,Not Found!, - ,$-0.64,$3.68
AMKR,25.24,116.78771331058019,1.4,47.05,4.627088482986537, 6.85 , 6.61 Bil ,$217,"$2,668"
AMNB,32.32,51.2457337883959,2.73,4.00,1.5855734464231406,Not Found!, 18.17 Mil ,$21.0,"$2,712.1"
AMOT,51.89,82.67645051194539,1.43,30.00,1.5933021875495355, 16.53 , 636.49 Mil ,$15.5,$206.1
AMPH,17.74,1.5092150170648462,0.03,25.00,0.0850741272302619, 28.36 , 856.64 Mil ,$23.4,$182.5
AMRB,16.31,42.3481228668942,1.2,15.00,2.5964514326728514,Not Found!, 77.26 Mil ,$6.42,$775.90
AMRK,37.02,undefined,8.33,N/A,undefined, 6.66 , 654.34 Mil ,$-205,$889
AMRN,6.05,-3.5590443686006825,-0.05,38.90,-0.5882717964629227, -146.08 , 1.84 Bil ,$-22.0,$338.5
AMRS,16.87,-108.69351535836176,-1.88,30.00,-6.443006245308936, -17.54 , 4.64 Bil ,$-188.5,$389.9
AMSC,17.81,-46.53412969283277,-0.925,25.00,-2.612809078766579, -30.73 , 439.06 Mil ,$-6.87,$52.13
AMSF,63.25,124.18361774744027,4.47,10.00,1.9633773556907552,Not Found!, 1.20 Bil ,$62.5,"$1,032.0"
AMST,3.9,undefined,None,N/A,undefined, -14.28 , 60.86 Mil ,$-4.19,$0.97
AMSWA,20.26,6.291399317406145,0.171,16.00,0.31053303639714436, 56.1 , 576.40 Mil ,$25.2,$47.1
AMTB,18.57,undefined,-0.041,N/A,undefined,Not Found!, 1.65 Bil ,$51.7,"$6,987.5"
AMTBB,15.95,undefined,-0.041,,undefined,Not Found!, 1.66 Bil ,$51.7,"$6,987.5"
AMTI,55.7,undefined,None,38.70,undefined, -26.48 , 1.72 Bil ,$-64.21,$8.51
AMTX,24.7,undefined,-1.745,N/A,undefined, -184.99 , 939.21 Mil ,$-16.9,$309.9
AMWD,100.98,100.37631399317405,4.051,8.00,0.9940217270070711, 10.33 , 2.30 Bil ,$141,$893
AMYT,14.22,undefined,None,N/A,undefined, -17.68 , 577.34 Mil ,$24.4,$470.4
AMZN,3279.39,2870.7086689419793,41.83,37.20,0.8753788567209083, 33.26 , 1.70 Til ,"$25,925","$227,791"
ANAB,21.26,undefined,-0.73,N/A,undefined, -9.2 , 177.83 Mil ,$-14.73,$19.82
ANAT,110.71,undefined,17.38,N/A,undefined,Not Found!, 3.04 Bil ,$293,"$23,002"
ANDA,10.26,undefined,-0.173,,undefined, -39.48 , 44.99 Mil ,$-0.25,$0.88
ANDAU,13.6,undefined,-0.173,,undefined,Not Found!, - ,$-0.25,$0.88
ANDE,27.24,5.698976109215018,0.23,8.00,0.209213513554149, 11.77 , 2.54 Bil ,$-179,"$3,111"
ANGI,14.405,-1.1867535836177474,-0.013,52.29,-0.08238483746044759, 80.99 , 7.32 Bil ,$136,"$1,085"
ANGL,32.04,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ANGN,16.02,undefined,None,N/A,undefined, -8.76 , 478.34 Mil ,$-22.93,$137.80
ANGO,23.6,-156.15870307167236,-4.425,15.00,-6.6168941979522184, -6.11 , 882.06 Mil ,$9.7,$127.3
ANIK,39.42,-46.95085324232082,-1.69,10.00,-1.1910414318194018, -492.48 , 494.46 Mil ,$11.4,$93.2
ANIP,32.13,-30.288668941979523,-1.885,2.20,-0.9426912213501252, 20.34 , 571.78 Mil ,$-53.1,$265.5
ANIX,4.6,undefined,-0.413,N/A,undefined, -11.34 , 107.63 Mil ,$-5.43,$1.53
ANNX,24.53,undefined,None,38.60,undefined, -9.55 , 600.06 Mil ,$-53.09,$11.67
ANPC,5.69,undefined,None,N/A,undefined, -8.95 , 64.12 Mil ,$-5.28,$4.22
ANSS,355.34,123.14744027303753,4.97,8.00,0.34656227914965254, 52.3 , 31.96 Bil ,$512,"$1,843"
ANTE,3.06,-108.4089419795222,-2.533,20.00,-35.42775881683732, -0.6 , 19.85 Mil ,$-17.72,$120.36
ANY,2.28,-52.4283276450512,-1.225,20.00,-22.994880546075088, -8.43 , 37.44 Mil ,$-2.37,$8.99
AOSL,33.26,23.70368600682594,0.619,17.00,0.7126784728450374, 16.49 , 1.04 Bil ,$45.8,$378.5
AOUT,25.43,undefined,None,N/A,undefined, 8.92 , 353.97 Mil ,$22.8,$63.7
APA,18.015,299.33515358361774,-12.86,-24.00,16.615884184491687, -6.11 , 16.14 Bil ,$86,"$13,391"
APDN,8.23,undefined,-3.236,N/A,undefined, -3.84 , 49.66 Mil ,$-12.90,$3.96
APEI,34.96,44.11262798634812,1.25,15.00,1.2618028600213993, 11.05 , 426.72 Mil ,$39.9,$64.1
APEN,5.59,undefined,-0.994,N/A,undefined, -12.52 , 168.72 Mil ,$-21.44,$70.69
APHA,16.19,undefined,-0.627,,undefined, -47.77 , 5.48 Bil ,$-178.7,$660.8
API,53.19,undefined,None,26.70,undefined, -8084.95 , 5.91 Bil ,$-6.3,$36.4
APLS,40.9,-77.85507167235495,-4.588,2.80,-1.9035469846541553, -9.09 , 2.84 Bil ,$-165.9,$756.0
APLT,16.36,undefined,-4.278,N/A,undefined, -3.62 , 341.64 Mil ,$-78.21,$22.57
APM,3.23,undefined,-0.536,N/A,undefined, -5.36 , 94.56 Mil ,$-14.29,$5.79
APOG,39.46,20.821160409556313,0.59,15.00,0.5276523165118173, 7.72 , 1.13 Bil ,$147,$539
APOP,2.93,undefined,-0.854,N/A,undefined, -17.7 , 6.48 Mil ,$-4.71,$1.40
APPF,141.99,223.3638225255973,4.44,25.00,1.5730954470427303, 118.68 , 4.78 Bil ,$3.2,$103.6
APPN,130.43,undefined,-0.485,N/A,undefined, -354.88 , 9.32 Bil ,$-8.9,$215.9
APPS,81.74,36.19412969283277,0.412,50.00,0.4427958122441004, 148.29 , 7.73 Bil ,$51.8,$120.3
APR,29.16,undefined,None,-71.50,undefined, 7.18 , 1.35 Bil ,$88,$731
APRE,4.84,undefined,-26.67,N/A,undefined, -0.31 , 16.62 Mil ,$-41.83,$15.41
APTO,5.63,undefined,-0.675,N/A,undefined, -5.82 , 341.87 Mil ,$-33.98,$7.35
APTX,2.9,undefined,-1.024,N/A,undefined, -0.96 , 49.61 Mil ,$-42.57,$4.70
APVO,25.77,undefined,-5.235,N/A,undefined, -3.89 , 101.56 Mil ,$-29.32,$36.95
APWC,3.87,undefined,0.051,N/A,undefined, 10.6 , 96.90 Mil ,$14.8,$83.4
APXT,11.35,undefined,None,,undefined, -98.77 , 544.33 Mil ,$-2.42,$17.64
APXTU,12.9,undefined,None,,undefined,Not Found!, - ,$-2.42,$17.64
APYX,9.02,-12.280955631399316,-0.348,15.00,-1.3615250145675517, -15.4 , 284.92 Mil ,$-16.65,$10.25
AQB,6.51,undefined,-0.451,N/A,undefined, 2.47 , 357.41 Mil ,$-18.61,$10.90
AQMS,3.81,-27.632150170648465,-0.423,35.00,-7.2525328531885735, -10.58 , 229.65 Mil ,$-14.40,$4.00
AQST,4.73,undefined,-1.658,N/A,undefined, -4.54 , 178.15 Mil ,$-45.98,$111.38
ARAV,5.68,-513.4803003412969,-1.934,168.30,-90.40146132769313, -2.41 , 55.91 Mil ,$-12.17,$19.66
ARAY,4.95,-30.106211604095567,0.08,-259.10,-6.082062950322336, 12.98 , 586.84 Mil ,$20.8,$400.4
ARBG,9.85,undefined,None,,undefined,Not Found!, 284.91 Mil ,$,$0.06
ARBGU,10.17,undefined,None,,undefined,Not Found!, - ,$,$0.06
ARCB,71.87,96.14225255972697,2.69,15.30,1.3377243990500483, 8.5 , 1.89 Bil ,$149,$950
ARCC,19.2,13.010784982935153,1.14,-0.90,0.6776450511945392,Not Found!, 16.60 Bil ,$-557.0,"$9,020.0"
ARCE,27.91,1.1699795221843001,0.053,6.20,0.04191972490807238, 30.44 , 1.57 Bil ,$-2.9,$461.7
ARCT,38.55,undefined,-3.553,N/A,undefined, -7.51 , 530.22 Mil ,$-44.60,$79.90
ARDS,5.72,-247.29141296928327,-2.436,59.10,-43.232764505119455, -2.49 , 55.36 Mil ,$-20.84,$23.80
