TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ALTMAN Z-SCORE
ABCM,Abcam plc,20.89,undefined,-0.012,N/A,undefined,7.1991625, 106.19 ,85.504, 4.62 Bil ,4437643776,$17.8,$259.5,1.2187864644107351,1.1960326721120187,20.5,17.14,None,37.95 
ABIO,"ARCA biopharma, Inc.",3.08,undefined,-1.52,N/A,undefined,0.7179849, 1.18 ,1.14," -18,379,000.00 ",-18291760,$-13.98,$4.13,1.1323529411764706,1.1161764705882353,3.036,2.72,0.028499998,N/A 
ABGI,ABG Acquisition Corp. I,9.62,undefined,-0.099,,undefined,37.335907,Not Found!,None, 187.37 Mil ,186242256,$,$0.00,1.0010405827263267,1.0010405827263267,9.62,9.61,0.00029999999,N/A 
ABMD,"ABIOMED, Inc.",358.51,107.29230505836578,3.382,10.03,0.29927283774055335,12.44291, 54.82 ,54.349, 15.75 Bil ,15752802304,$247.7,$150.9,1.476990895233387,1.4715115560499321,357.18,242.73,0.0196,67.12 
ABCL,AbCellera Biologics Inc.,17.37,-98.66820233463035,0.74,-86.38,-5.680380099863577,5.0314827, 26.67 ,12.678, 4.08 Bil ,4083412480,$,$175.0,1.19710544452102,1.1743625086147484,17.04,14.51,0.1046,18.57 
ABNB,"Airbnb, Inc.",152.73,-2005.0358287937747,-10.764,100.30,-13.127976355619557,28.124771, -20.28 ,-31.614, 91.03 Bil ,89623306240,"$1,451","$12,092",1.257037037037037,1.2465020576131687,151.45,121.5,0.0372,3.87 
ABOS,"Acumen Pharmaceuticals, Inc.",17.45,-15068.735813229574,-216.786,32.10,-863.5378689529842,None, -99.29 ,None, 637.36 Mil ,861635840,$0.00,$179.02,1.2508960573476702,1.2338064516129033,17.2116,13.95,0.0001,-2.68 
ABSI,Absci Corporation,21.57,undefined,-2.988,,undefined,None,Not Found!,-26.704, 1.95 Bil ,548396672,$,$0.00,1.1334734629532317,1.0399369416710456,19.79,19.03,0.010299999,
ABEO,Abeona Therapeutics Inc.,1.29,undefined,-0.577,N/A,undefined,1.5783132, -1.41 ,-1.384, 61.22 Mil ,63248388,$-38.19,$46.59,1.303030303030303,1.2828282828282829,1.27,0.99,0.052800003,-5.55 
ABST,Absolute Software Corporation,11.51,undefined,0.07,,undefined,22.172285, 41.55 ,51.502, 444.72 Mil ,441730464,$44.0,$206.2,1.2297008547008548,1.2286324786324787,11.5,9.36,None,1.53 
ABTX,"Allegiance Bancshares, Inc.",36.89,undefined,3.579,N/A,undefined,0.96918786,Not Found!,None, 302.18 Mil ,293865152,$75.6,"$5,719.5",1.7202145022149686,1.7309396129633945,37.12,21.445,0.0145000005,
ABVC,"ABVC Biopharma, Inc.",2.87,undefined,-0.447,N/A,undefined,49.5, -8.23 ,-7.876, 81.87 Mil ,74088128,$-5.66,$8.43,1.471794871794872,1.3846153846153848,2.7,1.95,0.0165,-2.68 
ACAH,Atlantic Coastal Acquisition Co,9.63,undefined,None,,undefined,82.844826, -214.58 ,None, 415.23 Mil ,414148832,$,$28.60,1.0020811654526536,1.0,9.61,9.61,None,
ACAHW,,,,Key Error,,,,Not Found!,, - ,,$,$28.60,,,,,,N/A 
ACAHU,Atlantic Coastal Acquisition Co,9.85,undefined,None,,undefined,85.344826,Not Found!,None, - ,426655072,$,$28.60,1.0051020408163265,1.0051020408163265,9.85,9.8,None,N/A 
ACBAU,Ace Global Business Acquisition,10.33,undefined,-0.095,,undefined,12.518161,Not Found!,None, - ,62113832,$,$3.43,1.030938123752495,1.030938123752495,10.33,10.02,None,N/A 
ACBAW,,,,Key Error,,,,Not Found!,, - ,,$,$3.43,,,,,,N/A 
ACBA,Ace Global Business Acquisition,10.05,undefined,-0.095,,undefined,12.106538, -174.48 ,None, 59.73 Mil ,60055472,$,$3.43,1.0360824742268042,1.0257731958762886,9.95,9.7,None,
ABUS,Arbutus Biopharma Corporation,3.25,undefined,-0.945,N/A,undefined,None, -6.18 ,-6.4, 402.61 Mil ,402613024,$-59.81,$34.55,1.406926406926407,1.4004329004329004,3.235,2.31,0.051799998,-6.46 
ACAD,ACADIA Pharmaceuticals Inc.,16.68,-94.11805447470819,-1.641,25.00,-5.642569213112002,4.864942, -8.69 ,-10.89, 2.19 Bil ,2258343680,$-140.6,$159.6,1.0425,1.0275,16.44,16,0.0796,6.65 
ACBI,"Atlantic Capital Bancshares, In",24.18,95.41237354085607,2.103,18.00,3.9459211555358173,1.4279139,Not Found!,None," -50,852,000.00 ",-57489476,$115.6,"$3,427.3",2.3072519083969465,2.3139312977099236,24.25,10.48,0.0248,
ACB,Aurora Cannabis Inc.,7,undefined,-13.07,,undefined,0.65260863, -0.76 ,-3.753, 1.40 Bil ,1390367360,$-274.5,$522.9,1.8867924528301887,1.8598382749326148,6.9,3.71,None,-2.71 
ACCD,"Accolade, Inc.",44.37,-150.21497276264594,-2.031,34.70,-3.385507612410321,6.3016276, -43.51 ,-52.45, 2.79 Bil ,2785619968,$-47.1,$454.4,1.5040677966101694,1.5084745762711864,44.5,29.5,0.0417,3.72 
ACEVU,ACE Convergence Acquisition Cor,10.14,undefined,None,,undefined,58.275867,Not Found!,None, - ,291612896,$0.00,$46.12,1.0221774193548387,1.0221774193548387,10.14,9.92,None,N/A 
ACEVW,,,,Key Error,,,,Not Found!,, - ,,$-1.49,$46.12,,,,,,N/A 
ACEV,ACE Convergence Acquisition Cor,9.87,undefined,None,,undefined,56.666668, -87.1 ,None, 283.85 Mil ,283562912,$0.00,$46.12,1.028125,1.0270833333333333,9.86,9.6,0.024300002,N/A 
ACER,Acer Therapeutics Inc.,2.57,undefined,-1.289,N/A,undefined,4.6777163, -1.77 ,-0.842, 31.38 Mil ,14461320,$0.90,$32.21,1.1953488372093024,1.1813953488372093,2.54,2.15,0.0339,-4.26 
ACET,"Adicet Bio, Inc.",7.7,-173.67981322957203,-2.698,29.10,-22.55581989994442,1.125366, -1.17 ,-1.25, 57.00 Mil ,57000424,$-52.49,$40.44,1.232,1.232,7.7,6.25,0.0463,3.31 
ACGL,Arch Capital Group Ltd.,41.39,556.7674739299612,4.971,56.92,13.451738920752867,1.2983581, 7.87 ,6.462, 19.91 Bil ,17319608320,"$3,132","$31,577",1.5100328347318497,1.5107624954396204,41.41,27.41,0.0128,
ACGLN,Arch Capital Group Ltd. - Depos,26.02,undefined,4.971,,undefined,0.81322306,,4.166,,11166788608,Not Found!,Not Found!,1.0416333066453163,1.0406725380304243,25.996,24.98,None,Not Found!
ACGLO,Arch Capital Group Ltd. - Depos,26.24,undefined,4.971,,undefined,0.8206867,,4.201,,11261445120,Not Found!,Not Found!,1.0314465408805031,1.0306603773584904,26.22,25.44,None,Not Found!
ACHC,"Acadia Healthcare Company, Inc.",64.26,-194.93535719844363,-7.847,6.01,-3.0335411951205042,2.4933026, 17.92 ,14.802, 7.19 Bil ,7285088768,$345,"$2,207",2.373845585519025,2.3775397118581454,64.36,27.07,0.0401,2.17 
ACGLP,Arch Capital Group Ltd. - Depos,25.26,undefined,4.971,,undefined,0.7855455,,4.035,,10815769600,Not Found!,Not Found!,1.014865407794295,1.013258336681398,25.22,24.89,None,Not Found!
ACHL,Achilles Therapeutics plc,6.38,-102.2589105058366,-5.105,3.20,-16.02804239903395,0.81463844, 0.92 ,0.517," -25,363,000.00 ",-25362740,$0.00,$29.52,1.1578947368421053,1.134301270417423,6.25,5.51,None,N/A 
ACKIW,,,,Key Error,,,,Not Found!,, - ,,$-0.30,$0.69,,,,,,N/A 
ACHV,"Achieve Life Sciences, Inc.",7.66,-211.86941634241248,-5.266,15.00,-27.659192733996406,1.8186026, -1.16 ,-1.177, 30.51 Mil ,32369472,$-22.35,$4.71,1.1553544494720966,1.153846153846154,7.65,6.63,0.0574,N/A 
ACKIT,Ackrell SPAC Partners I Co.  - ,9.98,undefined,None,,undefined,None,Not Found!,None, - ,None,$-0.30,$0.69,1.014227642276423,1.0132113821138211,9.97,9.84,None,N/A 
ACKIU,Ackrell SPAC Partners I Co.,10.2,undefined,None,,undefined,None,Not Found!,None, - ,None,$-0.30,$0.69,1.0119047619047619,1.010922619047619,10.1901,10.08,None,N/A 
ACIU,AC Immune SA,7,undefined,-1.124,N/A,undefined,2.6661546, -3.66 ,-4.252, 293.60 Mil ,308209536,$-77.93,$24.02,1.583710407239819,1.5656108597285068,6.92,4.42,0.0369,11.43 
ACIW,"ACI Worldwide, Inc.",31.28,25.97198443579767,0.74,12.00,0.8303064077940431,3.1768343, 14.81 ,19.424, 4.70 Bil ,4708186624,$274,"$1,997",1.3282377919320594,1.332484076433121,31.38,23.55,0.0223,2.23 
ACMR,"ACM Research, Inc.",90.8,51.67260700389106,1.059,20.00,0.5690815749327209,11.245834, 59.5 ,77.627, 1.71 Bil ,1949443328,$-43.9,$189.4,1.5647079097018783,1.509736343270722,87.61,58.03,0.0709,6.68 
ACNB,ACNB Corporation,28.97,undefined,3.115,N/A,undefined,0.97936404,Not Found!,None," -282,122,000.00 ",-256637440,$33.39,"$2,442.15",1.5247368421052632,1.5236842105263158,28.95,19,0.0045,
ACQR,Independence Holdings Corp.,9.68,undefined,None,,undefined,None, -1489.81 ,None, 597.68 Mil ,614484480,$,$38.63,1.0051921079958461,1.004153686396677,9.67,9.63,None,
ACQRW,,,,Key Error,,,,,,,,Not Found!,Not Found!,,,,,,Not Found!
ACQRU,Independence Holdings Corp.,9.88,undefined,None,,undefined,None,Not Found!,None, - ,616970240,$,$38.63,1.003045685279188,1.0,9.85,9.85,None,N/A 
ACOR,"Acorda Therapeutics, Inc.",4.16,-960.4027237354087,-14.959,29.00,-230.86603935947323,0.19650155, -2.74 ,-4.311, 187.64 Mil ,182632128,$-37.4,$301.0,1.650793650793651,1.6340079365079365,4.1177,2.52,0.1538,-2.54 
ACLS,"Axcelis Technologies, Inc.",48.41,86.41377431906615,1.771,20.00,1.7850397504454898,3.519515,Not Found!,20.251, 1.45 Bil ,1570476032,$52.2,$166.5,2.3730392156862745,2.3653186274509803,48.2525,20.4,0.0325,7.99 
ACRS,"Aclaris Therapeutics, Inc.",14.29,-203.6694941634242,-1.435,74.40,-14.252588814795256,7.2773657, -15.45 ,-17.866, 654.48 Mil ,812741824,$-45.77,$54.23,7.217171717171717,7.222222222222222,14.3,1.98,0.050100002,8.09 
ACTD,ArcLight Clean Transition Corp.,9.67,undefined,None,,undefined,None, -966.65 ,None, 374.07 Mil ,337444608,$,$37.22,1.0020725388601035,1.0010673575129532,9.6603,9.65,None,
ACTDW,,,,Key Error,,,,Not Found!,, - ,,$,$37.22,,,,,,
ACTDU,ArcLight Clean Transition Corp.,9.9,undefined,None,,undefined,None,Not Found!,None, - ,345709600,$,$37.22,1.0174717368961974,1.0113052415210688,9.84,9.73,None,
ACST,"Acasti Pharma, Inc.",0.4345,undefined,0.027,N/A,undefined,2.5260603, -1.63 ,-4.317, 33.37 Mil ,52349780,$-13.59,$7.00,2.5558823529411763,2.3529411764705883,0.4,0.17,0.0149,4.22 
ACWI,,,,Key Error,,,,Not Found!,,Not Found!,,Not Found!,Not Found!,,,,,,Not Found!
ACTG,Acacia Research Corporation,5.65,-36.20498054474709,-0.742,20.00,-6.407961158362316,2.4257843, 8.79 ,-1.642," -89,284,000.00 ",26265240,$-29.77,$467.93,1.84640522875817,1.8431372549019607,5.64,3.06,0.0517,0.01 
ACRX,"AcelRx Pharmaceuticals, Inc.",1.13,undefined,-0.357,N/A,undefined,None, -3.12 ,-3.618, 102.10 Mil ,117386136,$-35.81,$115.58,1.5066666666666666,1.4666666666666668,1.1,0.75,0.1338,-8.06 
ACVA,ACV Auctions Inc.,19.01,undefined,None,0.80,undefined,None, -93.84 ,-116.747, 2.28 Bil ,3083766016,$0.0,$397.0,1.0456545654565457,1.0275027502750276,18.68,18.18,0.0718,4.95 
ACWX,iShares MSCI ACWI ex US Index F,56.6,,Key Error,,,None,Not Found!,,Not Found!,,Not Found!,Not Found!,1.26593603220756,1.2672780138671438,56.66,44.71,,Not Found!
ACXP,"Acurx Pharmaceuticals, Inc.",4.96,undefined,None,,undefined,None, -2.89 ,None, 47.63 Mil ,74168064,$0.00,$1.92,1.3369272237196765,1.2722371967654986,4.72,3.71,None,N/A 
ADAP,Adaptimmune Therapeutics plc,5.05,-15.109805447470817,-0.929,1.00,-2.9920406826674886,2.589241, -3.75 ,-2.273, 525.52 Mil ,305018048,$-128.64,$111.85,1.4985163204747773,1.4480712166172105,4.88,3.37,None,1.60 
ADBE,Adobe Inc.,652.39,532.7592933852142,11.538,18.47,0.8166270074421959,22.724043, 52.46 ,52.617, 309.72 Bil ,301443776512,"$6,595","$11,730",1.5504301535244072,1.5491705879557014,651.86,420.78,0.0101,18.55 
ADERU,26 Capital Acquisition Corp.,10.07,undefined,None,,undefined,None,Not Found!,None, - ,347129024,$,$0.28,1.0212981744421907,1.015212981744422,10.01,9.86,None,N/A 
ADER,26 Capital Acquisition Corp.,9.63,undefined,None,,undefined,None,Not Found!,None, 331.13 Mil ,332206848,$,$0.28,1.006269592476489,1.0073145245559039,9.64,9.57,None,
ADERW,,,,Key Error,,,,Not Found!,, - ,,$,$0.28,,,,,,N/A 
ADGI,,,,Key Error,,,, -92.15 ,, 3.11 Bil ,,$,$28.69,,,,,,
ADES,"Advanced Emissions Solutions, I",7.05,-25.840155642023348,-0.258,50.00,-3.665270303833099,1.2965009, 1.56 ,12.76, 98.66 Mil ,98799408,$41.47,$42.21,2.002840909090909,1.9857954545454546,6.99,3.52,0.0323,4.44 
ADAG,Adagene Inc.,16.88,undefined,None,N/A,undefined,None, -17.11 ,-16.726, 667.41 Mil ,707409536,$,$173.65,1.5193519351935194,1.4860486048604862,16.51,11.11,None,0.05 
ADI,"Analog Devices, Inc.",167.36,154.8050116731518,4.19,13.08,0.9249821443185455,5.0465307, 22.55 ,23.801, 65.29 Bil ,65815552000,"$2,224","$9,377",1.5123802638713177,1.5016266040122899,166.17,110.66,0.1108,5.06 
ADILW,,,,Key Error,,,,Not Found!,, - ,,$-10.93,$3.23,,,,,,N/A 
ADNWW,,,,Key Error,,,,Not Found!,, - ,,$0.00,$23.71,,,,,,N/A 
ADMP,Adamis Pharmaceuticals Corporat,1.08,undefined,-0.637,N/A,undefined,29.45946, -3.56 ,-4.687, 160.80 Mil ,157822432,$-21.85,$27.37,2.8421052631578947,2.736842105263158,1.04,0.38,0.074,-11.89 
ADIL,"Adial Pharmaceuticals, Inc",3.69,undefined,-0.973,N/A,undefined,12.923077, -4.95 ,-3.928, 70.52 Mil ,62859284,$-10.93,$3.23,3.236842105263158,3.2982456140350878,3.76,1.14,0.084300004,N/A 
ADOC,Edoc Acquisition Corp.,10.06,undefined,None,,undefined,None,Not Found!,None, 118.91 Mil ,117902424,$,$0.07,1.0213197969543149,1.0223451776649746,10.0701,9.85,0.00029999999,N/A 
ADOCW,,,,Key Error,,,,Not Found!,, - ,,$,$0.08,,,,,,N/A 
ADOCR,Edoc Acquisition Corp.,0.36,undefined,None,,undefined,None,,None,,None,Not Found!,Not Found!,1.0285714285714287,1.0,0.35,0.35,None,Not Found!
ADMS,"Adamas Pharmaceuticals, Inc.",4.7,248.16273929961096,-1.772,-90.30,52.80058282970446,34.198475, -6.04 ,-6.993, 258.20 Mil ,242141872,$-51.42,$154.68,1.587837837837838,1.4932432432432432,4.42,2.96,0.0546,-3.75 
ADMA,ADMA Biologics Inc,1.38,undefined,-0.775,N/A,undefined,1.5098468, -4.32 ,-5.03, 242.15 Mil ,258670608,$-135.09,$121.22,1.1979166666666667,1.1805555555555558,1.36,1.152,0.1169,-1.19 
ADN,"Advent Technologies Holdings, I",7.37,undefined,None,N/A,undefined,None, -2723.89 ,-81.611, 342.71 Mil ,312980672,$0.00,$23.71,1.1234756097560976,1.1097560975609757,7.28,6.56,0.0998,10.03 
ADRE,Invesco BLDRS Emerging Markets ,51.26,,Key Error,,,None,Not Found!,,Not Found!,,Not Found!,Not Found!,1.166325369738339,1.159499431171786,50.96,43.95,,Not Found!
ADSK,"Autodesk, Inc.",310.19,440.4295221789884,5.836,35.58,1.4198701511299152,61.54026, 91.18 ,84.2, 69.41 Bil ,63579176960,"$1,469","$6,093",1.437195941250058,1.437195941250058,310.19,215.83,0.0098,7.17 
ADTN,"ADTRAN, Inc.",23.75,5.084824902723737,0.275,2.30,0.21409789064099946,3.2100863, 36.63 ,41.556, 1.07 Bil ,1053403392,$-5.5,$175.9,2.458592132505176,2.4544513457556936,23.71,9.66,0.0317,7.59 
ADV,Advantage Solutions Inc.,8.94,undefined,None,14.46,undefined,None, 16.64 ,14.015, 4.73 Bil ,5670949376,$315,"$3,259",1.1330798479087452,1.1064638783269962,8.73,7.89,0.059899997,0.96 
ADVWW,,,,Key Error,,,,Not Found!,, - ,,$314.78,"$3,258.70",,,,,,N/A 
ADVM,"Adverum Biotechnologies, Inc.",2.3,undefined,-1.35,N/A,undefined,0.56657225, 0.01 ,0.163," -8,608,000.00 ",-19288108,$-114.56,$147.01,1.1138014527845035,1.1137046004842615,2.2998,2.065,0.1038,-0.58 
ADP,"Automatic Data Processing, Inc.",207.08,187.0083891050584,5.755,10.48,0.903073155809631,15.688866, 22.68 ,23.008, 88.39 Bil ,88952340480,"$2,587","$43,102",1.6265807870552196,1.6274448197313642,207.19,127.31,0.01,2.39 
ADUS,Addus HomeCare Corporation,89.12,84.08793774319066,2.09,15.00,0.9435361057359813,2.6893928, 22.97 ,21.627, 1.52 Bil ,1437337472,$51.4,$345.1,1.109561752988048,1.1108067729083666,89.22,80.32,0.020399999,4.12 
ADPT,Adaptive Biotechnologies Corpor,33.69,-25.33304280155642,-1.156,4.30,-0.7519454675439722,6.76499, -27.18 ,-23.459, 4.25 Bil ,3806496768,$-233.9,$340.1,1.1330082394484613,1.1323389944509836,33.6701,29.735,0.0436,8.10 
ADXN,Addex Therapeutics Ltd,9.53,undefined,None,,undefined,None, -2.79 ,-3.033, 36.98 Mil ,38855264,$-12.15,$5.63,1.073198198198198,1.089662162162162,9.6762,8.88,None,-15.81 
ADTX,"Aditxt, Inc.",2.13,undefined,None,N/A,undefined,None, -1.57 ,None, 31.28 Mil ,28565762,$-16.59,$9.94,1.3148148148148147,1.2037037037037035,1.95,1.62,0.0435,N/A 
ADXS,"Advaxis, Inc.",0.4688,undefined,-0.327,N/A,undefined,1.4222221, -0.89 ,-0.712, 20.17 Mil ,13698962,$-18.08,$8.22,1.7757575757575756,1.6477272727272727,0.435,0.264,0.0308,-5.91 
AEAC,Authentic Equity Acquisition Co,9.68,undefined,None,,undefined,None,Not Found!,None, 290.50 Mil ,290140480,$,$0.42,1.0175549248396931,1.012298959318827,9.63,9.513,0.0007,
AEACU,Authentic Equity Acquisition Co,10,undefined,None,,undefined,None,Not Found!,None, - ,302140480,$,$0.05,1.0309278350515465,1.027319587628866,9.965,9.7,None,N/A 
AEACW,,,,Key Error,,,,Not Found!,, - ,,$,$0.42,,,,,,N/A 
AEHL,Antelope Enterprise Holdings Li,2.95,undefined,None,N/A,undefined,None, -0.95 ,1.727, 24.80 Mil ,95972360,$-0.06,$19.58,1.9798657718120807,1.993288590604027,2.97,1.49,0.1148,-4.02 
AEI,Alset EHome International Inc.,1.92,undefined,None,N/A,undefined,None, 0.02 ,4.093," -5,700,000.00 ",-6734032,$-9.32,$12.27,1.1636363636363636,1.1385454545454545,1.8786,1.65,0.031600002,1.33 
AEIS,"Advanced Energy Industries, Inc",87.71,99.53149260700391,4.026,5.94,1.1347793023258912,4.1348157, 13.21 ,16.221, 3.28 Bil ,4245181184,$185,$900,1.5376928471248246,1.5454067321178122,88.15,57.04,0.0373,4.61 
AEP,American Electric Power Company,89.25,113.6845291828794,4.57,6.03,1.2737762373431867,2.125497, 12.48 ,13.926, 81.17 Bil ,80262938624,"$-2,751","$62,728",1.1931818181818181,1.1911764705882353,89.1,74.8,0.0234,0.85 
AEPPL,,,,Key Error,,,,Not Found!,, - ,,"$-2,750.60","$62,728.30",,,,,,N/A 
AEPPZ,American Electric Power Company,52.85,undefined,None,,undefined,None,Not Found!,10.703, - ,61691187200,"$-2,750.60","$62,728.30",1.1820621784835608,1.1789308879445315,52.71,44.71,None,N/A 
AEMD,"Aethlon Medical, Inc.",3.62,undefined,-0.706,N/A,undefined,4.171908,Not Found!,-3.238, 30.54 Mil ,27636210,$-7.81,$1.13,2.9672131147540983,2.9754098360655736,3.63,1.22,0.021300001,25.95 
AEHR,Aehr Test Systems,7.11,-11.466536964980547,-0.235,20.00,-1.6127337503488812,16.936937, -45.04 ,-32.52, 168.02 Mil ,125633696,$-4.11,$8.41,6.182608695652175,6.095652173913043,7.01,1.15,0.058000002,11.42 
AEY,"ADDvantage Technologies Group, ",2.56,undefined,-1.513,N/A,undefined,2.2513087, -6.14 ,-5.327, 39.35 Mil ,36597612,$-8.51,$19.38,1.4222222222222223,1.3972222222222224,2.515,1.8,0.0149,2.68 
AFAQ,AF Acquisition Corp.,9.6,undefined,None,,undefined,None, -1074.49 ,None, 267.74 Mil ,276892128,$,$18.51,1.0010427528675703,1.0003128258602711,9.593,9.59,None,
AEYE,"AudioEye, Inc.",12.88,undefined,-0.856,N/A,undefined,6.0867515, -16.9 ,-22.647, 121.95 Mil ,164753680,$-2.87,$9.87,1.4295227524972254,1.397336293007769,12.59,9.01,0.0615,6.83 
AEZS,Aeterna Zentaris Inc.,0.734,undefined,-0.129,N/A,undefined,1.3581133, -2.61 ,-2.269, 19.85 Mil ,13204110,$-4.47,$23.01,2.5310344827586206,2.4310344827586206,0.705,0.29,0.0377,-2.29 
AFAQW,,,,Key Error,,,,Not Found!,, - ,,$,$18.51,,,,,,
AFAQU,AF Acquisition Corp.,9.85,undefined,None,,undefined,None,Not Found!,None, - ,276892128,$,$18.51,1.0102564102564102,1.005128205128205,9.8,9.75,None,
AERI,"Aerie Pharmaceuticals, Inc.",14.35,382.6404357976654,-3.827,-66.90,26.66483873154463,None, -7.58 ,-7.673, 725.46 Mil ,852330176,$-52.98,$395.14,1.592674805771365,1.5915649278579356,14.34,9.01,0.1415,-3.88 
AESE,"Allied Esports Entertainment, I",1.95,undefined,-0.758,N/A,undefined,0.94040966, -2.71 ,-6.27, 72.97 Mil ,102722328,$-4.27,$42.35,2.2674418604651163,2.261627906976744,1.945,0.86,0.0726,-3.34 
AFBI,"Affinity Bancshares, Inc.",13.97,undefined,None,,undefined,None,Not Found!,None, 26.67 Mil ,25315520,$0.00,$669.17,2.139356814701378,2.0796324655436447,13.58,6.53,0.00059999997,
AFCG,"AFC Gamma, Inc.",20.88,undefined,None,N/A,undefined,None,Not Found!,None, 225.64 Mil ,154044112,$,$10.05,1.0572151898734177,1.0582278481012657,20.9,19.75,0.0011,
AFIN,"American Finance Trust, Inc.",8.5,undefined,-0.43,N/A,undefined,0.563966, 13.36 ,15.373, 2.65 Bil ,2796648192,$99.5,"$1,918.0",1.574074074074074,1.5759259259259257,8.51,5.4,0.0396,0.06 
AFINO,"American Finance Trust, Inc. - ",26.75,undefined,None,,undefined,None,,25.31,,4550142464,Not Found!,Not Found!,1.0918367346938775,1.0918367346938775,26.75,24.5,None,Not Found!
AFINP,"American Finance Trust, Inc. - ",26.95,undefined,-0.44,,undefined,1.7750704,,25.436,,4572909056,Not Found!,Not Found!,1.173269481932956,1.177187636047018,27.04,22.97,None,Not Found!
AFRM,"Affirm Holdings, Inc.",69.98,undefined,None,-0.71,undefined,None, -121.31 ,-150.226, 19.04 Bil ,17764057088,$-216.4,"$2,362.4",1.50494623655914,1.421505376344086,66.1,46.5,0.0754,5.38 
AFIB,"Acutus Medical, Inc.",12.94,undefined,None,N/A,undefined,None, -3.19 ,-4.388, 325.48 Mil ,422634016,$-112.94,$64.74,1.1574239713774597,1.1422182468694098,12.77,11.18,0.26229998,-2.55 
AGBA,AGBA Acquisition Limited,10.85,undefined,None,,undefined,4.164742, -105.69 ,None, 59.82 Mil ,59343208,$-0.47,$4.93,1.0742574257425743,1.0712871287128714,10.82,10.1,0.00029999999,N/A 
