TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL),PRICE/FIFTY TWO WEEK LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT
ADP,"Automatic Data Processing, Inc.",195.14,165.9508293,5.77,10.26,0.850419336,22.41,22.206, 84.58 Bil ,84666712064,"$2,507 ","$43,426 ",1.532793967,127.31,0.009
ADPT,Adaptive Biotechnologies Corpor,44.52,-28.52150523,-1.114,8.2,-0.640644771,-39.38,-38.986, 5.66 Bil ,5627390464,($168.49),$373.15 ,1.880067568,23.68,0.0404
ADSK,"Autodesk, Inc.",299.34,367.6302718,5.44,35.58,1.228136139,90.99,88.487, 65.66 Bil ,65657356288,"$1,341 ","$6,314 ",2.032731224,147.26,0.0087
ADTN,"ADTRAN, Inc.",17.79,0.827874564,0.05,2.3,0.046535951,75.93,58.911, 788.59 Mil ,790170496,($22.90),$152.70 ,2.220973783,8.01,0.0341
ADTX,"ADiTx Therapeutics, Inc.",2.82,undefined,None,N/A,undefined,-3.62,-3.201, 31.04 Mil ,28342232,($7.22),$2.09 ,1.740740741,1.62,0.028199999
ADUS,Addus HomeCare Corporation,107.37,74.93797909,2.08,15,0.697941502,31.34,28.15, 1.79 Bil ,1777326080,$102.60 ,$373.90 ,1.476485149,72.72,0.0212
ADV,Advantage Solutions Inc.,12.76,undefined,None,14.46,undefined,20.01,15.174, 6.13 Bil ,6139120640,$315 ,"$3,237 ",1.617237009,7.89,0.0512
ADVM,"Adverum Biotechnologies, Inc.",9.96,undefined,-1.38,N/A,undefined,-4.96,-4.968, 566.54 Mil ,565348800,($91.14),$48.22 ,1.094505495,9.1,0.1266
ADXN,Addex Therapeutics Ltd,10.25,undefined,None,,undefined,-4.12,-2.383, 39.44 Mil ,29129686,($12.89),$6.27 ,1.642628205,6.24,None
ADXS,"Advaxis, Inc.",0.5134,undefined,-0.327,N/A,undefined,-2.1,-1.611, 43.28 Mil ,30278898,($17.74),$8.37 ,1.94469697,0.264,0.0442
AEACU,Authentic Equity Acquisition Co,10.01,undefined,None,,undefined,Not Found!,None, - ,299420992,$,$0.05 ,1.031958763,9.7,None
AEGN,Aegion Corp,30.53,-36.56829268,-1.015,15,-1.197782269,15.86,13.255, 1.13 Bil ,1134719232,$93.90 ,$493.10 ,2.678070175,11.4,0.0313
AEHL,Antelope Enterprise Holdings Li,2.88,undefined,None,N/A,undefined,1.51,1.731, 17.29 Mil ,96216424,$0.90 ,$19.39 ,2.285714286,1.26,0.0942
AEHR,Aehr Test Systems,2.35,-10.26794425,-0.235,20,-4.369337979,-8,-7.802, 56.65 Mil ,55230712,($4.11),$8.41 ,2.043478261,1.15,0.010299999
AEI,Alset EHome International Inc.,10.35,undefined,None,N/A,undefined,-16.99,-34.569, 57.65 Mil ,57597040,$1.62 ,$8.59 ,2.25,4.6,0.064899996
AEIS,"Advanced Energy Industries, Inc",119.72,77.46078885,3.499,5.94,0.647016278,18.83,17.893, 4.46 Bil ,4413915648,$165 ,$832 ,2.548318433,46.98,0.0493
AEMD,"Aethlon Medical, Inc.",1.9,undefined,-0.706,N/A,undefined,-1.5,-1.503, 11.09 Mil ,11077961,($6.20),$1.24 ,1.610169492,1.18,0.032
AEP,American Electric Power Company,87.6,100.54,4.57,5.85,1.147716895,12.56,13.823, 79.61 Bil ,79673237504,"($2,971)","$61,765 ",1.171122995,74.8,0.0234
AEPPZ,American Electric Power Company,51.1,undefined,None,,undefined,12.56,10.644, - ,61346357248,"($2,970.60)","$61,765.10 ",1.142921047,44.71,None
AERI,"Aerie Pharmaceuticals, Inc.",18.04,357.1475401,-3.989,-66.9,19.79753548,-7.03,-6.603, 802.43 Mil ,802434432,($67.79),$378.08 ,2.002219756,9.01,0.1892
AESE,"Allied Esports Entertainment, I",2.68,undefined,-0.758,N/A,undefined,-3.13,-6.593, 117.59 Mil ,108006160,($5.53),$28.50 ,3.11627907,0.86,0.065
AEY,"ADDvantage Technologies Group, ",2.09,undefined,-1.513,N/A,undefined,-1.87,-3.815, 31.59 Mil ,30720184,($5.94),$15.80 ,1.393333333,1.5,0.0228
AEYE,"AudioEye, Inc.",25.3,undefined,-0.774,N/A,undefined,-45.49,-41.393, 260.41 Mil ,258211856,($3.20),$10.62 ,6.405063291,3.95,0.0544
AEZS,Aeterna Zentaris Inc.,1.14,undefined,-0.125,N/A,undefined,-14.47,-17.28, 99.01 Mil ,101882776,($4.13),$24.07 ,3.931034483,0.29,0.0506
AFAQU,AF Acquisition Corp.,9.93,undefined,None,,undefined,Not Found!,None, - ,None,$,$0.04 ,1.018461538,9.75,None
AFBI,"Affinity Bancshares, Inc.",12.47,undefined,None,,undefined,Not Found!,None,"-68,470,000.00",31653880,$,$242.13 ,1.98566879,6.28,0.0006
AFCG,"AFC Gamma, Inc.",22.75,undefined,None,,undefined,Not Found!,None, 305.03 Mil ,109766720,$,$1.86 ,1.151898734,19.75,0.0009
AFIB,"Acutus Medical, Inc.",14.26,undefined,None,N/A,undefined,-3.29,-3.507, 318.23 Mil ,308673120,($96.39),$65.95 ,1.132644956,12.59,0.1516
AFIN,"American Finance Trust, Inc.",9.76,undefined,-0.43,N/A,undefined,15.57,15.244, 2.86 Bil ,2773334272,$83.50 ,"$1,908.40 ",1.807407407,5.4,0.0396
AFINO,"American Finance Trust, Inc. - ",25.65,undefined,None,,undefined,,24.76,,4504520704,Not Found!,Not Found!,1.046938776,24.5,None
AFMD,Affimed N.V.,11.37,undefined,-0.599,N/A,undefined,-24.78,-34.658, 1.16 Bil ,1189096576,($20.77),$126.19 ,6.649122807,1.71,0.0736
AFINP,"American Finance Trust, Inc. - ",25.94,undefined,-0.43,,undefined,,25.023,,4552232448,Not Found!,Not Found!,1.643852978,15.78,None
AFRM,"Affirm Holdings, Inc.",77.97,undefined,None,-5.28,undefined,-305.68,-290.165, 20.79 Bil ,22533038080,($81.20),"$3,057.70 ",1.187661843,65.65,0.0771
AFYA,Afya Limited,21.81,undefined,None,10.36,undefined,21.4,5.1, 2.29 Bil ,2407546624,$45.40 ,$380.80 ,1.346296296,16.2,0.0149
AGBA,AGBA Acquisition Limited,10.56,undefined,None,,undefined,-109.55,None, 57.08 Mil ,57868120,($0.51),$3.23 ,1.045544554,10.1,0.001
AGBAU,AGBA Acquisition Limited,10.3,undefined,-0.223,,undefined,-109.55,None, - ,54825396,($0.51),$3.23 ,1.007827789,10.22,None
AGC,Altimeter Growth Corp.,13.63,undefined,None,N/A,undefined,Not Found!,None, 856.88 Mil ,816428096,$,$0.08 ,1.263206673,10.79,0.0032
AGCUU,Altimeter Growth Corp.,14.46,undefined,None,,undefined,Not Found!,None, - ,861428096,$,$0.08 ,1.302702703,11.1,None
AGEN,Agenus Inc.,3.14,undefined,-1.05,N/A,undefined,-5.12,-5.513, 586.65 Mil ,600049984,($142.56),$426.01 ,1.377192982,2.28,0.1459
AGFS,"AgroFresh Solutions, Inc.",2.18,-45.53923345,-1.264,15,-20.88955663,7.12,8.714, 348.54 Mil ,492960128,$24.30 ,$513.40 ,1.614814815,1.35,0.060700003
AGFY,Agrify Corporation,10.86,undefined,None,N/A,undefined,-19.06,-17.998, 255.01 Mil ,219155616,$,$28.29 ,1.025495751,10.59,0.018099999
AGGRU,Agile Growth Corp.,10,undefined,None,,undefined,Not Found!,None, - ,None,$,$0.07 ,1.025641026,9.75,None
AGIO,"Agios Pharmaceuticals, Inc.",56.11,-352.8163763,-4.745,40,-6.287941121,-11.3,-11.913, 3.40 Bil ,3647364864,($305.70),$453.50 ,1.728056668,32.47,0.1187
AGLE,"Aeglea BioTherapeutics, Inc.",8.31,undefined,-1.516,N/A,undefined,-3.28,-2.916, 253.79 Mil ,234731280,($80.06),$21.79 ,1.846666667,4.5,0.0463
AGMH,AGM Group Holdings Inc.,12.6,undefined,-0.049,,undefined,-247.68,-267.88, 270.05 Mil ,262444880,($1.65),$2.42 ,1.076923077,11.7,0
AGNC,AGNC Investment Corp.,17.36,-8.55010453,-0.66,-0.05,-0.492517542,Not Found!,None, 9.97 Bil ,50425720832,"$1,747.00 ","$70,738.00 ",1.65648855,10.48,0.019
AGNCM,AGNC Investment Corp. - Deposit,25.68,undefined,-0.66,,undefined,,None,,54648233984,Not Found!,Not Found!,1.280159521,20.06,None
AGNCN,AGNC Investment Corp. - Deposit,25.75,undefined,-0.66,,undefined,,None,,54675128320,Not Found!,Not Found!,1.239172281,20.78,None
AGNCO,AGNC Investment Corp. - Deposit,24.95,undefined,-0.66,,undefined,,None,,54357770240,Not Found!,Not Found!,1.277521761,19.53,None
AGNCP,AGNC Investment Corp. - Deposit,24,undefined,None,,undefined,,None,,53927448576,Not Found!,Not Found!,1.224489796,19.6,None
AGRX,"Agile Therapeutics, Inc.",1.94,undefined,-0.612,N/A,undefined,-2.58,-2.563, 126.22 Mil ,125037760,($47.66),$23.73 ,1.083798883,1.79,0.0675
AGTC,Applied Genetic Technologies Co,4.33,undefined,-2.269,N/A,undefined,-2.43,-2.377, 130.47 Mil ,130098616,($50.38),$30.45 ,1.36163522,3.18,0.1035
AGYS,"Agilysys, Inc.",52.54,-14.52367944,-1.108,0.05,-0.276430899,-78.87,186.887, 1.19 Bil ,1151408384,$18.90 ,$72.40 ,3.387491941,15.51,0.0387
AHAC,Alpha Healthcare Acquisition Co,10.23,undefined,None,,undefined,-562.62,None, 130.87 Mil ,131693464,$,$2.10 ,1.060103627,9.65,0.020499999
AHACU,Alpha Healthcare Acquisition Co,12.5,undefined,None,,undefined,-562.62,None, - ,145245200,$,$2.10 ,1.27148815,9.831,None
AHCO,AdaptHealth Corp.,29.46,undefined,None,29.89,undefined,78.67,23.741, 4.22 Bil ,4079632128,$156 ,"$1,419 ",2.166176471,13.6,0.0402
AHPI,"Allied Healthcare Products, Inc",4.83,undefined,-0.08,N/A,undefined,87.48,16.27, 22.40 Mil ,22354984,($2.72),$10.61 ,1.186732187,4.07,0.1075
AIH,Aesthetic Medical International,6.56,undefined,None,N/A,undefined,-7.2,-3.734, 240.60 Mil ,592536384,$0.00 ,$133.50 ,1.721784777,3.81,None
AIHS,Senmiao Technology Limited,1.34,undefined,-0.318,,undefined,-8.4,-5.899, 69.22 Mil ,66897748,($1.51),$18.18 ,4.036144578,0.332,0.0038
AIKI,AIkido Pharma Inc.,1.03,undefined,None,N/A,undefined,-9.65,None, 63.17 Mil ,60412180,($5.49),$0.88 ,2.191489362,0.47,0.0224
AIMC,Altra Industrial Motion Corp.,64.12,-14.23101045,-0.395,15,-0.221943394,26.56,14.793, 5.41 Bil ,5325420032,$229 ,"$2,211 ",3.798578199,16.88,0.0168
AINV,Apollo Investment Corporation -,14.34,-20.94522648,-1.188,3,-1.460615515,Not Found!,None, 2.42 Bil ,2393955584,$431.51 ,"$1,561.37 ",2.28708134,6.27,0.0186
AIRG,"Airgain, Inc.",21.24,-22.67456446,-0.34,35,-1.0675407,-94.22,-86.855, 182.63 Mil ,181700784,$2.98 ,$7.19 ,3.303265941,6.43,0.048600003
AIRT,"Air T, Inc.",22.34,undefined,-0.38,N/A,undefined,55.63,52.233, 155.81 Mil ,159831744,($23.40),$163.30 ,2.496089385,8.95,0.0107
AKAM,"Akamai Technologies, Inc.",109.75,105.9142857,3.37,12,0.965050439,17.1,19.481, 19.90 Bil ,19897485312,$483 ,"$3,513 ",1.184693437,92.64,0.056199998
AKBA,"Akebia Therapeutics, Inc.",3.18,undefined,-2.769,N/A,undefined,-1.09,-2.366, 364.50 Mil ,328847488,($110.40),$396.50 ,1.5215311,2.09,0.1582
AKIC,Sports Ventures Acquisition Cor,9.81,undefined,None,,undefined,Not Found!,None, 290.86 Mil ,281154592,$,$0.03 ,1.027225131,9.55,0.0016
AKICU,Sports Ventures Acquisition Cor,10,undefined,None,,undefined,Not Found!,None, - ,288319616,$,$0.03 ,1.025641026,9.75,None
AKRO,"Akero Therapeutics, Inc.",30.21,undefined,-2.517,N/A,undefined,-9.87,-10.005, 801.92 Mil ,801802880,($70.80),$14.63 ,1.645424837,18.36,0.1739
AKTS,"Akoustis Technologies, Inc.",12.27,undefined,-1.107,N/A,undefined,-16.83,-14.343, 556.91 Mil ,476773760,($35.59),$31.09 ,2.566945607,4.78,0.0945
AKTX,Akari Therapeutics Plc,2.39,undefined,-0.541,N/A,undefined,-4.28,-4.428, 75.97 Mil ,75587056,($16.95),$5.22 ,1.757352941,1.36,None
AKU,Akumin Inc.,3.13,undefined,None,N/A,undefined,23.56,15.735, 718.65 Mil ,726366400,$13.30 ,$579.00 ,1.159259259,2.7,None
AKUS,"Akouos, Inc.",15.03,undefined,None,26.2,undefined,-4.89,-4.107, 187.79 Mil ,186260288,($45.30),$22.74 ,1.142097264,13.16,0.14819999
ALAC,Alberton Acquisition Corporatio,11.04,undefined,-0.019,,undefined,-99.33,None, 54.18 Mil ,51501632,$0.03 ,$7.69 ,1.140495868,9.68,0.0273
ALACU,Alberton Acquisition Corporatio,11.3,undefined,-0.019,,undefined,-99.33,None, - ,75183816,$0.03 ,$7.69 ,1.128871129,10.01,None
ALACW,Alberton Acquisition Corporatio,0.3999,undefined,-0.019,,undefined,,None,,None,Not Found!,Not Found!,0.975365854,0.41,None
ALBO,"Albireo Pharma, Inc.",31.85,undefined,-6.734,N/A,undefined,-3.69,-3.767, 354.12 Mil ,361954592,($101.03),$104.38 ,2.159322034,14.75,0.1216
ALCO,"Alico, Inc.",29.72,undefined,3.559,N/A,undefined,6.93,17.081, 384.26 Mil ,380832608,($37.96),$205.64 ,1.135651509,26.17,0.013200001
ALDX,"Aldeyra Therapeutics, Inc.",11.11,-139.379122,-1.106,73.7,-12.54537551,-16.95,-19.187, 643.50 Mil ,664084928,($37.49),$23.84 ,5.29047619,2.1,0.1229
ALEC,"Alector, Inc.",19.47,28.49973519,-2.446,-16.1,1.463776846,-6.25,-5.856, 1.11 Bil ,1107076736,($171.77),$220.72 ,2.134868421,9.12,0.1338
ALGM,"Allegro MicroSystems, Inc.",26.86,undefined,None,13.69,undefined,76.12,40.751, 4.91 Bil ,4994511360,$59.70 ,$135.00 ,1.600715137,16.78,0.0916
ALGN,"Align Technology, Inc.",617.24,910.7986202,22.41,18.01,1.475598827,100.54,100.533, 48.33 Bil ,48326897664,$507 ,"$1,596 ",3.579447924,172.44,0.0251
ALGS,"Aligos Therapeutics, Inc.",29.1,undefined,None,N/A,undefined,-11.25,-9.24, 750.16 Mil ,879461952,($52.39),$45.26 ,2.269890796,12.82,0.045900002
ALGT,Allegiant Travel Company,240.59,153.733547,-11.526,-17.2,0.638985606,-39.11,22430.438, 5.02 Bil ,4979556864,($46.50),"$2,559.60 ",3.788818898,63.5,0.1141
ALHC,"Alignment Healthcare, Inc.",26.76,undefined,None,,undefined,Not Found!,1.505, 4.82 Bil ,15343403,$,$272.15 ,1.574117647,17,0.0044
ALIM,"Alimera Sciences, Inc.",10.92,undefined,-1.043,N/A,undefined,48.82,64.809, 129.33 Mil ,115035744,($2.81),$58.83 ,2.857890605,3.821,0.0221
ALJJ,"ALJ Regional Holdings, Inc.",1.44,undefined,-1.551,N/A,undefined,-5.43,8.348, 198.02 Mil ,196752624,$12.20 ,$211.10 ,5.142857143,0.28,0.0065
ALKS,Alkermes plc,22.47,5.992585366,-0.698,-14.1,0.266692718,-557.43,-109.679, 3.36 Bil ,3353205248,$41 ,$883 ,1.724481965,13.03,0.1091
ALLK,Allakos Inc.,109.89,9.508292683,-3.101,-10.5,0.08652555,-34.08,-33.992, 5.33 Bil ,5286144000,($114.55),$65.22 ,2.285090455,48.09,0.1295
ALLO,"Allogene Therapeutics, Inc.",35.14,-30.2795122,-2.079,1,-0.861682191,-17.52,-16.215, 4.29 Bil ,4066970880,($181.05),$148.21 ,1.743920596,20.15,0.1022
ALLT,Allot Ltd.,18.62,-40.56585366,-0.27,89.5,-2.178617275,-206.66,-119.696, 564.61 Mil ,564607360,($19.80),$71.40 ,2.200945626,8.46,0.020299999
ALNA,"Allena Pharmaceuticals, Inc.",1.21,undefined,-1.01,N/A,undefined,-1.47,-1.446, 46.52 Mil ,46019800,($28.16),$16.36 ,1.273684211,0.95,0.0279
ALNY,"Alnylam Pharmaceuticals, Inc.",142.9,-624.676984,-7.464,46.09,-4.37142746,-20.99,-19.125, 15.22 Bil ,15179179008,($685.30),"$2,390.80 ",1.378678244,103.65,0.040799998
ALOT,"AstroNova, Inc.",17.93,undefined,0.18,N/A,undefined,14.61,16.13, 122.98 Mil ,135750896,$13.00 ,$40.80 ,3.314232902,5.41,0.0046
