TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
ACRS,"Aclaris Therapeutics, Inc.",17.6,-208.53808764940246,-1.435,74.40,-11.848754980079685,8.042672,9.21 , 841.18 Mil ,812741824,$-45.77,-26753750,128295000,-897359080,$54.23,14047000,8.84422110552764,8.42211055276382,16.76,1.99,0.050100002, -17.45 ,-17.866
ACST,"Acasti Pharma, Inc.",2.54,undefined,0.027,N/A,undefined,14.424243,5.80 , 48.18 Mil ,52349780,$-13.59,-12237361,27918000,-441003888,$7.00,105000,1.8676470588235292,1.7426470588235294,2.37,1.36,0.0149, -2.66 ,-4.317
ACRX,"AcelRx Pharmaceuticals, Inc.",1.09,undefined,-0.357,N/A,undefined,None,-8.10 , 92.57 Mil ,117386136,$-35.81,-19224876,67345000,-57713144,$115.58,20369000,1.4533333333333334,1.4000000000000001,1.05,0.75,0.1338, -2.9 ,-3.618
ACTD,ArcLight Clean Transition Corp.,9.69,undefined,None,,undefined,None,, 375.62 Mil ,375731680,$,None,1164577,-333912287,$37.22,0,1.0083246618106139,1.0062434963579605,9.67,9.61,None, -953.36 ,None
ACTDU,,9.9,,Unexpected error:<class 'TypeError'>,,,None,, - ,,$,None,1164577,,$37.22,0,,,9.9,9.73,,Not Found!,
ACTDW,,,,Key Error,,,,, - ,,$,,,,$37.22,,,,,,,Not Found!,
ACTG,Acacia Research Corporation,6.39,-37.07043824701196,-0.742,20.00,-5.801320539438491,2.7947414,0.07 ," -42,653,000.00 ",26265240,$-29.77,-17891250,475737984,150986080,$467.93,117056000,2.0882352941176467,2.049019607843137,6.27,3.06,0.0517, 4.39 ,-1.642
ACVA,ACV Auctions Inc.,20.13,undefined,None,0.80,undefined,None,5.19 , 2.44 Bil ,3083766016,$0.0,None,659688000,-2435548096,$397.0,8470000,1.1072607260726073,1.0808580858085808,19.65,18.18,0.0718, -107.77 ,-116.747
ACWI,,,,Key Error,,,,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,,,,Not Found!,
ACWX,,58.11,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,58.105,44.71,,Not Found!,
ACXP,,5.35,,Unexpected error:<class 'TypeError'>,,,None,N/A , 55.93 Mil ,,$0.00,None,2628273,,$1.92,66503,,,5.33,3.71,, -10.09 ,
ADAP,Adaptimmune Therapeutics plc,4.94,-15.470996015936256,-0.929,1.00,-3.131780570027582,2.4836602,1.43 , 508.35 Mil ,305018048,$-128.64,-79465248,317944000,-450211136,$111.85,22742000,1.4658753709198813,1.454005934718101,4.9,3.37,None, -3.54 ,-2.273
ADBE,Adobe Inc.,664.64,545.4945752988049,11.538,18.47,0.8207369031337339,23.00252,18.74 , 316.49 Bil ,301443776512,"$6,595",5496374784,5768000000,-312862035456,"$11,730",4693000192,1.579542753933172,1.5787228480441087,664.295,420.78,0.0101, 53.1 ,52.617
ADAG,Adagene Inc.,16.82,undefined,None,N/A,undefined,None,0.02 , 530.18 Mil ,707409536,$,-12611279,75151000,-654644200,$173.65,7980965,1.513951395139514,1.495049504950495,16.61,11.11,None, -12.83 ,-16.726
ADER,26 Capital Acquisition Corp.,9.65,undefined,None,,undefined,None,, 333.54 Mil ,332206848,$,None,886918,-332550586,$0.28,0,1.0083594566353187,1.0094043887147335,9.66,9.57,None,Not Found!,None
ADERU,,10.08,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,886918,,$0.28,0,,,10.07,9.86,,Not Found!,
ADERW,,,,Key Error,,,,N/A , - ,,$,,,,$0.28,,,,,,,Not Found!,
ADES,"Advanced Emissions Solutions, I",6.7,-26.45784860557769,-0.258,50.00,-3.948932627698163,1.2541437,4.38 , 94.14 Mil ,98799408,$41.47,19081500,41335000,-87071632,$42.21,13083000,1.903409090909091,1.8821022727272727,6.625,3.52,0.0323, 1.5 ,12.76
ADGI,,,,Key Error,,,,, 4.79 Bil ,,$,,,,$28.69,,,,,,, -123.85 ,
ADI,"Analog Devices, Inc.",162.62,161.73733864541836,4.19,13.52,0.9945722460055243,4.924066,6.73 , 90.97 Bil ,65815552000,"$2,224",2004955520,1305216000,-58607045632,"$9,377",5283246080,1.4695463582143504,1.46156967287186,161.7373,110.66,0.1108, 31.6 ,23.801
ADIL,"Adial Pharmaceuticals, Inc",4.31,undefined,-0.973,N/A,undefined,13.384616,N/A , 84.01 Mil ,62859284,$-10.93,-4758694,5209845,-73975379,$3.23,273287,3.780701754385965,3.7018421052631587,4.2201,1.14,0.084300004, -5.24 ,-3.928
ADILW,,,,Key Error,,,,N/A , - ,,$-10.93,,,,$3.23,,,,,,,Not Found!,
ADMA,ADMA Biologics Inc,1.35,undefined,-0.775,N/A,undefined,1.4551423,-1.22 , 235.51 Mil ,258670608,$-135.09,-90639216,61965708,-108526996,$121.22,100150160,1.1718750000000002,1.154513888888889,1.33,1.152,0.1169, -4.19 ,-5.03
ADMP,Adamis Pharmaceuticals Corporat,1.14,undefined,-0.637,N/A,undefined,30,-11.82 , 165.27 Mil ,157822432,$-21.85,-8622978,6855355,-158408101,$27.37,6858474,2.9999999999999996,2.8289473684210527,1.075,0.38,0.074, -3.62 ,-4.687
ADN,"Advent Technologies Holdings, I",7.88,undefined,None,N/A,undefined,None,11.38 , 414.82 Mil ,242954720,$0.00,-11100541,116109056,-254765696,$23.71,182140,1.201219512195122,1.1753048780487805,7.71,6.56,0.097799994, -11211.35 ,-24.107
ADMS,"Adamas Pharmaceuticals, Inc.",4.73,254.0949163346614,-1.772,-90.30,53.71985546187344,36.259544,-3.71 , 260.48 Mil ,242141872,$-51.42,-33543000,124831000,-90857480,$154.68,137662000,1.597972972972973,1.5743243243243243,4.66,2.96,0.0546, -6.34 ,-6.993
ADOC,Edoc Acquisition Corp.,10.1137,undefined,None,,undefined,None,N/A , 119.62 Mil ,117902424,$,None,727773,-118728707,$0.07,0,1.026771573604061,1.0274111675126902,10.12,9.85,0.00029999999,Not Found!,None
ADOCR,,0.36,,Unexpected error:<class 'TypeError'>,,,None,Not Found!,,,Not Found!,None,727773,,Not Found!,0,,,0.36,0.36,,,
ADNWW,,,,Key Error,,,,N/A , - ,,$0.00,,,,$23.71,,,,,,,Not Found!,
ADOCW,,,,Key Error,,,,N/A , - ,,$,,,,$0.08,,,,,,,Not Found!,
ADRE,,52.86,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,Not Found!,,,,52.74,43.95,,Not Found!,
ADPT,Adaptive Biotechnologies Corpor,39.24,-25.938613545816736,-1.156,4.30,-0.6610248100361044,7.61712,9.20 , 5.07 Bil ,3806496768,$-233.9,-110202128,598412992,-4945274688,$340.1,108607000,1.3196569699007905,1.3031881620985373,38.7503,29.735,0.0436, -31.26 ,-23.459
ADP,"Automatic Data Processing, Inc.",206.53,191.47870916334665,5.755,10.48,0.9271229805033004,15.570238,2.38 , 88.51 Bil ,88952340480,"$2,587",3625112576,2575200000,-85668729088,"$43,102",3446400000,1.6222606236744954,1.6053020186945253,204.371,127.31,0.01, 22.51 ,23.008
ADSK,"Autodesk, Inc.",287.47,358.7814693227092,5.836,26.57,1.2480657784210845,56.297523,6.58 , 64.64 Bil ,63579176960,"$1,469",1336724992,923200000,-62605551104,"$6,093",2091200000,1.33192790622249,1.3181670759393966,284.5,215.83,0.0098, 83.11 ,84.2
ADTN,"ADTRAN, Inc.",20.72,5.206374501992034,0.275,2.30,0.25127290067529123,2.6848707,6.92 , 915.53 Mil ,930542016,$-5.5,-669250,72745000,-921786584,$175.9,0,2.144927536231884,2.1097308488612834,20.38,9.66,0.0374, 30.18 ,36.709
ADTX,"Aditxt, Inc.",1.8,undefined,None,N/A,undefined,None,N/A , 35.89 Mil ,28565762,$-16.59,-7826623,14045036,-13120924,$9.94,5663328,1.1111111111111112,1.0555555555555554,1.71,1.62,0.0435, -1.88 ,None
ADV,Advantage Solutions Inc.,8.82,undefined,None,14.46,undefined,None,0.94 , 4.70 Bil ,5670949376,$315,None,163651008,-2657815616,"$3,259",2042893952,1.11787072243346,1.1039290240811155,8.71,7.89,0.059899997, 16.09 ,14.015
ADUS,Addus HomeCare Corporation,92.17,86.09800796812749,2.09,15.00,0.9341218180332808,2.68226,4.11 , 1.54 Bil ,1437337472,$51.4,75994376,125547000,-1309734792,$345.1,239932000,1.147534860557769,1.1157868525896415,89.62,80.32,0.020399999, 22.9 ,21.627
ADVM,"Adverum Biotechnologies, Inc.",2.53,undefined,-1.35,N/A,undefined,0.5524079,-0.60 ," -4,682,000.00 ",1205078,$-114.56,-83843128,363843008,134675584,$147.01,129546000,1.225181598062954,1.1283292978208233,2.33,2.065,0.1342, 0.04 ,-0.009
ADVWW,,,,Key Error,,,,N/A , - ,,$314.78,,,,"$3,258.70",,,,,,,Not Found!,
ADXN,Addex Therapeutics Ltd,10,undefined,None,,undefined,None,-15.92 , 39.19 Mil ,38855264,$-12.15,-6300243,18146520,-53590760,$5.63,420161,1.126126126126126,1.0686936936936937,9.49,8.88,None,Not Found!,-3.033
ADXS,"Advaxis, Inc.",0.4636,undefined,-0.327,N/A,undefined,1.5555556,-5.45 , 25.29 Mil ,13698962,$-18.08,-5608875,48110000,-21422344,$8.22,0,1.756060606060606,1.825,0.4818,0.264,0.0308, -1.22 ,-0.712
AEAC,Authentic Equity Acquisition Co,9.71,undefined,None,,undefined,None,, 289.00 Mil ,290140480,$,None,859527,-220630473,$0.42,0,1.0207085041522128,1.012298959318827,9.63,9.513,0.0007,Not Found!,None
AEACU,,10.01,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,859527,,$0.05,0,,,9.9901,9.7,,Not Found!,
AEACW,,,,Key Error,,,,N/A , - ,,$,,,,$0.42,,,,,,,Not Found!,
AEHL,Antelope Enterprise Holdings Li,2.98,undefined,None,N/A,undefined,None,-4.06 , 24.64 Mil ,95972360,$-0.06,-23868624,13482000,616918,$19.58,101156000,1.6741573033707864,1.6292134831460674,2.9,1.78,0.1148, -0.92 ,1.727
AEI,Alset EHome International Inc.,2.25,undefined,None,N/A,undefined,None,1.58 , 1.53 Mil ,-6734032,$-9.32,-7010131,72658872,17664916,$12.27,16463782,1.3636363636363638,1.2424242424242424,2.05,1.65,0.031600002, -0.02 ,4.093
AEHR,Aehr Test Systems,7.53,-11.740637450199205,-0.235,20.00,-1.559181600292059,18.896397,7.98 , 203.02 Mil ,125633696,$-2.93,None,4582000,-193402704,$10.22,4823000,6.547826086956523,6.62608695652174,7.62,1.15,0.058000002, -52.2 ,-32.52
AEIS,"Advanced Energy Industries, Inc",89.91,130.56430278884463,4.026,10.00,1.4521666420736807,4.0444846,4.55 , 3.33 Bil ,4245181184,$185,159677376,512764000,-2910056864,$900,427496000,1.5762622720897614,1.554523141654979,88.67,57.04,0.0373, 12.9 ,16.221
AEP,American Electric Power Company,90.93,116.40208764940242,4.57,6.03,1.280128534580473,2.152158,0.86 , 81.75 Bil ,80262938624,"$-2,751",-2287862528,472300000,-44710102560,"$62,728",36259098624,1.2156417112299467,1.206885026737968,90.275,74.8,0.0234, 12.57 ,13.926
AEMD,"Aethlon Medical, Inc.",3.73,undefined,-0.706,N/A,undefined,3.8679247,23.59 , 31.62 Mil ,27636210,$-7.81,-4594824,25171680,-27068388,$1.13,16835,2.9603174603174605,2.849365079365079,3.5902,1.26,0.021300001, -3.7 ,-3.238
AEPPL,,,,Key Error,,,,N/A , - ,,"$-2,750.60",,,,"$62,728.30",,,,,,, 12.57 ,
AEPPZ,,53.7,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,"$-2,750.60",-2287862528,472300000,,"$62,728.30",36259098624,,,53.4401,44.71,, 12.57 ,
AEY,"ADDvantage Technologies Group, ",2.73,undefined,-1.513,N/A,undefined,2.347295,2.72 , 40.98 Mil ,36597612,$-8.51,-4275220,3598000,-29668154,$19.38,10919000,1.5166666666666666,1.488888888888889,2.68,1.8,0.0149, -6.36 ,-5.327
AERI,"Aerie Pharmaceuticals, Inc.",14.88,391.787219123506,-3.827,-66.90,26.329786231418414,None,-3.90 , 724.99 Mil ,852330176,$-52.98,-33420876,208204000,-464245920,$395.14,230054000,1.65149833518313,1.5749167591564928,14.19,9.01,0.1415, -7.41 ,-7.673
AESE,"Allied Esports Entertainment, I",2,undefined,-0.758,N/A,undefined,0.9310987,-3.35 , 74.92 Mil ,75861632,$-4.27,-29515484,7689991,-70589009,$42.35,4328225,2.3255813953488373,2.267558139534884,1.9501,0.86,0.046, -2.71 ,-5.536
AEYE,"AudioEye, Inc.",12.94,undefined,-0.856,N/A,undefined,6.1103253,6.87 , 122.86 Mil ,164753680,$-2.87,1215625,25836000,-115478544,$9.87,1952000,1.4361820199778024,1.3995560488346281,12.61,9.01,0.0615, -17 ,-22.647
AFAQ,AF Acquisition Corp.,9.65,undefined,None,,undefined,None,, 269.42 Mil ,276892128,$,None,1707881,-268772119,$18.51,0,1.0062565172054223,1.0072992700729928,9.66,9.59,None, -1081.99 ,None
AEZS,Aeterna Zentaris Inc.,0.7419,undefined,-0.129,N/A,undefined,1.373585,-2.28 , 18.17 Mil ,13204110,$-4.47,-3517250,73371000,-14829112,$23.01,144000,2.5582758620689656,2.500344827586207,0.7251,0.29,0.0377, -2.62 ,-2.269
