TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL LIABILITIES
ACCD,45.37,undefined,None,25.40,undefined, -65.52 , 2.31 Bil ,$-48.6 Mil ,$79.2 Mil 
ACER,3.11,undefined,-2.058,N/A,undefined, -1.78 , 40.11 Mil ,$-17.03 Mil ,$6.39 Mil 
ACET,13.08,-272.70389473684213,-5.011,29.10,-20.848921615966525, -7.72 , 343.93 Mil ,$-7.72 Mil ,$44.01 Mil 
ACEV,9.97,undefined,None,,undefined, -258.45 , 289.47 Mil ,$ Mil ,$8.91 Mil 
ACEVU,10.8,undefined,None,,undefined,Not Found!, - ,$ Mil ,$8.91 Mil 
ACGL,38.37,262.79984210526317,3.32,46.19,6.849096744989919, 10.96 , 19.61 Bil ,"$2,847 Mil ","$29,353 Mil "
ACGLO,26.24,undefined,3.32,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACGLP,25.62,undefined,3.32,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACHC,57.14,-233.00301315789477,-7.59,12.71,-4.077756618094063, 18.22 , 7.96 Bil ,$442 Mil ,"$4,600 Mil "
ACHV,11.58,undefined,-5.418,N/A,undefined, -2.43 , 35.35 Mil ,$-13.49 Mil ,$3.01 Mil 
ACIU,7.61,undefined,-0.917,N/A,undefined, -4.71 , 307.31 Mil ,$-66.44 Mil ,$26.18 Mil 
ACIW,38.05,18.396052631578947,0.62,12.00,0.4834705028010236, 17.52 , 5.59 Bil ,$290 Mil ,"$2,180 Mil "
ACLS,41.09,60.225,1.46,20.00,1.4656850815283524, 20.43 , 1.45 Bil ,$62.3 Mil ,$143.0 Mil 
ACMR,80.79,36.712500000000006,0.89,20.00,0.45441886372075757, 79.95 , 1.71 Bil ,$-69.0 Mil ,$133.1 Mil 
ACNB,29.3,undefined,2.129,N/A,undefined,Not Found!," -82,145,000.00 ",$24.42 Mil ,"$2,297.39 Mil "
ACOR,4.87,-668.6842105263158,-12.32,29.00,-137.3068194099211, -6.78 , 242.56 Mil ,$-65.4 Mil ,$394.7 Mil 
ACRS,25.2,-143.86422368421054,-1.199,74.40,-5.7088977652464505, -27.05 , 1.33 Bil ,$-39.09 Mil ,$33.13 Mil 
ACRX,1.7,undefined,-0.474,N/A,undefined, -5.15 , 184.92 Mil ,$-40.36 Mil ,$122.05 Mil 
ACST,0.6,undefined,0.027,N/A,undefined, 17.3 , 95.17 Mil ,$-15.69 Mil ,$4.59 Mil 
ACTC,17.88,undefined,None,,undefined,Not Found!, 637.56 Mil ,$ Mil ,$0.05 Mil 
ACTCU,20.7,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.05 Mil 
ACTG,6.65,63.525000000000006,1.54,20.00,9.552631578947368, 1.08 , 138.85 Mil ,$-9.93 Mil ,$214.09 Mil 
ACWI,95.15,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACWX,55.18,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ADAG,17.95,undefined,None,N/A,undefined, -41.86 , 647.76 Mil ,$ Mil ,$162.90 Mil 
ADAP,5.31,-12.55375,-0.913,1.00,-2.3641713747645956, -4.04 , 508.75 Mil ,$-56.50 Mil ,$109.92 Mil 
ADBE,475.37,437.2617236842106,11.487,17.80,0.9198344945709881, 41.54 , 231.42 Bil ,"$5,790 Mil ","$11,439 Mil "
ADERU,10.04,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.28 Mil 
ADES,5.5,-95.25493421052633,-1.125,50.00,-17.319078947368425, -77.61 , 103.54 Mil ,$47.78 Mil ,$61.46 Mil 
ADI,155.08,110.68877368421055,3.771,11.78,0.7137527320364363, 25.13 , 63.26 Bil ,"$1,909 Mil ","$9,352 Mil "
ADIL,2.42,undefined,-0.874,N/A,undefined, -3.42 , 37.39 Mil ,$-7.63 Mil ,$1.51 Mil 
ADMA,1.76,undefined,-0.879,N/A,undefined, -4.41 , 263.69 Mil ,$-114.73 Mil ,$119.42 Mil 
ADMP,0.94,undefined,-0.499,N/A,undefined, -4.04 , 124.89 Mil ,$-19.69 Mil ,$16.52 Mil 
ADMS,4.8,314.36668421052633,-2.028,-115.60,65.49305921052633, -6.57 , 284.51 Mil ,$-50.71 Mil ,$170.01 Mil 
ADOC,9.99,undefined,None,,undefined,Not Found!, 117.92 Mil ,$ Mil ,$0.07 Mil 
ADP,188.47,156.6706842105263,5.77,10.26,0.8312765119675615, 21.67 , 81.80 Bil ,"$2,507 Mil ","$43,426 Mil "
ADPT,40.26,-26.92655263157895,-1.114,8.20,-0.6688165084843257, -35.27 , 5.10 Bil ,$-168.49 Mil ,$373.15 Mil 
ADRE,56.37,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ADSK,277.15,311.3254736842106,5.44,31.04,1.1233103867371843, 86.73 , 62.59 Bil ,"$1,341 Mil ","$6,314 Mil "
ADTN,16.68,0.7815789473684212,0.05,2.30,0.04685725104127225, 73.59 , 764.25 Mil ,$-22.9 Mil ,$152.7 Mil 
ADTX,2.55,undefined,None,N/A,undefined, -3.22 , 28.20 Mil ,$-7.22 Mil ,$2.09 Mil 
ADUS,104.59,70.74736842105264,2.08,15.00,0.6764257426240811, 31.15 , 1.78 Bil ,$102.6 Mil ,$373.9 Mil 
ADV,11.81,undefined,None,13.60,undefined, 19.25 , 5.88 Bil ,$315 Mil ,"$3,237 Mil "
ADVM,9.86,undefined,-1.38,N/A,undefined, -5.17 , 586.76 Mil ,$-91.14 Mil ,$48.22 Mil 
ADXN,10.415,undefined,None,,undefined, -3.19 , 40.74 Mil ,$-12.89 Mil ,$6.27 Mil 
ADXS,0.7362,undefined,-0.327,N/A,undefined, -3.21 , 66.19 Mil ,$-17.74 Mil ,$8.37 Mil 
AEACU,9.89,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.05 Mil 
AEGN,28.75,-34.523355263157896,-1.015,15.00,-1.2008123569794051, 15.27 , 1.08 Bil ,$93.9 Mil ,$493.1 Mil 
AEHL,3.11,undefined,None,N/A,undefined, 1.55 , 17.59 Mil ,$0.90 Mil ,$19.39 Mil 
AEHR,2.52,-8.0025,-0.194,20.00,-3.1755952380952377, -9.84 , 60.44 Mil ,$-4.24 Mil ,$6.32 Mil 
AEI,11.57,undefined,None,N/A,undefined, -4.93 , 74.49 Mil ,$-4.03 Mil ,$14.50 Mil 
AEIS,109.17,73.12910000000001,3.499,5.94,0.6698644316204087, 18.7 , 4.43 Bil ,$165 Mil ,$832 Mil 
AEMD,2.03,undefined,-0.706,N/A,undefined, -1.79 , 13.04 Mil ,$-6.20 Mil ,$1.24 Mil 
AEP,84.7,93.72144736842105,4.42,6.15,1.1065105946684894, 12.31 , 76.55 Bil ,"$-2,483 Mil ","$59,983 Mil "
AEPPZ,48.86,undefined,None,,undefined,Not Found!, - ,"$-2,483.10 Mil ","$59,982.70 Mil "
AERI,17.87,337.1754736842106,-3.989,-66.90,18.868241392513184, -6.98 , 818.86 Mil ,$-67.79 Mil ,$378.08 Mil 
AESE,2.88,undefined,-0.758,N/A,undefined, -5.5 , 117.68 Mil ,$-9.38 Mil ,$21.32 Mil 
AEY,2.6,undefined,-1.513,N/A,undefined, -2.32 , 39.00 Mil ,$-5.94 Mil ,$15.80 Mil 
AEYE,27.94,undefined,-0.774,N/A,undefined, -50.43 , 298.58 Mil ,$-3.20 Mil ,$10.62 Mil 
AEZS,1.14,undefined,-0.125,N/A,undefined, -16.53 , 111.82 Mil ,$-4.13 Mil ,$24.07 Mil 
AFIB,13.37,undefined,None,N/A,undefined, -3.18 , 293.78 Mil ,$-96.39 Mil ,$65.95 Mil 
AFIN,9.82,undefined,-0.43,N/A,undefined, 15.6 , 2.87 Bil ,$83.5 Mil ,"$1,908.4 Mil "
AFINO,24.4997,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AFINP,25.7313,undefined,-0.43,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AFMD,7.91,undefined,-0.599,N/A,undefined, -18.2 , 781.20 Mil ,$-38.53 Mil ,$71.76 Mil 
AFRM,70.72,undefined,None,-2.43,undefined, -283.43 , 19.53 Bil ,$-81.2 Mil ,"$3,057.7 Mil "
AFYA,18.59,undefined,None,10.36,undefined, 17.67 , 1.75 Bil ,$57.4 Mil ,$237.8 Mil 
AGBA,10.55,undefined,None,,undefined, -109.72 , 57.16 Mil ,$-0.51 Mil ,$3.23 Mil 
AGBAU,10.4,undefined,-0.223,,undefined,Not Found!, - ,$-0.51 Mil ,$3.23 Mil 
AGC,11.7,undefined,None,N/A,undefined, 12.57 , 326.08 Mil ,$ Mil ,$131.16 Mil 
AGCUU,12.22,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.08 Mil 
AGEN,2.72,undefined,-1.05,N/A,undefined, -4.66 , 535.48 Mil ,$-142.56 Mil ,$426.01 Mil 
AGFS,2,-42.992631578947375,-1.264,15.00,-21.496315789473687, 6.98 , 342.77 Mil ,$24.3 Mil ,$513.4 Mil 
AGFY,12.48,undefined,None,N/A,undefined, -82.08 , 252.89 Mil ,$ Mil ,$4.03 Mil 
AGIO,51.64,-333.0865131578948,-4.745,40.00,-6.450164855884871, -10.56 , 3.19 Bil ,$-305.7 Mil ,$453.5 Mil 
AGLE,7.92,undefined,-1.516,N/A,undefined, -3.05 , 244.74 Mil ,$-80.06 Mil ,$21.79 Mil 
AGMH,11.96,undefined,-0.077,,undefined, -238.67 , 257.76 Mil ,$-0.23 Mil ,$2.58 Mil 
AGNC,16.76,-8.071973684210526,-0.66,-0.05,-0.48162134154000746,Not Found!, 9.69 Bil ,"$1,747.00 Mil ","$70,738.00 Mil "
AGNCM,25.59,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCN,25.36,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCO,24.63,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCP,23.66,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGRX,2.08,undefined,-0.612,N/A,undefined, -3.15 , 152.21 Mil ,$-47.66 Mil ,$23.73 Mil 
AGTC,5.07,undefined,-2.269,N/A,undefined, -3.36 , 184.70 Mil ,$-50.38 Mil ,$30.45 Mil 
AGYS,47.96,-13.711500000000003,-1.108,0.05,-0.28589449541284406, -74.81 , 1.13 Bil ,$18.9 Mil ,$72.4 Mil 
AGZD,47.02,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AHAC,10.83,undefined,None,,undefined, -603.8 , 139.48 Mil ,$ Mil ,$2.10 Mil 
AHACU,12.495,undefined,None,,undefined,Not Found!, - ,$ Mil ,$2.10 Mil 
AHCO,36.76,undefined,None,29.89,undefined, 92.97 , 4.95 Bil ,$156 Mil ,"$1,419 Mil "
AHPI,4.74,undefined,-0.08,N/A,undefined, 88.9 , 22.76 Mil ,$-2.72 Mil ,$10.61 Mil 
AIA,92.18,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AIH,7.36,undefined,None,N/A,undefined, -8.12 , 262.32 Mil ,$0.0 Mil ,$133.5 Mil 
AIHS,1.4,undefined,-0.318,,undefined, -9.29 , 73.66 Mil ,$-1.51 Mil ,$18.18 Mil 
AIKI,1.14,undefined,None,N/A,undefined, -11.69 , 76.50 Mil ,$-5.49 Mil ,$0.88 Mil 
AIMC,55.32,-13.435197368421054,-0.395,15.00,-0.242863292993873, 24.02 , 4.90 Bil ,$229 Mil ,"$2,211 Mil "
AINV,13.72,-19.77394736842105,-1.188,3.00,-1.4412498081939542,Not Found!, 2.38 Bil ,$431.51 Mil ,"$1,561.37 Mil "
AIQ,28.45,undefined,None,,undefined,Not Found!, 314.16 Mil ,$54.9 Mil ,$662.7 Mil 
AIRG,21.19,-21.406578947368423,-0.34,35.00,-1.0102208092198406, -96.42 , 189.78 Mil ,$2.98 Mil ,$7.19 Mil 
AIRR,40.55,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AIRT,23.77,undefined,-0.38,N/A,undefined, 57.02 , 159.72 Mil ,$-23.4 Mil ,$163.3 Mil 
AKAM,101.9,92.38234210526316,3.37,10.44,0.9065980579515521, 15.88 , 18.46 Bil ,$483 Mil ,"$3,513 Mil "
AKBA,3.385,undefined,-2.769,N/A,undefined, -1.07 , 368.76 Mil ,$-110.4 Mil ,$396.5 Mil 
AKER,3.22,undefined,-2.493,N/A,undefined, -1.65 , 20.93 Mil ,$-11.93 Mil ,$2.26 Mil 
AKRO,29.01,undefined,-2.517,N/A,undefined, -9.09 , 729.24 Mil ,$-70.80 Mil ,$14.63 Mil 
AKTS,13.34,undefined,-1.107,N/A,undefined, -19.23 , 640.06 Mil ,$-35.59 Mil ,$31.09 Mil 
AKTX,2.64,undefined,-0.636,N/A,undefined, -5.14 , 97.33 Mil ,$-16.18 Mil ,$8.84 Mil 
AKU,3.7,undefined,None,N/A,undefined, 8.09 , 691.12 Mil ,$19.4 Mil ,$548.3 Mil 
AKUS,13.87,undefined,None,26.20,undefined, -3.97 , 184.70 Mil ,$-45.30 Mil ,$22.74 Mil 
ALAC,10.93,undefined,0.004,,undefined, -105.58 , 53.53 Mil ,$-0.14 Mil ,$7.36 Mil 
ALACU,11.2,undefined,0.004,,undefined,Not Found!, - ,$-0.14 Mil ,$7.36 Mil 
ALACW,0.45,undefined,0.004,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ALBO,35.25,undefined,-6.734,N/A,undefined, -4.54 , 436.50 Mil ,$-101.03 Mil ,$104.38 Mil 
ALCO,29.86,undefined,3.559,N/A,undefined, 6.88 , 381.18 Mil ,$-37.96 Mil ,$205.64 Mil 
ALDX,11.88,-131.58489473684213,-1.106,73.70,-11.076169590643277, -14.44 , 518.13 Mil ,$-37.49 Mil ,$23.84 Mil 
ALEC,20.14,26.90600000000001,-2.446,-16.10,1.3359483614697125, -6.55 , 1.23 Bil ,$-171.77 Mil ,$220.72 Mil 
ALGM,25.35,undefined,None,13.69,undefined, 77.63 , 5.03 Bil ,$59.7 Mil ,$135.0 Mil 
ALGN,541.53,1058.6955789473684,22.41,24.14,1.9550081785817377, 87.91 , 42.26 Bil ,$507 Mil ,"$1,596 Mil "
ALGS,22.74,undefined,None,N/A,undefined, -8.46 , 608.64 Mil ,$-52.39 Mil ,$45.26 Mil 
ALGT,244.06,145.1366052631579,-11.526,-17.20,0.594675920934024, -39.79 , 5.11 Bil ,$-46.5 Mil ,"$2,559.6 Mil "
ALIM,9.62,undefined,-1.043,N/A,undefined, 41.43 , 109.77 Mil ,$-2.81 Mil ,$58.83 Mil 
ALJJ,1.45,undefined,-1.551,N/A,undefined, -5.5 , 200.57 Mil ,$12.2 Mil ,$211.1 Mil 
ALKS,18.68,5.657473684210526,-0.698,-14.10,0.30286261692775834, -468.86 , 2.82 Bil ,$41 Mil ,$883 Mil 
ALLK,114.78,8.976578947368422,-3.101,-10.50,0.07820682128740566, -35.01 , 5.44 Bil ,$-114.55 Mil ,$65.22 Mil 
ALLO,35.3,-28.586250000000007,-2.079,1.00,-0.8098087818696886, -17.06 , 4.14 Bil ,$-181.05 Mil ,$148.21 Mil 
ALLT,15.97,-38.29736842105263,-0.27,89.50,-2.3980819299344165, -182.02 , 497.28 Mil ,$-19.8 Mil ,$71.4 Mil 
ALNA,1.39,undefined,-1.01,N/A,undefined, -1.69 , 53.98 Mil ,$-28.16 Mil ,$16.36 Mil 
ALNY,141.19,-589.7443894736844,-7.464,46.09,-4.176955800507716, -21 , 15.24 Bil ,$-685.3 Mil ,"$2,390.8 Mil "
ALOT,13.4,undefined,0.18,N/A,undefined, 15.35 , 107.49 Mil ,$11.3 Mil ,$40.3 Mil 
ALPN,10.6,undefined,-1.342,N/A,undefined, -6.55 , 174.47 Mil ,$29.28 Mil ,$81.93 Mil 
ALRM,86.38,63.112500000000004,1.53,20.00,0.7306378791386896, 38.19 , 4.24 Bil ,$81.6 Mil ,$263.9 Mil 
ALRN,1.43,-9.312657894736843,-0.607,2.10,-6.512348178137652, -5.69 , 115.58 Mil ,$-20.48 Mil ,$4.18 Mil 
ALRS,29.78,undefined,2.52,N/A,undefined,Not Found!, 423.01 Mil ,$-26.1 Mil ,"$2,683.6 Mil "
ALSK,3.25,1.1839473684210526,-0.02,-49.40,0.3642914979757085, 7.33 , 410.81 Mil ,$8.3 Mil ,$403.5 Mil 
ALT,14.13,undefined,-1.913,N/A,undefined, -5.55 , 300.81 Mil ,$-34.78 Mil ,$19.24 Mil 
ALTA,42.04,54.688815789473686,2.29,8.00,1.3008757323851972,Not Found!, 628.45 Mil ,$49.1 Mil ,"$2,995.1 Mil "
ALTM,52.47,10.489657894736842,0.282,17.20,0.1999172459450513, 15.29 , 1.48 Bil ,$134.3 Mil ,"$2,046.1 Mil "
ALTO,5.43,undefined,None,20.00,undefined, 15.34 , 474.71 Mil ,$65.2 Mil ,$180.6 Mil 
ALTR,62.57,-12.143146052631577,-0.143,50.17,-0.19407297510998206, 126.49 , 4.74 Bil ,$24.7 Mil ,$450.5 Mil 
ALTU,10.03,undefined,None,,undefined,Not Found!, 376.50 Mil ,$ Mil ,$0.28 Mil 
ALTUU,10.71,undefined,None,,undefined,Not Found!, - ,$ Mil ,$0.28 Mil 
ALTY,12.7,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ALVR,23.4,undefined,None,N/A,undefined, -15.54 , 1.11 Bil ,$-60.81 Mil ,$17.76 Mil 
ALXN,152.91,68.02863157894738,2.72,8.78,0.44489328087729635, 33.3 , 33.42 Bil ,"$2,896 Mil ","$6,452 Mil "
ALXO,73.74,undefined,None,N/A,undefined, -57.22 , 2.55 Bil ,$-38.32 Mil ,$6.21 Mil 
ALYA,2.43,-22.686776315789476,-0.667,15.00,-9.336121940654104, -7.93 , 198.24 Mil ,$-2.5 Mil ,$102.3 Mil 
AMAL,16.59,undefined,1.48,N/A,undefined,Not Found!, 544.74 Mil ,$64.2 Mil ,"$5,442.8 Mil "
AMAT,133.6,180.21210263157897,4.181,21.28,1.3488929837693038, 25.68 , 128.94 Bil ,"$3,797 Mil ","$11,832 Mil "
AMBA,100.39,-46.31208421052632,-1.724,10.06,-0.46132168752391994, -62.87 , 3.29 Bil ,$20.5 Mil ,$86.9 Mil 
AMCA,34.6694,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AMCX,53.16,-24.848421052631576,4.64,-12.20,-0.4674270325927686, 2.83 , 4.43 Bil ,USD702 Mil ,"USD4,603 Mil "
AMD,78.5,103.99029473684212,2.064,26.31,1.324717130405632, 57.56 , 96.47 Bil ,$777 Mil ,"$3,125 Mil "
AMED,264.79,205.80884210526318,5.52,17.26,0.7772530764200429, 31.32 , 9.08 Bil ,$284 Mil ,$756 Mil 
AMEH,27.09,undefined,1.01,N/A,undefined, 6.48 , 1.34 Bil ,$45.0 Mil ,$372.3 Mil 
AMGN,248.81,276.343302631579,12.31,7.01,1.1106599518973472, 12.8 , 166.25 Bil ,"$9,889 Mil ","$53,539 Mil "
AMHC,9.94,undefined,None,,undefined, -158.29 , 122.99 Mil ,$-0.64 Mil ,$3.68 Mil 
AMHCU,10.05,undefined,None,,undefined,Not Found!, - ,$-0.64 Mil ,$3.68 Mil 
AMKR,23.71,112.56184210526315,1.4,47.05,4.747441674620968, 6.76 , 6.49 Bil ,$217 Mil ,"$2,668 Mil "
AMNB,33.07,49.391447368421055,2.73,4.00,1.4935424060605096,Not Found!, 30.25 Mil ,$21.0 Mil ,"$2,712.1 Mil "
AMOT,51.33,79.68486842105264,1.43,30.00,1.5524034369969344, 16.3 , 627.50 Mil ,$15.5 Mil ,$206.1 Mil 
AMPH,18.32,1.4546052631578947,0.03,25.00,0.07939985060905538, 28.69 , 866.13 Mil ,$23.4 Mil ,$182.5 Mil 
AMRB,16.31,40.81578947368421,1.2,15.00,2.5025008874116623,Not Found!, 73.98 Mil ,$6.42 Mil ,$775.90 Mil 
AMRK,36,undefined,8.33,N/A,undefined, 6.29 , 620.59 Mil ,$-205 Mil ,$889 Mil 
AMRN,6.21,-3.430263157894737,-0.05,38.90,-0.5523773201118739, -163.25 , 2.06 Bil ,$-22.0 Mil ,$338.5 Mil 
AMRS,19.1,-104.76052631578946,-1.88,30.00,-5.484844309727197, -20.33 , 5.37 Bil ,$-188.5 Mil ,$389.9 Mil 
AMSC,18.96,-44.85032894736843,-0.925,25.00,-2.3655236786586724, -32.05 , 457.81 Mil ,$-6.87 Mil ,$52.13 Mil 
AMSF,64,119.69013157894737,4.47,10.00,1.8701583059210527,Not Found!, 1.17 Bil ,$62.5 Mil ,"$1,032.0 Mil "
AMST,4.14,undefined,None,N/A,undefined, -16.82 , 71.74 Mil ,$-4.19 Mil ,$0.97 Mil 
AMSWA,20.7,6.0637500000000015,0.171,16.00,0.2929347826086957, 57.18 , 587.51 Mil ,$25.2 Mil ,$47.1 Mil 
AMTB,18.57,undefined,-0.041,N/A,undefined,Not Found!, 1.66 Bil ,$51.7 Mil ,"$6,987.5 Mil "
AMTBB,16.45,undefined,-0.041,,undefined,Not Found!, 1.64 Bil ,$51.7 Mil ,"$6,987.5 Mil "
AMTI,44.01,undefined,None,38.70,undefined, -32.59 , 2.11 Bil ,$-64.21 Mil ,$8.51 Mil 
AMTX,24.52,undefined,-1.745,N/A,undefined, -185.25 , 940.57 Mil ,$-16.9 Mil ,$309.9 Mil 
AMWD,98.58,96.74427631578948,4.051,8.00,0.9813783355223116, 10.06 , 2.24 Bil ,$141 Mil ,$893 Mil 
AMYT,13.93,undefined,None,N/A,undefined, -17.45 , 579.21 Mil ,$24.4 Mil ,$470.4 Mil 
AMZN,3094.08,2766.834342105263,41.83,37.20,0.8942349073408778, 31.17 , 1.59 Til ,"$25,925 Mil ","$227,791 Mil "
ANAB,21.55,undefined,-0.73,N/A,undefined, -10.48 , 203.00 Mil ,$-14.73 Mil ,$19.82 Mil 
ANAT,107.87,undefined,17.38,N/A,undefined,Not Found!, 3.00 Bil ,$293 Mil ,"$23,002 Mil "
ANDA,10.27,undefined,-0.173,,undefined, -39.74 , 45.30 Mil ,$-0.25 Mil ,$0.88 Mil 
ANDAU,12.23,undefined,-0.173,,undefined,Not Found!, - ,$-0.25 Mil ,$0.88 Mil 
ANDE,27.38,5.492763157894738,0.23,8.00,0.20061224097497218, 11.76 , 2.53 Bil ,$-179 Mil ,"$3,111 Mil "
ANGI,13,-1.1438118421052632,-0.013,52.29,-0.08798552631578947, 79.76 , 7.21 Bil ,$136 Mil ,"$1,085 Mil "
ANGL,31.813,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ANGN,18.07,undefined,None,N/A,undefined, -14.68 , 558.53 Mil ,$-24.83 Mil ,$30.47 Mil 
ANGO,23.4,-150.50822368421052,-4.425,15.00,-6.431975371120108, -5.86 , 860.84 Mil ,$-14.3 Mil ,$134.2 Mil 
ANIK,40.79,-45.251973684210526,-1.69,10.00,-1.1093889111108244, -498.2 , 500.19 Mil ,$11.4 Mil ,$93.2 Mil 
ANIP,36.14,-29.192697368421054,-1.885,2.20,-0.8077669443392654, 21.28 , 598.61 Mil ,$-53.1 Mil ,$265.5 Mil 
ANIX,4.68,undefined,-0.413,N/A,undefined, -12.04 , 114.41 Mil ,$-5.43 Mil ,$1.53 Mil 
ANNX,27.84,undefined,None,38.60,undefined, -11.11 , 697.37 Mil ,$-53.09 Mil ,$11.67 Mil 
ANPC,5.99,undefined,None,N/A,undefined, -9.44 , 67.58 Mil ,$-5.28 Mil ,$4.22 Mil 
ANSS,339.56,118.69144736842105,4.97,8.00,0.34954484441165345, 49.96 , 30.53 Bil ,$512 Mil ,"$1,843 Mil "
ANTE,3.43,-104.48625000000001,-2.533,20.00,-30.462463556851315, -0.71 , 23.41 Mil ,$-17.72 Mil ,$120.36 Mil 
ANY,2.61,-50.53125,-1.225,20.00,-19.36063218390805, -7.36 , 32.77 Mil ,$-2.37 Mil ,$8.99 Mil 
AOSL,32.7,22.845986842105265,0.619,17.00,0.6986540318686625, 16.84 , 1.06 Bil ,$45.8 Mil ,$378.5 Mil 
AOUT,25.2,undefined,None,N/A,undefined, 8.74 , 346.96 Mil ,$22.8 Mil ,$63.7 Mil 
APA,17.9,288.50394736842105,-12.86,-24.00,16.117538959129668, -6.35 , 16.74 Bil ,$86 Mil ,"$13,391 Mil "
