TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL),PRICE/FIFTY TWO WEEK LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT
ACGL,Arch Capital Group Ltd.,39.64,273.9255384615385,3.32,45.13,6.910331444539317, 11.08 ,9.082, 19.84 Bil ,17139877888,"$2,847","$29,353",1.89393215480172,20.93,0.0108
ACGLO,Arch Capital Group Ltd. - Depos,26.44,undefined,3.32,,undefined,,6.285,,11861617664,Not Found!,Not Found!,1.2320596458527493,21.46,None
ACGLP,Arch Capital Group Ltd. - Depos,25.68,undefined,3.32,,undefined,,6.113,,11536500736,Not Found!,Not Found!,1.177603521804925,21.807,None
ACHC,"Acadia Healthcare Company, Inc.",61.52,-261.4463076923077,-7.59,13.89,-4.249777433229969, 19.3 ,19.677, 8.44 Bil ,8422658560,$442,"$4,600",3.419677598665926,17.99,0.0624
ACHV,"Achieve Life Sciences, Inc.",10.83,undefined,-5.418,N/A,undefined, -2.17 ,-2.133, 31.72 Mil ,30917602,$-13.49,$3.01,1.7467741935483871,6.2,0.0748
ACIU,AC Immune SA,6.92,undefined,-0.939,N/A,undefined, -3.7 ,-4.099, 241.15 Mil ,244825872,$-66.44,$26.18,1.5656108597285068,4.42,0.0446
ACIW,"ACI Worldwide, Inc.",40.21,19.553846153846155,0.62,12.00,0.48629311499244354, 18.21 ,22.967, 5.81 Bil ,5768432128,$290,"$2,180",1.840274599542334,21.85,0.031
ACLS,"Axcelis Technologies, Inc.",42.07,64.01538461538462,1.46,20.00,1.5216397579126366, 18.73 ,20.202, 1.33 Bil ,1268300928,$62.3,$143.0,2.300164024056862,18.29,0.0252
ACMR,"ACM Research, Inc.",82.58,39.023076923076935,0.89,20.00,0.47254876390260275, 73.19 ,69.403, 1.56 Bil ,1564828800,$-69.0,$133.1,2.6124644099968366,31.61,0.0795
ACNB,ACNB Corporation,27.46,undefined,2.129,N/A,undefined,Not Found!,None," -101,585,000.00 ",-64845068,$24.42,"$2,297.39",1.4452631578947368,19,0.008
ACOR,"Acorda Therapeutics, Inc.",4.73,-710.7692307692308,-12.32,29.00,-150.26833631484794, -6.73 ,-5.113, 241.80 Mil ,233440880,$-65.4,$394.7,1.8769841269841272,2.52,0.1359
ACQRU,Independence Holdings Corp.,10.0299,undefined,None,,undefined,Not Found!,None, - ,100299000,$,$0.00,1.011078629032258,9.92,None
ACRS,"Aclaris Therapeutics, Inc.",26.77,-152.9186153846154,-1.199,74.40,-5.7123128645728585, -27.29 ,-28.537, 1.34 Bil ,1346818944,$-39.09,$33.13,26.245098039215684,1.02,0.0183
ACRX,"AcelRx Pharmaceuticals, Inc.",1.21,undefined,-0.474,N/A,undefined, -3.59 ,-3.238, 129.02 Mil ,126639872,$-40.36,$122.05,1.198019801980198,1.01,0.100600004
ACST,"Acasti Pharma, Inc.",0.46,undefined,0.027,N/A,undefined, 11.78 ,-4.515, 63.76 Mil ,54755024,$-15.69,$4.59,2.705882352941176,0.17,0.015
ACTC,ArcLight Clean Transition Corp.,16.44,undefined,None,,undefined,Not Found!,None, 602.87 Mil ,568431424,$,$0.05,1.6878850102669405,9.74,0.19870001
ACTCU,ArcLight Clean Transition Corp.,18.65,undefined,None,,undefined,Not Found!,None, - ,689237568,$,$0.05,1.889564336372847,9.87,None
ACTDU,ArcLight Clean Transition Corp.,10.2,undefined,None,,undefined,Not Found!,None, - ,None,$,$0.04,1.0483042137718395,9.73,None
ACTG,Acacia Research Corporation,5.78,67.52307692307693,1.54,20.00,11.682193239286665, -0.12 ,0.041," -16,486,000.00 ",-598761,$-33.60,$212.07,2.591928251121076,2.23,0.037100002
ACVA,ACV Auctions Inc.,33.27,undefined,None,0.80,undefined,Not Found!,-39.623, 5.16 Bil ,1485975168,$,$410.66,1.2559456398640998,26.49,0.063
ADAG,Adagene Inc.,14.07,undefined,None,N/A,undefined, -32.5 ,-6.483, 529.66 Mil ,274163520,$,$162.90,1.0050000000000001,14,None
ADAP,Adaptimmune Therapeutics plc,5.08,-13.343846153846155,-0.913,1.00,-2.626741368867353, -3.98 ,-3.526, 499.75 Mil ,443594752,$-56.50,$109.92,1.8339350180505416,2.77,None
ADBE,Adobe Inc.,507.29,459.44000000000005,11.486,17.50,0.9056752547852314, 44.23 ,45.421, 246.32 Bil ,242228625408,"$5,790","$11,439",1.656186745021221,306.3,0.0109
ADER,26 Capital Acquisition Corp.,9.71,undefined,None,,undefined,Not Found!,None, 334.81 Mil ,48650000,$,$0.28,1.0146290491118077,9.57,None
ADERU,26 Capital Acquisition Corp.,10.05,undefined,None,,undefined,Not Found!,None, - ,50250000,$,$0.28,1.019269776876268,9.86,None
ADES,"Advanced Emissions Solutions, I",4.88,-101.25000000000001,-1.125,50.00,-20.747950819672134, -70.38 ,-16.675, 93.91 Mil ,84493528,$47.78,$61.46,1.3863636363636362,3.52,0.074499995
ADI,"Analog Devices, Inc.",155.37,117.65520000000002,3.771,11.78,0.7572581579455494, 24.93 ,23.943, 62.76 Bil ,61598826496,"$1,909","$9,352",1.6226631853785902,95.75,0.0994
ADIL,"Adial Pharmaceuticals, Inc",2.05,undefined,-0.874,N/A,undefined, -3.05 ,-2.837, 33.42 Mil ,31002134,$-7.63,$1.51,1.7982456140350878,1.14,0.055
ADMA,ADMA Biologics Inc,1.9,undefined,-0.879,N/A,undefined, -4.62 ,-5.09, 275.53 Mil ,272170720,$-114.73,$119.42,1.2101910828025477,1.57,0.1018
ADMP,Adamis Pharmaceuticals Corporat,0.7328,undefined,-0.637,N/A,undefined, -2.45 ,-3.24, 112.13 Mil ,109106880,$-21.85,$27.37,2.29,0.32,0.0287
ADMS,"Adamas Pharmaceuticals, Inc.",5.34,334.152,-2.028,-115.60,62.5752808988764, -6.96 ,-5.694, 300.53 Mil ,218142368,$-50.71,$170.01,2.197530864197531,2.43,0.0586
ADOC,Edoc Acquisition Corp.,10.04,undefined,None,,undefined,Not Found!,None, 118.51 Mil ,25262592,$,$0.07,1.0192893401015228,9.85,None
ADP,"Automatic Data Processing, Inc.",194.83,166.5310769230769,5.77,10.26,0.8547506899506077, 22.4 ,22.088, 84.57 Bil ,84213096448,"$2,507","$43,426",1.5303589663027257,127.31,0.0112
ADPT,Adaptive Biotechnologies Corpor,43.44,-28.621230769230774,-1.114,8.20,-0.6588681116305427, -37.54 ,-37.877, 5.42 Bil ,5467288064,$-168.49,$373.15,1.8344594594594594,23.68,0.051599998
ADSK,"Autodesk, Inc.",288,368.9156923076923,5.44,35.58,1.280957264957265, 90.21 ,85.566, 65.09 Bil ,63489982464,"$1,341","$6,314",1.9557245687898956,147.26,0.0098
ADTN,"ADTRAN, Inc.",17.19,0.8307692307692309,0.05,2.30,0.048328634716069276, 75.8 ,58.965, 787.37 Mil ,790895552,$-22.9,$152.7,2.146067415730337,8.01,0.0341
ADTX,"ADiTx Therapeutics, Inc.",2.56,undefined,None,N/A,undefined, -3.31 ,-3.233, 29.30 Mil ,28624722,$-7.22,$2.09,1.5802469135802468,1.62,0.028199999
ADUS,Addus HomeCare Corporation,109.11,75.20000000000002,2.08,15.00,0.6892127211071397, 32.14 ,28.582, 1.84 Bil ,1804595968,$102.6,$373.9,1.5004125412541254,72.72,0.0278
ADV,Advantage Solutions Inc.,12.78,undefined,None,14.46,undefined, 20.2 ,15.19, 6.18 Bil ,6145489408,$315,"$3,237",1.6197718631178708,7.89,0.0434
ADVM,"Adverum Biotechnologies, Inc.",9.56,undefined,-1.38,N/A,undefined, -4.67 ,-4.71, 531.29 Mil ,536009984,$-91.14,$48.22,1.0505494505494506,9.1,0.126
ADXN,Addex Therapeutics Ltd,10.6,undefined,None,,undefined, -3.02 ,-2.431, 40.32 Mil ,29717260,$-12.89,$6.27,1.6987179487179487,6.24,None
ADXS,"Advaxis, Inc.",0.478,undefined,-0.327,N/A,undefined, -1.91 ,-1.536, 39.23 Mil ,28881138,$-17.74,$8.37,1.8106060606060606,0.264,0.0442
AEACU,Authentic Equity Acquisition Co,10.04,undefined,None,,undefined,Not Found!,None, - ,300600000,$,$0.05,1.0350515463917527,9.7,None
AEGN,Aegion Corp,30.38,-36.69615384615385,-1.015,15.00,-1.207904998227579, 15.85 ,13.194, 1.13 Bil ,1129493504,$93.9,$493.1,2.664912280701754,11.4,0.0313
AEHL,Antelope Enterprise Holdings Li,2.82,undefined,None,N/A,undefined, 1.44 ,1.732, 16.52 Mil ,96277448,$0.90,$19.39,2.238095238095238,1.26,0.0942
AEHR,Aehr Test Systems,2.19,-10.303846153846155,-0.235,20.00,-4.704952581664911, -7.81 ,-7.335, 55.23 Mil ,51927028,$-4.11,$8.41,1.9043478260869566,1.15,0.010299999
AEI,Alset EHome International Inc.,10.09,undefined,None,N/A,undefined, -17.17 ,-33.488, 58.33 Mil ,55795240,$1.62,$8.59,2.1934782608695653,4.6,0.0764
AEIS,"Advanced Energy Industries, Inc",112.87,77.73163076923079,3.499,5.94,0.688682827759642, 18.66 ,17.341, 4.42 Bil ,4277950464,$165,$832,2.4025117071094084,46.98,0.0493
AEMD,"Aethlon Medical, Inc.",1.91,undefined,-0.706,N/A,undefined, -1.5 ,-1.486, 11.09 Mil ,10956726,$-6.20,$1.24,1.6186440677966103,1.18,0.032
AEP,American Electric Power Company,87.95,97.92000000000002,4.42,5.90,1.1133598635588404, 12.48 ,13.744, 77.62 Bil ,78088036352,"$-2,483","$59,983",1.1758021390374331,74.8,0.0156
AEPPZ,American Electric Power Company,50.76,undefined,None,,undefined,Not Found!,10.484, - ,59568259072,"$-2,483.10","$59,982.70",1.1353164840080519,44.71,None
AERI,"Aerie Pharmaceuticals, Inc.",17.78,358.39630769230774,-3.989,-66.90,20.157272648611233, -6.92 ,-6.742, 813.23 Mil ,819324608,$-67.79,$378.08,1.9733629300776916,9.01,0.2049
AESE,"Allied Esports Entertainment, I",2.6,undefined,-0.758,N/A,undefined, -2.96 ,-6.485, 108.01 Mil ,106244880,$-5.53,$28.50,3.0232558139534884,0.86,0.065
AEY,"ADDvantage Technologies Group, ",2.01,undefined,-1.513,N/A,undefined, -1.81 ,-3.785, 30.72 Mil ,30472852,$-5.94,$15.80,1.3399999999999999,1.5,0.0228
AEYE,"AudioEye, Inc.",23.57,undefined,-0.774,N/A,undefined, -43.74 ,-39.317, 259.01 Mil ,245257968,$-3.20,$10.62,5.9670886075949365,3.95,0.0544
AEZS,Aeterna Zentaris Inc.,0.9313,undefined,-0.125,N/A,undefined, -13.13 ,-15.047, 89.12 Mil ,88716512,$-4.13,$24.07,3.211379310344828,0.29,0.0638
AFAQU,AF Acquisition Corp.,9.95,undefined,None,,undefined,Not Found!,None, - ,None,$,$0.04,1.0205128205128204,9.75,None
AFBI,"Affinity Bancshares, Inc.",12.49,undefined,None,,undefined,Not Found!,None," -68,539,000.00 ",32396948,$,$242.13,1.9888535031847134,6.28,None
AFCG,"AFC Gamma, Inc.",21.69,undefined,None,,undefined,Not Found!,None, 294.07 Mil ,102784008,$,$1.86,1.098227848101266,19.75,0.0124
AFIB,"Acutus Medical, Inc.",14.15,undefined,None,N/A,undefined, -3.33 ,-3.494, 308.67 Mil ,307549312,$-96.39,$65.95,1.123907863383638,12.59,0.1516
AFIN,"American Finance Trust, Inc.",9.645,undefined,-0.43,N/A,undefined, 15.55 ,15.197, 2.86 Bil ,2764659456,$83.5,"$1,908.4",1.786111111111111,5.4,0.0382
AFINO,"American Finance Trust, Inc. - ",25.42,undefined,None,,undefined,,24.558,,4467652096,Not Found!,Not Found!,1.0375510204081633,24.5,None
AFINP,"American Finance Trust, Inc. - ",25.72,undefined,-0.43,,undefined,,24.82,,4515364352,Not Found!,Not Found!,1.6299112801013942,15.78,None
AFMD,Affimed N.V.,10.42,undefined,-0.597,N/A,undefined, -24.33 ,-31.885, 1.14 Bil ,1093934080,$-20.77,$126.19,6.093567251461988,1.71,0.0681
AFRM,"Affirm Holdings, Inc.",68.62,undefined,None,-5.28,undefined, -293.43 ,-259.172, 20.21 Bil ,20126277632,$-81.2,"$3,057.7",1.0452399086062452,65.65,0.0686
AFYA,Afya Limited,22.06,undefined,None,10.36,undefined, 19.6 ,4.675, 2.08 Bil ,2206874624,$45.4,$380.8,1.3617283950617283,16.2,0.0212
AGBA,AGBA Acquisition Limited,10.55,undefined,None,,undefined, -109.55 ,None, 57.08 Mil ,57761360,$-0.51,$3.23,1.0445544554455446,10.1,0.0001
AGBAU,AGBA Acquisition Limited,9.99,undefined,-0.223,,undefined,Not Found!,None, - ,54825396,$-0.51,$3.23,1.0,9.99,None
AGC,Altimeter Growth Corp.,12.7,undefined,None,N/A,undefined,Not Found!,None, 816.25 Mil ,793928128,$,$0.08,1.1770157553290084,10.79,0.0032
AGCUU,Altimeter Growth Corp.,13.5,undefined,None,,undefined,Not Found!,None, - ,843928128,$,$0.08,1.2162162162162162,11.1,None
AGEN,Agenus Inc.,2.92,undefined,-1.05,N/A,undefined, -5 ,-5.269, 572.32 Mil ,573440896,$-142.56,$426.01,1.280701754385965,2.28,0.1459
AGFS,"AgroFresh Solutions, Inc.",2.03,-45.69846153846155,-1.264,15.00,-22.51155740810914, 6.96 ,8.547, 341.72 Mil ,483520800,$24.3,$513.4,1.5037037037037035,1.35,0.052199997
AGFY,Agrify Corporation,10.57,undefined,None,N/A,undefined, -17.35 ,-18.698, 211.58 Mil ,227679568,$,$28.29,1.0465346534653466,10.1,0.018099999
AGGRU,Agile Growth Corp.,9.93,undefined,None,,undefined,Not Found!,None, - ,None,$,$0.07,1.0184615384615385,9.75,None
AGIO,"Agios Pharmaceuticals, Inc.",55.19,-354.05000000000007,-4.745,40.00,-6.415111433230659, -11.08 ,-11.872, 3.35 Bil ,3634836480,$-305.7,$453.5,1.699722821065599,32.47,0.11359999
AGLE,"Aeglea BioTherapeutics, Inc.",7.8,undefined,-1.516,N/A,undefined, -2.91 ,-2.905, 234.66 Mil ,233770960,$-80.06,$21.79,1.7333333333333334,4.5,0.0463
AGMH,AGM Group Holdings Inc.,12.4105,undefined,-0.077,,undefined, -247.56 ,-248.512, 267.36 Mil ,268839520,$-0.23,$2.58,1.060726495726496,11.7,0
AGNC,AGNC Investment Corp.,17.39,-8.580000000000002,-0.66,-0.05,-0.493387004025302,Not Found!,None, 9.93 Bil ,50232078336,"$1,747.00","$70,738.00",1.659351145038168,10.48,0.0195
AGNCM,AGNC Investment Corp. - Deposit,25.68,undefined,-0.66,,undefined,,None,,54669750272,Not Found!,Not Found!,1.280159521435693,20.06,None
AGNCN,AGNC Investment Corp. - Deposit,25.61,undefined,-0.66,,undefined,,None,,54653612032,Not Found!,Not Found!,1.2324350336862366,20.78,None
AGNCO,AGNC Investment Corp. - Deposit,24.94,undefined,-0.66,,undefined,,None,,54293221376,Not Found!,Not Found!,1.2770097286226318,19.53,None
AGNCP,AGNC Investment Corp. - Deposit,23.84,undefined,None,,undefined,,None,,53690773504,Not Found!,Not Found!,1.2163265306122448,19.6,None
AGRX,"Agile Therapeutics, Inc.",1.83,undefined,-0.612,N/A,undefined, -2.52 ,-2.51, 121.53 Mil ,122408896,$-47.66,$23.73,1.0280898876404494,1.78,0.060500003
AGTC,Applied Genetic Technologies Co,4.1,undefined,-2.269,N/A,undefined, -2.63 ,-2.493, 142.87 Mil ,136497296,$-50.38,$30.45,1.2893081761006286,3.18,0.0763
AGYS,"Agilysys, Inc.",50.82,-14.574461538461541,-1.108,0.05,-0.28678594133139595, -76.7 ,186.24, 1.16 Bil ,1147424640,$18.9,$72.4,3.276595744680851,15.51,0.0387
AHAC,Alpha Healthcare Acquisition Co,10.32,undefined,None,,undefined, -575.41 ,None, 132.92 Mil ,131436360,$,$2.10,1.0694300518134714,9.65,0.020499999
AHACU,Alpha Healthcare Acquisition Co,11.5,undefined,None,,undefined,Not Found!,None, - ,159588816,$,$2.10,1.169769097752009,9.831,None
AHCO,AdaptHealth Corp.,29.28,undefined,None,29.89,undefined, 76.36 ,23.655, 4.06 Bil ,4064695296,$156,"$1,419",2.1529411764705886,13.6,0.0402
AHPI,"Allied Healthcare Products, Inc",4.68,undefined,-0.08,N/A,undefined, 87.33 ,16.124, 22.36 Mil ,22154308,$-2.72,$10.61,1.1498771498771496,4.07,0.1075
AIH,Aesthetic Medical International,6.265,undefined,None,N/A,undefined, -7.05 ,-3.713, 237.29 Mil ,589125120,$0.0,$133.5,1.6443569553805772,3.81,None
AIHS,Senmiao Technology Limited,1.28,undefined,-0.318,,undefined, -8.43 ,-5.855, 66.76 Mil ,66405016,$-1.51,$18.18,3.855421686746988,0.332,0.0038
AIKI,AIkido Pharma Inc.,0.9202,undefined,None,N/A,undefined, -9.23 ,None, 60.41 Mil ,54295436,$-5.49,$0.88,1.957872340425532,0.47,0.0224
AIMC,Altra Industrial Motion Corp.,62.02,-14.280769230769232,-0.395,15.00,-0.23026070994468287, 26.14 ,14.535, 5.32 Bil ,5232745984,$229,"$2,211",3.6741706161137446,16.88,0.0168
AINV,Apollo Investment Corporation -,14.18,-21.01846153846154,-1.188,3.00,-1.4822610393837476,Not Found!,None, 2.41 Bil ,2383514112,$431.51,"$1,561.37",2.261562998405104,6.27,0.021
AIRG,"Airgain, Inc.",20.43,-22.75384615384616,-0.34,35.00,-1.1137467525132725, -88.17 ,-82.847, 173.52 Mil ,173315760,$2.98,$7.19,3.177293934681182,6.43,0.054899998
AIRT,"Air T, Inc.",21.4,undefined,-0.38,N/A,undefined, 54.79 ,52.082, 153.48 Mil ,159370656,$-23.4,$163.3,2.3910614525139664,8.95,0.0107
AKAM,"Akamai Technologies, Inc.",106.36,106.2846153846154,3.37,12.00,0.9992912315213934, 16.45 ,18.641, 19.15 Bil ,19038947328,$483,"$3,513",1.1481001727115716,92.64,0.0585
AKBA,"Akebia Therapeutics, Inc.",3.08,undefined,-2.769,N/A,undefined, -0.95 ,-2.377, 328.85 Mil ,330382496,$-110.4,$396.5,1.473684210526316,2.09,0.1582
AKIC,Sports Ventures Acquisition Cor,9.88,undefined,None,,undefined,Not Found!,None, 288.51 Mil ,283160800,$,$0.03,1.0345549738219895,9.55,0.0016
AKICU,Sports Ventures Acquisition Cor,9.98,undefined,None,,undefined,Not Found!,None, - ,285167008,$,$0.03,1.0235897435897436,9.75,None
AKRO,"Akero Therapeutics, Inc.",28.79,undefined,-2.517,N/A,undefined, -9.24 ,-9.164, 740.37 Mil ,734348480,$-70.80,$14.63,1.568082788671024,18.36,0.1504
AKTS,"Akoustis Technologies, Inc.",11.29,undefined,-1.107,N/A,undefined, -16.06 ,-13.757, 533.77 Mil ,457273024,$-35.59,$31.09,2.3619246861924683,4.78,0.0945
AKTX,Akari Therapeutics Plc,2.43,undefined,-1,N/A,undefined, -4.2 ,-4.42, 75.59 Mil ,79434392,$-16.95,$5.22,1.786764705882353,1.36,None
AKU,Akumin Inc.,3.09,undefined,None,N/A,undefined, 23.9 ,15.507, 726.37 Mil ,715839680,$13.3,$579.0,1.1444444444444444,2.7,None
AKUS,"Akouos, Inc.",13.59,undefined,None,26.20,undefined, -4 ,-3.811, 186.07 Mil ,172843488,$-45.30,$22.74,1.0326747720364742,13.16,0.14819999
ALAC,Alberton Acquisition Corporatio,11,undefined,-0.019,,undefined, -99.5 ,None, 54.23 Mil ,51152080,$0.03,$7.69,1.1363636363636365,9.68,0.0273
ALACU,Alberton Acquisition Corporatio,11.3,undefined,-0.019,,undefined,Not Found!,None, - ,75183816,$0.03,$7.69,1.128871128871129,10.01,None
ALACW,Alberton Acquisition Corporatio,0.365,undefined,-0.019,,undefined,,None,,None,Not Found!,Not Found!,1.0108003323179175,0.3611,None
ALBO,"Albireo Pharma, Inc.",32.14,undefined,-6.734,N/A,undefined, -3.7 ,-3.922, 357.75 Mil ,376863200,$-101.03,$104.38,2.1789830508474575,14.75,0.1216
ALCO,"Alico, Inc.",28.91,undefined,3.559,N/A,undefined, 6.85 ,16.909, 380.50 Mil ,377000768,$-37.96,$205.64,1.1047000382116927,26.17,0.013200001
ALDX,"Aldeyra Therapeutics, Inc.",10.44,-139.86646153846158,-1.106,73.70,-13.397170645446511, -12.29 ,-13.167, 441.44 Mil ,455726304,$-37.49,$23.84,4.971428571428571,2.1,0.114700004
ALEC,"Alector, Inc.",18.9,28.599384615384626,-2.446,-16.10,1.5131949531949538, -6.04 ,-6.041, 1.13 Bil ,1142093952,$-171.77,$220.72,2.0723684210526314,9.12,0.1265
ALGM,"Allegro MicroSystems, Inc.",26,undefined,None,13.69,undefined, 77.03 ,39.113, 4.99 Bil ,4793711104,$59.7,$135.0,1.5494636471990464,16.78,0.0916
ALGN,"Align Technology, Inc.",615.31,1125.3267692307693,22.41,24.14,1.8288777514273609, 100.26 ,99.471, 48.20 Bil ,47816491008,$507,"$1,596",3.5682556251449777,172.44,0.0224
ALGS,"Aligos Therapeutics, Inc.",26.03,undefined,None,N/A,undefined, -9.77 ,-8.01, 702.86 Mil ,762362240,$-52.39,$45.26,2.030421216848674,12.82,0.0444
ALGT,Allegiant Travel Company,232.73,154.27107692307692,-11.526,-17.20,0.6628757655784683, -39.28 ,21842.62, 5.04 Bil ,4849061376,$-46.5,"$2,559.6",3.66503937007874,63.5,0.1141
ALIM,"Alimera Sciences, Inc.",10.1,undefined,-1.043,N/A,undefined, 47.88 ,62.864, 126.85 Mil ,111583680,$-2.81,$58.83,2.6432870976184244,3.821,0.0221
ALJJ,"ALJ Regional Holdings, Inc.",1.37,undefined,-1.551,N/A,undefined, -5.4 ,8.366, 196.75 Mil ,197175840,$12.2,$211.1,4.892857142857142,0.28,0.0064999997
ALKS,Alkermes plc,20.92,6.013538461538461,-0.698,-14.10,0.28745403735843505, -525.2 ,-101.606, 3.16 Bil ,3106386688,$41,$883,1.6055257099002305,13.03,0.1105
ALLK,Allakos Inc.,107.16,9.541538461538462,-3.101,-10.50,0.08904011255634996, -33 ,-32.643, 5.13 Bil ,5076329984,$-114.55,$65.22,2.228321896444167,48.09,0.14220001
