TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL),PRICE/FIFTY TWO WEEK LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT
ABEO,Abeona Therapeutics Inc.,1.68,undefined,-0.909,N/A,undefined, -1.07 ,-1.814, 80.08 Mil ,79662408,$-36.36,$48.65,1.696969696969697,0.99,0.0719
ABIO,"ARCA biopharma, Inc.",3.55,undefined,-2.067,N/A,undefined, -0.31 ,-0.26, 3.07 Mil ,2535007,$-7.74,$3.91,1.1093749999999998,3.2,0.0387
ABMD,"ABIOMED, Inc.",340.63,169.81157388316151,4.387,17.10,0.4985220734614142, 62.07 ,59.593, 15.40 Bil ,14931441664,$236.9,$167.0,2.067556904400607,164.75,0.0255
ABNB,"Airbnb, Inc.",177.94,undefined,None,100.30,undefined, -25.12 ,-30.751, 105.46 Bil ,102566379520,$-223,"$7,590",1.4645267489711935,121.5,0.1575
ABST,Absolute Software Corporation,15.05,undefined,None,,undefined, 30.47 ,34.085, 637.95 Mil ,620754496,$40.8,$188.8,2.028301886792453,7.42,None
ABTX,"Allegiance Bancshares, Inc.",40.68,undefined,2.22,N/A,undefined,Not Found!,None, 652.59 Mil ,674565248,$53.9,"$5,291.5",1.9352997145575643,21.02,0.0174
ACAC,Acies Acquisition Corp.,9.99,undefined,None,,undefined,Not Found!,None, 269.06 Mil ,269177152,$,$0.09,1.0277777777777777,9.72,0.0054
ABUS,Arbutus Biopharma Corporation,3.46,undefined,-1,N/A,undefined, -6.29 ,-6.508, 362.57 Mil ,359843360,$-51.44,$35.11,3.392156862745098,1.02,0.0546
ACACU,Acies Acquisition Corp.,10.51,undefined,None,,undefined,Not Found!,None, - ,282899360,$,$0.09,1.0637651821862346,9.88,None
ACAD,ACADIA Pharmaceuticals Inc.,21.05,-90.66872852233679,-1.79,25.00,-4.307303017688208, -9.66 ,-12.071, 2.74 Bil ,2786588160,$-143.8,$155.6,1.0462226640159045,20.12,0.0866
ACAHU,Atlantic Coastal Acquisition Co,9.94,undefined,None,,undefined,Not Found!,None, - ,74550000,$,$0.00,1.0142857142857142,9.8,None
ACBI,"Atlantic Capital Bancshares, In",26.29,63.909621993127146,1.595,18.00,2.430947964744281,Not Found!,None," -51,407,000.00 ",-36829316,$80.96,"$3,277.03",2.863834422657952,9.18,0.0128999995
ACCD,"Accolade, Inc.",48.36,undefined,None,25.40,undefined, -70.22 ,-58.078, 2.47 Bil ,2256394240,$-48.6,$79.2,87.92727272727272,0.55,0.0876
ACER,Acer Therapeutics Inc.,2.9,undefined,-2.058,N/A,undefined, -1.66 ,-1.622, 37.39 Mil ,36674284,$-17.03,$6.39,1.4215686274509802,2.04,0.0437
ACET,"Adicet Bio, Inc.",15.12,-284.8865429553265,-5.011,29.10,-18.841702576410484, -9.03 ,-13.692, 402.12 Mil ,407543840,$-7.72,$44.01,1.588235294117647,9.52,0.0332
ACEV,ACE Convergence Acquisition Cor,9.94,undefined,None,,undefined, -254.86 ,None, 285.44 Mil ,277527584,$,$8.91,1.0354166666666667,9.6,0.0128999995
ACEVU,ACE Convergence Acquisition Cor,10.9,undefined,None,,undefined,Not Found!,None, - ,304407584,$,$8.91,1.101010101010101,9.9,None
ACGL,Arch Capital Group Ltd.,40.49,277.60219931271473,3.32,46.80,6.856068148004809, 10.97 ,9.263, 19.64 Bil ,17481050112,"$2,847","$29,353",1.934543717152413,20.93,0.0123000005
ACGLP,Arch Capital Group Ltd. - Depos,25.62,undefined,3.32,,undefined,,6.1,,11512418304,Not Found!,Not Found!,1.112945264986968,23.02,None
ACGLO,Arch Capital Group Ltd. - Depos,26.43,undefined,3.32,,undefined,,6.273,,11837535232,Not Found!,Not Found!,1.1102709514807814,23.805,None
ACHC,"Acadia Healthcare Company, Inc.",61.36,-256.9541030927835,-7.59,13.89,-4.1876483554886486, 19.2 ,19.644, 8.39 Bil ,8408412160,$442,"$4,600",2.8848142924306535,21.27,0.0614
ACHV,"Achieve Life Sciences, Inc.",11.3,undefined,-5.418,N/A,undefined, -2.27 ,-2.332, 32.83 Mil ,33808064,$-13.49,$3.01,1.7121212121212124,6.6,0.0764
ACIU,AC Immune SA,7.14,undefined,-0.942,N/A,undefined, -3.89 ,-4.349, 252.78 Mil ,259720240,$-66.44,$26.18,1.6153846153846154,4.42,0.040999997
ACIW,"ACI Worldwide, Inc.",40.42,19.21786941580756,0.62,12.00,0.47545446352814347, 18.13 ,23.065, 5.79 Bil ,5793032192,$290,"$2,180",1.8498855835240273,21.85,0.028499998
ACLS,"Axcelis Technologies, Inc.",44.03,62.91546391752577,1.46,20.00,1.4289226417789183, 18.77 ,21.255, 1.33 Bil ,1334415872,$62.3,$143.0,2.1583333333333337,20.4,0.0276
ACMR,"ACM Research, Inc.",85.07,38.35257731958764,0.89,20.00,0.4508355156881115, 76.74 ,71.473, 1.62 Bil ,1611498880,$-69.0,$133.1,2.4608041654613824,34.57,0.0656
ACNB,ACNB Corporation,27.5,undefined,2.129,N/A,undefined,Not Found!,None," -100,890,000.00 ",-64496692,$24.42,"$2,297.39",1.4473684210526316,19,0.008
ACOR,"Acorda Therapeutics, Inc.",4.77,-698.5567010309279,-12.32,29.00,-146.44794570878994, -6.83 ,-5.121, 244.36 Mil ,233820256,$-65.4,$394.7,1.8928571428571426,2.52,0.13340001
ACQRU,Independence Holdings Corp.,10.03,undefined,None,,undefined,Not Found!,None, - ,100300000,$,$0.00,1.0110887096774193,9.92,None
ACRS,"Aclaris Therapeutics, Inc.",24.62,-150.29114776632304,-1.199,74.40,-6.10443329676373, -25.76 ,-26.177, 1.27 Bil ,1235439872,$-39.09,$33.13,22.38181818181818,1.1,0.0344
ACST,"Acasti Pharma, Inc.",0.5207,undefined,0.027,N/A,undefined, 12.89 ,-5.414, 72.51 Mil ,65650412,$-15.69,$4.59,3.0629411764705883,0.17,0.0149
ACRX,"AcelRx Pharmaceuticals, Inc.",1.3,undefined,-0.474,N/A,undefined, -3.96 ,-3.512, 142.31 Mil ,137345184,$-40.36,$122.05,1.2871287128712872,1.01,0.104399994
ACTC,ArcLight Clean Transition Corp.,17.87,undefined,None,,undefined,Not Found!,None, 592.12 Mil ,618034560,$,$0.05,1.8347022587268995,9.74,0.2024
ACTCU,ArcLight Clean Transition Corp.,19.64,undefined,None,,undefined,Not Found!,None, - ,674575168,$,$0.05,1.9898682877406284,9.87,None
ACTDU,ArcLight Clean Transition Corp.,10.25,undefined,None,,undefined,Not Found!,None, - ,None,$,$0.04,1.05344295991778,9.73,None
ACTG,Acacia Research Corporation,6.09,66.36288659793814,1.54,20.00,10.89702571394715, -0.07 ,-0.997," -10,571,000.00 ",14677869,$-33.60,$212.07,2.7309417040358746,2.23,0.035099998
ACVA,ACV Auctions Inc.,33.91,undefined,None,0.80,undefined,Not Found!,-40.385, 5.10 Bil ,1514560256,$,$410.66,1.2801057002642506,26.49,0.0255
ADAP,Adaptimmune Therapeutics plc,5.64,-13.114570446735396,-0.913,1.00,-2.32527844800273, -4.35 ,-4.216, 547.95 Mil ,530472000,$-56.50,$109.92,2.036101083032491,2.77,None
ADER,26 Capital Acquisition Corp.,9.7,undefined,None,,undefined,Not Found!,None, 338.60 Mil ,48500000,$,$0.28,1.0135841170323927,9.57,None
ADBE,Adobe Inc.,517.32,451.54584192439864,11.486,17.50,0.8728559536155543, 44.21 ,46.32, 246.14 Bil ,247022960640,"$5,790","$11,439",1.688932419196866,306.3,0.0111
ADAG,Adagene Inc.,15.1,undefined,None,N/A,undefined, -32.34 ,-6.83, 526.71 Mil ,288840640,$,$162.90,1.036376115305422,14.57,None
ADES,"Advanced Emissions Solutions, I",4.91,-99.51030927835053,-1.125,50.00,-20.266865433472613, -67.9 ,-16.783, 90.58 Mil ,85037880,$47.78,$61.46,1.3948863636363638,3.52,0.0792
ADI,"Analog Devices, Inc.",159.55,115.63363298969074,3.771,11.78,0.7247485615148275, 24.5 ,24.542, 61.67 Bil ,63140802560,"$1,909","$9,352",1.666318537859008,95.75,0.1004
ADERU,26 Capital Acquisition Corp.,10.02,undefined,None,,undefined,Not Found!,None, - ,50100000,$,$0.28,1.0162271805273835,9.86,None
ADIL,"Adial Pharmaceuticals, Inc",2.13,undefined,-0.874,N/A,undefined, -3.2 ,-2.995, 34.81 Mil ,32729122,$-7.63,$1.51,1.868421052631579,1.14,0.0641
ADMA,ADMA Biologics Inc,1.9,undefined,-0.879,N/A,undefined, -4.96 ,-5.09, 296.45 Mil ,272170720,$-114.73,$119.42,1.2101910828025477,1.57,0.1039
ADMP,Adamis Pharmaceuticals Corporat,0.7667,undefined,-0.637,N/A,undefined, -2.82 ,-3.39, 128.55 Mil ,114154120,$-21.85,$27.37,2.3959375,0.32,0.028399998
ADMS,"Adamas Pharmaceuticals, Inc.",5.96,328.4105567010309,-2.028,-115.60,55.102442399501825, -7.38 ,-6.188, 318.23 Mil ,237094784,$-50.71,$170.01,2.4526748971193415,2.43,0.0592
ADOC,Edoc Acquisition Corp.,10.03,undefined,None,,undefined,Not Found!,None, 118.39 Mil ,25237592,$,$0.07,1.0182741116751268,9.85,None
ADP,"Automatic Data Processing, Inc.",195.89,163.6697182130584,5.77,10.26,0.8355184961614089, 21.37 ,22.206, 80.61 Bil ,84666712064,"$2,507","$43,426",1.5386850993637575,127.31,0.009
ADPT,Adaptive Biotechnologies Corpor,44.59,-28.12945704467354,-1.114,8.20,-0.6308467603649593, -38.07 ,-38.986, 5.49 Bil ,5627390464,$-168.49,$373.15,1.883023648648649,23.68,0.0404
ADSK,"Autodesk, Inc.",297.87,362.5769347079038,5.44,35.58,1.2172321304861307, 91.41 ,88.487, 65.96 Bil ,65657356288,"$1,341","$6,314",2.0227488795327995,147.26,0.0087
ADTN,"ADTRAN, Inc.",17.57,0.8164948453608248,0.05,2.30,0.046470964448538696, 76.3 ,59.001, 792.46 Mil ,791378944,$-22.9,$152.7,2.1935081148564297,8.01,0.0346
ADTX,"ADiTx Therapeutics, Inc.",2.74,undefined,None,N/A,undefined, -3.55 ,-3.392, 31.33 Mil ,30037172,$-7.22,$2.09,1.691358024691358,1.62,0.034
ADV,Advantage Solutions Inc.,12.79,undefined,None,14.46,undefined, 20.02 ,15.197, 6.13 Bil ,6148674048,$315,"$3,237",1.621039290240811,7.89,0.0512
ADVM,"Adverum Biotechnologies, Inc.",9.86,undefined,-1.38,N/A,undefined, -5.24 ,-4.968, 595.92 Mil ,565348800,$-91.14,$48.22,1.0835164835164834,9.1,0.1266
ADUS,Addus HomeCare Corporation,107.26,73.90790378006874,2.08,15.00,0.6890537365287035, 32.14 ,28.123, 1.84 Bil ,1775602176,$102.6,$373.9,1.4749724972497251,72.72,0.0212
ADXN,Addex Therapeutics Ltd,10.53,undefined,None,,undefined, -6.01 ,-2.383, 57.46 Mil ,29129686,$-12.89,$6.27,1.6874999999999998,6.24,None
ADXS,"Advaxis, Inc.",0.5133,undefined,-0.327,N/A,undefined, -2.1 ,-1.797, 43.19 Mil ,33791216,$-17.74,$8.37,1.9443181818181816,0.264,0.0342
AEACU,Authentic Equity Acquisition Co,9.98,undefined,None,,undefined,Not Found!,None, - ,299400000,$,$0.05,1.0288659793814434,9.7,None
AEGN,Aegion Corp,30.58,-36.06563573883162,-1.015,15.00,-1.179386387796979, 15.73 ,13.265, 1.12 Bil ,1135641472,$93.9,$493.1,2.682456140350877,11.4,0.0229
AEHL,Antelope Enterprise Holdings Li,3.04,undefined,None,N/A,undefined, 1.47 ,1.742, 16.96 Mil ,96857112,$0.90,$19.39,2.4126984126984126,1.26,0.1148
AEHR,Aehr Test Systems,2.39,-10.12680412371134,-0.235,20.00,-4.237156537117715, -8.19 ,-8.002, 57.95 Mil ,56646576,$-4.11,$8.41,2.078260869565218,1.15,0.0119
AEI,Alset EHome International Inc.,10.3,undefined,None,N/A,undefined, -17.14 ,-34.569, 58.24 Mil ,57597040,$1.62,$8.59,2.239130434782609,4.6,0.064899996
AEIS,"Advanced Energy Industries, Inc",117.49,76.39603573883163,3.499,5.94,0.6502343666595594, 18.68 ,18.059, 4.43 Bil ,4454897152,$165,$832,2.5008514261387824,46.98,0.0456
AEP,American Electric Power Company,87.2,99.15800687285223,4.57,5.85,1.1371331063400485, 12.52 ,13.823, 79.38 Bil ,79673237504,"$-2,971","$61,765",1.1657754010695187,74.8,0.0234
AEMD,"Aethlon Medical, Inc.",1.92,undefined,-0.706,N/A,undefined, -1.38 ,-1.503, 10.25 Mil ,11077961,$-6.20,$1.24,1.6271186440677967,1.18,0.0249
AEPPZ,American Electric Power Company,50.63,undefined,None,,undefined,Not Found!,10.644, - ,61346357248,"$-2,970.60","$61,765.10",1.1324088570789532,44.71,None
AESE,"Allied Esports Entertainment, I",2.89,undefined,-0.758,N/A,undefined, -3.21 ,-7.178, 113.29 Mil ,117595336,$-5.53,$28.50,3.36046511627907,0.86,0.0726
AERI,"Aerie Pharmaceuticals, Inc.",17.42,352.2382955326461,-3.989,-66.90,20.220338434709877, -6.93 ,-6.603, 812.29 Mil ,802434432,$-67.79,$378.08,1.933407325194229,9.01,0.1892
AEY,"ADDvantage Technologies Group, ",2.1,undefined,-1.513,N/A,undefined, -1.86 ,-3.923, 31.22 Mil ,31585846,$-5.94,$15.80,1.4000000000000001,1.5,0.0249
AFAQU,AF Acquisition Corp.,9.94,undefined,None,,undefined,Not Found!,None, - ,None,$,$0.04,1.0194871794871794,9.75,None
AEZS,Aeterna Zentaris Inc.,1.04,undefined,-0.125,N/A,undefined, -16.06 ,-17.28, 109.95 Mil ,101882776,$-4.13,$24.07,3.5862068965517246,0.29,0.0506
AEYE,"AudioEye, Inc.",24.91,undefined,-0.774,N/A,undefined, -45.99 ,-41.616, 272.44 Mil ,259603584,$-3.20,$10.62,6.3063291139240505,3.95,0.06
AFCG,"AFC Gamma, Inc.",22.82,undefined,None,,undefined,Not Found!,None, 307.04 Mil ,109766720,$,$1.86,1.1554430379746836,19.75,0.00090000004
AFIB,"Acutus Medical, Inc.",14.53,undefined,None,N/A,undefined, -3.45 ,-3.616, 317.94 Mil ,318225408,$-96.39,$65.95,1.1540905480540111,12.59,0.15100001
AFBI,"Affinity Bancshares, Inc.",12.46,undefined,None,,undefined,Not Found!,None," -67,988,000.00 ",32194294,$,$242.13,1.9840764331210192,6.28,0.00059999997
AFIN,"American Finance Trust, Inc.",9.725,undefined,-0.43,N/A,undefined, 15.66 ,15.244, 2.87 Bil ,2773334272,$83.5,"$1,908.4",1.8009259259259258,5.4,0.0396
AFINO,"American Finance Trust, Inc. - ",25.69,undefined,None,,undefined,,24.76,,4504520704,Not Found!,Not Found!,1.0485714285714287,24.5,None
AFINP,"American Finance Trust, Inc. - ",26.13,undefined,-0.43,,undefined,,25.023,,4552232448,Not Found!,Not Found!,1.6558935361216731,15.78,None
AFMD,Affimed N.V.,11.22,undefined,-0.599,N/A,undefined, -25.25 ,-34.658, 1.18 Bil ,1189096576,$-20.77,$126.19,6.561403508771931,1.71,0.0736
AFRM,"Affirm Holdings, Inc.",76.37,undefined,None,-5.28,undefined, -304.96 ,-284.861, 21.01 Bil ,22121185280,$-81.2,"$3,057.7",1.1632901751713633,65.65,0.0771
AFYA,Afya Limited,24.21,undefined,None,10.36,undefined, 21.29 ,5.1, 2.26 Bil ,2407546624,$45.4,$380.8,1.4944444444444445,16.2,0.0149
AGBA,AGBA Acquisition Limited,10.56,undefined,None,,undefined, -109.76 ,None, 57.19 Mil ,57868120,$-0.51,$3.23,1.0455445544554456,10.1,0.001
AGBAU,AGBA Acquisition Limited,10.3,undefined,-0.223,,undefined,Not Found!,None, - ,54825396,$-0.51,$3.23,1.0078277886497065,10.22,None
AGC,Altimeter Growth Corp.,13.71,undefined,None,N/A,undefined,Not Found!,None, 835.63 Mil ,857053120,$,$0.08,1.2706209453197406,10.79,0.121400006
AGCUU,Altimeter Growth Corp.,14.55,undefined,None,,undefined,Not Found!,None, - ,909553152,$,$0.08,1.310810810810811,11.1,None
AGEN,Agenus Inc.,3.12,undefined,-1.05,N/A,undefined, -5.18 ,-5.645, 592.79 Mil ,614377984,$-142.56,$426.01,1.3684210526315792,2.28,0.1481
AGFS,"AgroFresh Solutions, Inc.",2.21,-44.913264604811005,-1.264,15.00,-20.32274416507285, 7.08 ,8.714, 346.97 Mil ,492960128,$24.3,$513.4,1.6370370370370368,1.35,0.060700003
AGFY,Agrify Corporation,12.29,undefined,None,N/A,undefined, -19.18 ,-21.564, 234.11 Mil ,262587200,$,$28.29,1.1605288007554295,10.59,0.017
AGGRU,Agile Growth Corp.,10.02,undefined,None,,undefined,Not Found!,None, - ,None,$,$0.07,1.0276923076923077,9.75,None
AGIO,"Agios Pharmaceuticals, Inc.",55.37,-347.9666666666667,-4.745,40.00,-6.284389862139547, -11.24 ,-11.913, 3.40 Bil ,3647364864,$-305.7,$453.5,1.7052663997536186,32.47,0.1187
AGLE,"Aeglea BioTherapeutics, Inc.",8.05,undefined,-1.516,N/A,undefined, -3.25 ,-3.054, 259.67 Mil ,245774928,$-80.06,$21.79,1.788888888888889,4.5,0.0502
AGMH,AGM Group Holdings Inc.,12.84,undefined,-0.049,,undefined, -245.38 ,-276.791, 265.01 Mil ,271585216,$-1.65,$2.42,1.0974358974358975,11.7,0.0001
AGNC,AGNC Investment Corp.,17.75,-8.43257731958763,-0.66,-0.05,-0.47507477856831715,Not Found!,None, 10.08 Bil ,50425720832,"$1,747.00","$70,738.00",1.6937022900763359,10.48,0.019
AGNCM,AGNC Investment Corp. - Deposit,25.6,undefined,-0.66,,undefined,,None,,54648233984,Not Found!,Not Found!,1.2761714855433701,20.06,None
AGNCN,AGNC Investment Corp. - Deposit,25.65,undefined,-0.66,,undefined,,None,,54675128320,Not Found!,Not Found!,1.2343599615014436,20.78,None
AGNCO,AGNC Investment Corp. - Deposit,25.06,undefined,-0.66,,undefined,,None,,54357770240,Not Found!,Not Found!,1.2831541218637992,19.53,None
AGNCP,AGNC Investment Corp. - Deposit,24.26,undefined,None,,undefined,,None,,53927448576,Not Found!,Not Found!,1.2377551020408164,19.6,None
AGRX,"Agile Therapeutics, Inc.",1.86,undefined,-0.612,N/A,undefined, -2.56 ,-2.563, 124.45 Mil ,125037760,$-47.66,$23.73,1.0391061452513968,1.79,0.0675
AGTC,Applied Genetic Technologies Co,3.95,undefined,-2.269,N/A,undefined, -2.55 ,-2.377, 139.88 Mil ,130098616,$-50.38,$30.45,1.2421383647798743,3.18,0.1035
AGYS,"Agilysys, Inc.",52.38,-14.324041237113404,-1.108,0.05,-0.2734639411438221, -80.07 ,192.174, 1.21 Bil ,1183980928,$18.9,$72.4,3.377176015473888,15.51,0.0346
AHAC,Alpha Healthcare Acquisition Co,10.18,undefined,None,,undefined, -566.51 ,None, 130.87 Mil ,129636664,$,$2.10,1.054922279792746,9.65,0.0138
AHACU,Alpha Healthcare Acquisition Co,11.55,undefined,None,,undefined,Not Found!,None, - ,147248016,$,$2.10,1.174855050350931,9.831,None
AHCO,AdaptHealth Corp.,30.75,undefined,None,29.89,undefined, 78.33 ,24.637, 4.17 Bil ,4233595904,$156,"$1,419",2.261029411764706,13.6,0.0328
AHPI,"Allied Healthcare Products, Inc",4.74,undefined,-0.08,N/A,undefined, 89.99 ,16.299, 23.04 Mil ,22395120,$-2.72,$10.61,1.1646191646191646,4.07,0.0963
AIH,Aesthetic Medical International,6.42,undefined,None,N/A,undefined, -7.21 ,-3.734, 242.49 Mil ,592536384,$0.0,$133.5,1.68503937007874,3.81,None
AIHS,Senmiao Technology Limited,1.32,undefined,-0.318,,undefined, -8.94 ,-6.116, 69.72 Mil ,69361424,$-1.51,$18.18,3.9759036144578315,0.332,0.0084
AIKI,AIkido Pharma Inc.,1.02,undefined,None,N/A,undefined, -10.05 ,None, 65.84 Mil ,63168268,$-5.49,$0.88,2.170212765957447,0.47,0.0108
AIMC,Altra Industrial Motion Corp.,64.81,-14.035395189003436,-0.395,15.00,-0.2165621846783434, 26.82 ,15.038, 5.46 Bil ,5413558272,$229,"$2,211",3.839454976303318,16.88,0.0166
AINV,Apollo Investment Corporation -,14.48,-20.657319587628866,-1.188,3.00,-1.4266104687588996,Not Found!,None, 2.43 Bil ,2403091968,$431.51,"$1,561.37",2.309409888357257,6.27,0.0186
AIRG,"Airgain, Inc.",21.3,-22.362886597938147,-0.34,35.00,-1.0499007792459223, -92.76 ,-87.152, 182.53 Mil ,182321888,$2.98,$7.19,3.312597200622084,6.43,0.048600003
AIRT,"Air T, Inc.",22.37,undefined,-0.38,N/A,undefined, 55.02 ,52.995, 154.11 Mil ,162166048,$-23.4,$163.3,2.4994413407821234,8.95,0.0085
AKAM,"Akamai Technologies, Inc.",111.62,104.45841924398627,3.37,12.00,0.9358396277010058, 16.72 ,19.481, 19.47 Bil ,19897485312,$483,"$3,513",1.2048791018998273,92.64,0.056199998
AKBA,"Akebia Therapeutics, Inc.",3.17,undefined,-2.769,N/A,undefined, -1.08 ,-2.476, 369.30 Mil ,344197728,$-110.4,$396.5,1.5167464114832536,2.09,0.1449
AKIC,Sports Ventures Acquisition Cor,9.89,undefined,None,,undefined,Not Found!,None, 290.28 Mil ,283447392,$,$0.03,1.0356020942408377,9.55,0.0005
AKICU,Sports Ventures Acquisition Cor,10.01,undefined,None,,undefined,Not Found!,None, - ,286600000,$,$0.03,1.0266666666666666,9.75,None
AKRO,"Akero Therapeutics, Inc.",30.73,undefined,-2.517,N/A,undefined, -10.51 ,-10.005, 841.55 Mil ,801802880,$-70.80,$14.63,1.6737472766884531,18.36,0.1739
AKTS,"Akoustis Technologies, Inc.",12.24,undefined,-1.107,N/A,undefined, -16.83 ,-14.968, 560.22 Mil ,497546272,$-35.59,$31.09,2.5606694560669454,4.78,0.0939
AKTX,Akari Therapeutics Plc,2.34,undefined,-0.541,N/A,undefined, -4.12 ,-4.45, 74.05 Mil ,75971792,$-16.95,$5.22,1.7205882352941175,1.36,None
AKU,Akumin Inc.,3.13,undefined,None,N/A,undefined, 23.49 ,15.568, 716.54 Mil ,718646784,$13.3,$579.0,1.1592592592592592,2.7,None
AKUS,"Akouos, Inc.",14.03,undefined,None,26.20,undefined, -5.43 ,-4.145, 254.19 Mil ,187980384,$-45.30,$22.74,1.0661094224924013,13.16,0.14930001
ALAC,Alberton Acquisition Corporatio,11.04,undefined,-0.019,,undefined, -99.32 ,None, 54.13 Mil ,51457940,$0.03,$7.69,1.140495867768595,9.68,0.031400003
ALACU,Alberton Acquisition Corporatio,11.3,undefined,-0.019,,undefined,Not Found!,None, - ,75183816,$0.03,$7.69,1.128871128871129,10.01,None
ALACW,Alberton Acquisition Corporatio,0.4478,undefined,-0.019,,undefined,,None,,None,Not Found!,Not Found!,1.0536470588235294,0.425,None
ALBO,"Albireo Pharma, Inc.",31.17,undefined,-6.734,N/A,undefined, -3.98 ,-3.729, 380.30 Mil ,358323008,$-101.03,$104.38,2.113220338983051,14.75,0.1075
ALCO,"Alico, Inc.",29.92,undefined,3.559,N/A,undefined, 6.91 ,17.249, 383.96 Mil ,384589312,$-37.96,$205.64,1.1432938479174628,26.17,0.0159
ALDX,"Aldeyra Therapeutics, Inc.",14.85,-137.4632577319588,-1.106,73.70,-9.256785032455138, -16.71 ,-19.187, 599.76 Mil ,664084928,$-37.49,$23.84,7.071428571428571,2.1,0.1229
ALEC,"Alector, Inc.",18.46,28.107986254295543,-2.446,-16.10,1.5226428090084259, -6.06 ,-5.856, 1.14 Bil ,1107076736,$-171.77,$220.72,2.024122807017544,9.12,0.1338
ALGM,"Allegro MicroSystems, Inc.",26.59,undefined,None,13.69,undefined, 73.51 ,40.024, 4.77 Bil ,4905477120,$59.7,$135.0,1.5846245530393324,16.78,0.0885
ALGN,"Align Technology, Inc.",621.76,898.2790515463919,22.41,18.01,1.4447359938664306, 99.16 ,100.533, 47.66 Bil ,48326897664,$507,"$1,596",3.605659939689167,172.44,0.0251
ALGT,Allegiant Travel Company,239.39,151.62037113402062,-11.526,-17.20,0.6333613397970701, -38.56 ,22327.133, 4.95 Bil ,4956623360,$-46.5,"$2,559.6",3.7699212598425196,63.5,0.0468
ALGS,"Aligos Therapeutics, Inc.",25.71,undefined,None,N/A,undefined, -10.24 ,-7.881, 735.66 Mil ,750156416,$-52.39,$45.26,2.0054602184087362,12.82,0.045900002
ALHC,"Alignment Healthcare, Inc.",26.01,undefined,None,,undefined,Not Found!,1.584, 4.96 Bil ,16150623,$,$272.15,1.53,17,0.0095999995
ALIM,"Alimera Sciences, Inc.",11.06,undefined,-1.043,N/A,undefined, 49.48 ,65.976, 131.06 Mil ,117106984,$-2.81,$58.83,2.8945302276890867,3.821,0.0375
ALKS,Alkermes plc,22.5,5.910213058419243,-0.698,-14.10,0.26267613592974415, -538.15 ,-109.835, 3.24 Bil ,3357982464,$41,$883,1.7267843438219495,13.03,0.1091
ALJJ,"ALJ Regional Holdings, Inc.",1.39,undefined,-1.551,N/A,undefined, -5.45 ,8.402, 198.87 Mil ,198022256,$12.2,$211.1,4.9642857142857135,0.28,0.0108
