TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
ABIO,"ARCA biopharma, Inc.",2.41,undefined,-1.485,N/A,undefined,0.60845214,N/A,-18923962,-11605375,53359000,18918860,3.703,283000,1.409356725146199,1.3745029239766082,2.3504,1.71,0.0154,-0.8053639461211234,14410100,USD,United States,none,0.98,undefined,undefined,Healthcare,Biotechnology
ABMD,"ABIOMED, Inc.",281.7,45.154848081841436,3.257,3.82,0.16029410039702321,9.2153,47.54,12307118080,None,758606976,-12000711552,16.656,13439000,1.2813281783033887,1.2657266317944051,278.27,219.85,0.028199999,undefined,45497500,USD,United States,buy,43.268,undefined,undefined,Healthcare,Medical Devices
ABOS,"Acumen Pharmaceuticals, Inc.",6.28,-425.4464654731458,-9.312,32.10,-67.74625246387671,0.9139785,N/A,-38010176,-16346000,194236992,-19041488,4.799,0,2.0794701986754967,1.6655960264900662,5.0301,3.02,0.0624,-0.4039011324353909,40470300,USD,United States,strong_buy,1.941,-18.45342667474635,-2.9384437380169346,Healthcare,Biotechnology
ABNB,"Airbnb, Inc.",103.97,-644.2720818414323,-7.886,64.10,-6.196711376757067,14.758823,3.75,91181056000,735152896,8322476032,-58361595904,13.134,2418499072,1.199054318994349,1.170330988351978,101.4794,86.71,0.0252,2.119671349156921,346824000,USD,United States,buy,171.237,173.17335441807847,1.6656088719638211,Consumer Cyclical,Travel Services
ABSI,Absci Corporation,3.37,-61.313268542199495,-2.684,11.80,-18.193848232106674,0.77290076,2.13,315728608,-65677248,252568992,-47427488,2.722,20011000,1.1501706484641638,1.098976109215017,3.22,2.93,0.118,-0.7093226177641525,92591504,USD,United States,hold,-4.665,-16.203758623706932,-4.808236980328466,Healthcare,Biotechnology
ABST,Absolute Software Corporation,9.24,undefined,-0.137,N/A,undefined,25.77904,0.15,606439168,53557952,61596000,-391771488,1.222,279942016,1.3608247422680413,1.337260677466863,9.08,6.79,None,1.0750161981188504,49820600,USD,Canada,buy,76.813,undefined,undefined,Technology,Software—Application
ABTX,"Allegiance Bancshares, Inc.",41.18,undefined,3.729,N/A,undefined,1.0433176,,341856288,None,699384000,-135143232,34.32,208592992,1.1974411166036638,1.1965687699912764,41.15,34.39,0.0349,undefined,20247500,USD,United States,hold,None,undefined,undefined,Financial Services,Banks—Regional
ABUS,Arbutus Biopharma Corporation,2.39,undefined,-0.917,N/A,undefined,None,-3.92,193632240,-38419876,155316992,-170681280,1.045,2614000,1.2383419689119173,1.227979274611399,2.37,1.93,0.0497,-0.2840257433129981,135268992,USD,United States,buy,-2.77,undefined,undefined,Healthcare,Biotechnology
ACAB,,9.97,,None,,,None,N/A,,None,None,,,None,,,9.97,9.87,,,,,,,,,,,
ACABU,,9.99,,None,,,None,N/A,,None,None,,,None,,,9.98,9.935,,,,,,,,,,,
ACABW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ABVC,"ABVC Biopharma, Inc.",0.7843,undefined,-0.418,N/A,undefined,2.5723474,-5.81,69206088,-4631378,5936695,-16950825,0.198,3339658,1.1093352192362094,1.1103253182461104,0.785,0.707,0.0087,-0.16188308737687612,28609400,USD,United States,none,-5.918,undefined,undefined,Healthcare,Biotechnology
ACACU,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ACAH,Atlantic Coastal Acquisition Co,9.815,undefined,None,,undefined,None,N/A,422929152,None,189608,-422866648,0.004,62500,1.0213319458896983,1.0208116545265349,9.81,9.61,0.0354,undefined,34500000,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
ACAHU,,9.88,,None,,,None,N/A,,None,189608,,,62500,,,9.82,9.1,,,,,,,,,,,
ACAHW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ACAD,ACADIA Pharmaceuticals Inc.,14.42,-45.23785166240409,-1.2,25.00,-3.137160309459368,4.0334463,3.07,2516321024,-65262376,520705984,-1766851904,3.23,64430000,1.1781045751633987,1.1323529411764706,13.86,12.24,0.1007,-0.405971634029212,160756000,USD,United States,buy,-15.059,-15.304403799464412,-1.0613317475356736,Healthcare,Biotechnology
ACAX,,9.91,,None,,,None,N/A,,None,1708642,,,0,,,9.91,9.8,,,,,,,,,,,
ACAXR,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,
ACAXU,,10.01,,None,,,None,N/A,,None,1708642,,,0,,,10.01,9.94,,,,,,,,,,,
ACAXW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ACB,Aurora Cannabis Inc.,1.41,undefined,-2.509,N/A,undefined,0.13990803,-6.03,731630208,-62906876,334080992,50549184,1.556,414451008,1.165289256198347,1.115702479338843,1.35,1.21,None,-0.31734606614605404,198228000,USD,Canada,hold,-3.444,undefined,undefined,Healthcare,Drug Manufacturers—Specialty & Generic
ACBA,Ace Global Business Acquisition,10.34,undefined,-0.095,,undefined,None,N/A,62056820,-642014,122008,-62355272,0.02,185867,1.0423387096774193,1.0423387096774193,10.34,9.92,0.00059999997,-0.10604790221341262,6054000,USD,Hong Kong,none,None,undefined,undefined,Financial Services,Shell Companies
ACBAU,,10.3,,-0.095,,,None,N/A,,-642014,122008,,,185867,,,10.3,9.76,,,,,,,,,,,
ACBAW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ACCD,"Accolade, Inc.",9.35,-22.68959590792839,-2.653,-0.90,-2.4266947495110576,0.861071,-1.02,326955520,8998250,365852992,-268790208,5.452,319740992,2.0281995661605206,1.9761388286334054,9.11,4.61,0.0668,0.1349787442135359,66664200,USD,United States,buy,-2.544,1.1543962164963275,0.12346483598891204,Healthcare,Health Information Services
ACER,Acer Therapeutics Inc.,1.47,undefined,-1.244,N/A,undefined,9.60265,-7.42,17162178,1078446,12710762,-8039028,0.888,393837,1.267241379310345,1.2155172413793103,1.41,1.16,0.0057,0.07536204944724742,14310200,USD,United States,buy,-1.081,undefined,undefined,Healthcare,Biotechnology
ACET,"Adicet Bio, Inc.",17.05,-85.17409718670078,-2.013,29.10,-4.995548222093887,2.4521918,13.67,331188576,-42882376,277544000,-374973120,6.96,20944000,2.728,2.6144,16.34,6.25,0.0794,-1.0955255574403728,39143200,USD,United States,strong_buy,-5.549,-46.35389980126222,-2.7187038006605406,Healthcare,Biotechnology
ACEV,ACE Convergence Acquisition Cor,10.22,undefined,-0.114,,undefined,None,N/A,291181856,1291960,8390,-292379098,0,527756,1.0612668743509865,1.0546832814122533,10.1566,9.63,0.0198,0.05617217391304348,23000000,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
ACEVU,,10.2,,-0.114,,,None,N/A,,1291960,8390,,,527756,,,10.2,9.45,,,,,,,,,,,
ACEVW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ACGL,Arch Capital Group Ltd.,43.67,322.4015601023018,4.961,49.25,7.38267827117705,1.3536421,,17471678464,793457152,3157912064,-13862875648,8.451,2724642048,1.1663995726495728,1.167467948717949,43.71,37.44,0.0093,2.0548750411048995,386134016,USD,Bermuda,none,8.508,133.54060049737978,3.0579482596148333,Financial Services,Insurance—Diversified
ACGLN,,19.47,,4.961,,,0.6003562,Not Found!,,793457152,3157912064,,,2724642048,,,19.45,17.96,,,,,,,,,,,
ACGLO,Arch Capital Group Ltd. - Depos,22.99,undefined,4.961,,undefined,0.70937234,Not Found!,8869893120,793457152,3157912064,-10311444992,8.451,2724642048,1.0864839319470698,1.0798676748582232,22.85,21.16,None,1.969174332210596,402939008,USD,Bermuda,none,4.319,undefined,undefined,Financial Services,Insurance—Diversified
ACHC,"Acadia Healthcare Company, Inc.",77.59,-158.64863938618927,-7.495,10.31,-2.0447047220800267,2.874849,2.74,7683325440,1145051136,133813000,-6937822968,1.488,1649206016,1.549630517275814,1.5350509286998202,76.86,50.07,0.0465,12.731900782337584,89935600,USD,United States,buy,15.266,269.4994977875673,3.4733792729419677,Healthcare,Medical Care Facilities
ACHL,Achilles Therapeutics plc,2.51,-37.97143734015345,-2.884,3.20,-15.128062685320101,0.34335905,N/A,-163920256,-44915876,266319008,161561984,6.559,12259000,1.3641304347826084,1.358695652173913,2.5,1.84,None,-1.1062070018594456,40603500,USD,United Kingdom,buy,2.691,-14.564587328829735,-5.802624433796708,Healthcare,Biotechnology
ACHV,"Achieve Life Sciences, Inc.",5.58,-119.08189258312022,-4.503,15.00,-21.340840964716886,1.4219558,N/A,37534588,-17058750,43022000,-6325476,4.547,14993000,1.1600831600831603,1.0852390852390852,5.22,4.81,0.045100003,-1.8044827651863746,9453540,USD,Canada,buy,-1.143,-47.71956980058086,-8.551894229494778,Healthcare,Biotechnology
ACIW,"ACI Worldwide, Inc.",27.48,16.517442455242968,0.716,12.00,0.6010714139462506,2.6867874,2.22,4192026112,257975120,122059000,-3091019784,1.061,1136027008,1.162928480744816,1.15234870926788,27.23,23.63,0.0269,2.194300392970757,117566000,USD,United States,buy,14.908,50.62043361789316,1.8420827371867963,Technology,Software—Infrastructure
ACKIT,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ACIU,AC Immune SA,3.25,undefined,-1.07,N/A,undefined,1.3094753,N/A,122307216,-44784248,173835008,-60106704,2.121,2769000,1.5776699029126213,1.5388349514563107,3.17,2.06,0.021300001,-0.6164154330718372,72652704,USD,Switzerland,strong_buy,-1.555,undefined,undefined,Healthcare,Biotechnology
ACKIU,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ACKIW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ACLS,"Axcelis Technologies, Inc.",63.65,72.1611253196931,2.25,20.00,1.1337176012520518,4.177058,8.05,1572076160,97055248,294923008,-1836365952,8.87,56467000,1.82378223495702,1.7839799426934098,62.2609,34.9,0.0433,2.9135395865729263,33311800,USD,United States,buy,11.834,93.441908991367,1.468058271663268,Technology,Semiconductor Equipment & Materials
ACLX,,19.6,,None,N/A,,None,N/A,,-34630248,104617000,,,326000,,,19.33,6.035,,,,,,,,,,,
ACNB,ACNB Corporation,31.77,undefined,3.488,N/A,undefined,1.0502696,,-116169432,None,477620000,194769376,54.855,63409000,1.1701657458563537,1.168692449355433,31.73,27.15,0.0042,undefined,8695070,USD,United States,none,None,undefined,undefined,Financial Services,Banks—Regional
ACMR,"ACM Research, Inc.",15.89,82.51343631713557,1.431,42.74,5.192790202462906,1.7373168,3.10,469542816,-60377376,592564992,291949792,10.089,39140000,1.414959928762244,1.358860195903829,15.26,11.23,0.0943,-3.389721253768548,17811900,USD,United States,buy,11.437,-195.4560089487575,-12.300566957127595,Technology,Semiconductor Equipment & Materials
ACON,,0.84,,None,,,None,-38.25,,-2504879,452530,,,2000000,,,0.8118,0.783,,,,,,,,,,,
ACONW,,0.1301,,None,,,None,N/A,,-2504879,452530,,,2000000,,,0.13,0.13,,,,,,,,,,,
ACOR,"Acorda Therapeutics, Inc.",0.4494,-719.1214833759591,-17.041,29.00,-1600.1813159233625,0.03061016,-3.07,163320864,68304248,45634000,40593010,3.445,190942000,1.605,1.4710714285714284,0.4119,0.28,0.0064999997,6.097395868668654,11202200,USD,United States,buy,-4.338,257.3069867852501,572.5567129177795,Healthcare,Drug Manufacturers—Specialty & Generic
ACQR,Independence Holdings Corp.,9.83,undefined,None,,undefined,None,N/A,609155072,-1403138,1260014,-608512146,0.02,0,1.0207684319833852,1.019730010384216,9.82,9.63,0.0004,-0.028403890727638943,49399500,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
ACQRU,,9.84,,None,,,None,N/A,,-1403138,1260014,,,0,,,9.845,9.75,,,,,,,,,,,
ACQRW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ACRS,"Aclaris Therapeutics, Inc.",15.07,-144.87782097186698,-1.553,74.40,-9.613657662366753,4.3426633,9.22,566388416,-28508000,191414000,-749037328,3.124,2894000,1.6274298056155507,1.5928725701943844,14.75,9.26,0.0335,-0.465609295200017,61227300,USD,United States,strong_buy,-8.706,-43.436226730731,-2.882297725994094,Healthcare,Diagnostics & Research
ACRX,"AcelRx Pharmaceuticals, Inc.",0.2344,undefined,-0.325,N/A,undefined,None,-10.24,3684245,-18207000,51630000,24938340,0.351,18621000,1.4649999999999999,1.3125,0.21,0.16,0.0143,-0.15259095366203204,119319000,USD,United States,buy,-0.108,undefined,undefined,Healthcare,Drug Manufacturers—Specialty & Generic
ACST,"Acasti Pharma, Inc.",0.8606,undefined,-0.464,N/A,undefined,0.33074835,N/A,199592,-4782000,46325000,8000904,1.046,22000,1.0495121951219513,1.0319512195121952,0.8462,0.82,0.030199999,-0.10797458465234532,44288200,USD,Canada,strong_buy,-0.022,undefined,undefined,Healthcare,Biotechnology
ACT,"Enact Holdings, Inc.",21.81,83.03164603580564,2.974,16.31,3.807044751756334,0.8658579,,4172040704,1041729024,425828000,-3212017504,2.615,758073024,1.1625799573560767,1.1700426439232408,21.95,18.76,None,6.397255121591747,162840000,USD,United States,buy,None,178.60612738962698,8.189185116443236,Financial Services,Insurance—Specialty
ACTG,Acacia Research Corporation,4.8,4.233452685421995,0.132,20.00,0.8819693094629157,1.0431894,2.04,-261051744,-11245000,707470976,473893120,15.223,184210000,1.4545454545454546,1.4212121212121214,4.69,3.3,0.0365,-0.2267507395360936,49591900,USD,United States,none,-10.162,-7.272261569776505,-1.5150544937034387,Industrials,Specialty Business Services
ACVA,ACV Auctions Inc.,7.16,-5.912992327365729,-0.565,0.80,-0.8258369172298504,1.8878101,1.61,1510254464,69579128,579758976,-509266048,3.71,3855000,1.1737704918032787,1.1360655737704919,6.93,6.1,0.0221,0.7458760832812064,93285104,USD,United States,buy,-22.063,7.805946119659072,1.0902159384998704,Technology,Software—Application
ACWI,,86.53,,None,,,None,Not Found!,,,,,,,,,86.39,81.26,,,,,,,,,,,
ACWX,,45.11,,None,,,None,Not Found!,,,,,,,,,45.21,42.76,,,,,,,,,,,
ACXP,"Acurx Pharmaceuticals, Inc.",3.62,undefined,-1.479,N/A,undefined,2.6595745,N/A,25210998,-208372,12958846,-25350402,1.266,0,1.553648068669528,1.5064377682403431,3.51,2.33,0.0045,-0.020397032048395623,10215800,USD,United States,buy,None,undefined,undefined,Healthcare,Biotechnology
ADAG,Adagene Inc.,1.82,undefined,-2.504,N/A,undefined,0.4142289,0.66,-7053484,-21582352,174391248,97260488,3.982,7489374,1.1375,1.0999999999999999,1.76,1.6,None,-0.49527274896905915,43576700,USD,China,buy,0.099,undefined,undefined,Healthcare,Biotechnology
ADAL,Anthemis Digital Acquisitions I,9.99,undefined,None,,undefined,5000,N/A,299416576,None,949061,-300925947,0.031,0,1.4332855093256816,1.4347202295552368,10,6.97,0,undefined,23000000,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
ADALU,,10.09,,None,,,5014.9995,N/A,,None,949061,,,0,,,10.09,9.82,,,,,,,,,,,
ADALW,,0.1999,,None,,,99.95,N/A,,None,458,,,132500,,,0.1999,0.06,,,,,,,,,,,
ADAP,Adaptimmune Therapeutics plc,1.82,-10.711918158567775,-1.002,1.00,-5.885669317894381,1.1730396,-2.43,-74532440,-75010752,369580000,86850784,2.358,25468000,1.4444444444444444,1.4137301587301587,1.7813,1.26,None,-0.48021018667895826,156204000,USD,United Kingdom,hold,0.479,-5.133704808997559,-2.820716928020637,Healthcare,Biotechnology
ADBE,Adobe Inc.,401.9,256.5222506393862,10.02,14.25,0.6382738259253202,12.608891,11.72,187050377216,5721625088,4701000192,-181793566208,9.949,4664999936,1.1890532544378698,1.1496153846153847,388.57,338,0.0128,12.025273408995377,475800000,USD,United States,buy,28.684,307.8593013402653,0.7660097072412673,Technology,Software—Infrastructure
ADER,26 Capital Acquisition Corp.,9.85,undefined,None,,undefined,None,N/A,339272960,None,1508283,-337429221,0.044,1500000,1.0260416666666667,1.0250000000000001,9.84,9.6,0.0004,undefined,27500000,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
ADERW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ADERU,,9.95,,None,,,None,N/A,,None,1508283,,,1500000,,,9.96,9.94,,,,,,,,,,,
ADES,"Advanced Emissions Solutions, I",4.59,197.4277749360614,2.999,50.00,43.01258713203953,0.5955625,4.30,42516732,2295500,78753000,-7837808,4.301,10498000,1.040816326530612,1.036281179138322,4.57,4.41,0.0058999998,0.12167971545340338,18865100,USD,United States,buy,4.217,8.010321932917144,1.7451681771061316,Industrials,Pollution & Treatment Controls
ADGI,"Adagio Therapeutics, Inc.",4.16,undefined,-14.738,N/A,undefined,0.71152496,N/A,-277747008,-93294000,591417984,140847360,5.392,0,1.7261410788381741,1.6639004149377592,4.01,2.41,0.2721,-0.8385826771653543,111252000,USD,United States,hold,1.266,undefined,undefined,Healthcare,Biotechnology
ADI,"Analog Devices, Inc.",163.27,90.37059846547315,3.46,14.71,0.5535040023609551,2.2543936,4.29,85252562944,2341289984,1790398976,-83859566080,3.421,6253575168,1.1788447653429603,1.1571841155234657,160.27,138.5,0.013200001,4.45679000162884,525331008,USD,United States,buy,24.725,116.40542765379634,0.7129627467005348,Technology,Semiconductors
ADILW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ADIL,"Adial Pharmaceuticals, Inc",0.7402,undefined,-1.004,N/A,undefined,1.9630681,N/A,27638524,-5325317,6062173,-8411996,0.256,256960,1.0885294117647057,1.0073529411764706,0.685,0.68,0.0404,-0.25423178830078247,20946700,USD,United States,buy,-1.563,undefined,undefined,Healthcare,Biotechnology
ADMA,ADMA Biologics Inc,2.17,undefined,-0.628,N/A,undefined,2.9475102,-0.14,412324032,-96389528,51089120,-377743552,0.261,102919712,2.1485148514851486,2.089108910891089,2.11,1.01,0.1221,-0.4922504417457383,195814000,USD,United States,strong_buy,-7.917,undefined,undefined,Healthcare,Biotechnology
ADMP,Adamis Pharmaceuticals Corporat,0.398,undefined,-0.421,N/A,undefined,1.6206896,-13.70,38241968,-32486598,23220770,-32760366,0.155,2692433,1.2838709677419355,1.2009677419354838,0.3723,0.31,0.0494,-0.21819780234541863,148886000,USD,United States,hold,-1.248,undefined,undefined,Healthcare,Drug Manufacturers—Specialty & Generic
ADN,"Advent Technologies Holdings, I",2.88,undefined,-0.258,N/A,undefined,1.0692772,4.08,20317878,-20058592,79764432,-65795792,1.556,137805,2.5486725663716814,2.495575221238938,2.82,1.13,0.1363,-0.3913596703451075,51253600,USD,United States,strong_buy,-0.597,undefined,undefined,Utilities,Utilities—Renewable
ADNWW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ADOC,Edoc Acquisition Corp.,10.25,undefined,None,,undefined,None,N/A,56622532,1017624,223398,-120649562,0.041,975324,1.025,1.025,10.25,10,0.0359,0.10651287418882144,9554000,USD,United States,none,None,undefined,undefined,Financial Services,Shell Companies
ADOCR,,0.2,,None,,,None,Not Found!,,1017624,223398,,,975324,,,0.05,0.05,,,,,,,,,,,
ADOCW,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
ADP,"Automatic Data Processing, Inc.",220.34,163.5764705882353,6.32,14.50,0.7423820939830957,17.223757,1.61,92940173312,4568175104,1634200064,-90387641856,3.908,3331500032,1.146052220950796,1.1278997191303444,216.85,192.26,0.0085,10.840884096216278,421384000,USD,United States,hold,22.021,280.5875883726566,1.2734301006292847,Industrials,Staffing & Employment Services
ADPT,Adaptive Biotechnologies Corpor,8.69,-25.84364194373402,-1.367,8.30,-2.973951892259381,1.8917749,0.89,926854720,-139103744,353060992,-880432640,2.494,111740000,1.4592779177162047,1.4139378673383711,8.42,5.955,0.0541,-0.9856286596944704,141132000,USD,United States,buy,-4.753,-18.63367532598856,-2.144266435671871,Healthcare,Biotechnology
ADRE,,38.44,,None,,,None,Not Found!,,,,,,,,,38.66,36.28,,,,,,,,,,,
ADSEW,,0.8603,,-99.619,,,None,N/A,,None,None,,,7094000,,,0.95,0.95,,,,,,,,,,,
ADSE,ADS-TEC ENERGY PLC,6.98,undefined,-99.619,N/A,undefined,None,2.25,250518240,-15727750,101813000,-244723096,2.011,9587000,1.5173913043478262,1.4956521739130435,6.88,4.6,0.0271,-0.3222377934719584,48807900,USD,Ireland,buy,-16.527,undefined,undefined,Industrials,Electrical Equipment & Parts
ADTHW,,0.2906,,0.31,,,0.17654477,N/A,,None,22640000,,,26806000,,,0.2743,0.2743,,,,,,,,,,,
ADTH,"AdTheorent Holding Company, Inc",2.71,undefined,0.31,N/A,undefined,1.7717528,2.52,682143552,749250,100093000,-152105352,1.167,41967000,1.1483050847457628,1.1355932203389831,2.68,2.36,0.0466,0.008348161138261994,89750304,USD,United States,buy,49.737,undefined,undefined,Communication Services,Advertising Agencies
ADSK,"Autodesk, Inc.",195.95,234.81550895140668,5.928,26.70,1.1983440109793657,33.673435,3.63,42427953152,1303000064,1764099968,-41286813824,8.118,3060000000,1.2006740196078431,1.179779411764706,192.54,163.2,0.019299999,5.923454748481123,219972992,USD,United States,buy,51.359,234.6354658426487,1.1974251892964975,Technology,Software—Application
