TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,EV/EBITDA RATIO,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP,PRESENT VALUE,DILLUTED PRESENT VALUE,PERCENT_DROP_SINCE_SEPTEMBER,,,
ABEO,Abeona Therapeutics Inc.,5.65,-13.8472,0.95,-26.72,-2.450831858,2.2165556,-5.690474904,N/A,176924560,-56589752,168271008,-153751552,2.952,23173000,1.4125,1.3925,5.57,4,0.2711,-0.992887254,56995144,USD,United States,322022560,none,-1.965,-0.127763329,14.47232461,2.561473382,Healthcare,Biotechnology,N/A,0.16621,-16.05085392,-3.205550671,-2.920965063,12.84530325,-8.855550671,-0.567354101
ABI,VictoryShares Pioneer Asset-Bas,24.8668,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.004922207,1.002424732,24.805,24.745,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-0.173423716,#VALUE!,#VALUE!,#VALUE!
ABIG,Argent Large Cap ETF,33.5899,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.183159563,1.189897851,33.7812,28.39,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,-2.115927999,#VALUE!,#VALUE!,#VALUE!
ABLV,Able View Global Inc.,1.11,undefined,-0.05,N/A,undefined,7.006369,11.71231626,4.79,57541952,2323667,9010336,-45318576,0.182,11729475,2.055555556,1.925925926,1.04,0.54,0.0033,0.094772031,24518489,USD,China,54328912,none,-133.031,-10.44199372,undefined,undefined,Consumer Cyclical,Specialty Retail,N/A,0.26943,-0.040472044,-0.040240314,2.304143869,0.00023173,-1.150240314,-0.036252535
ABLVW,Able View Global Inc. Warrant,0.0195,undefined,N/A,N/A,undefined,0.12420382,undefined,N/A,N/A,2323667,9010336,N/A,0.182,11729475,1.031746032,1,0.0189,0.0189,N/A,undefined,N/A,USD,China,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,-1.515150982,#VALUE!,#VALUE!,#VALUE!
ABNB,"Airbnb, Inc.",141.2,96.4224,4.05,21.26,0.682878187,10.9506,18.49318324,3.47,74331897856,3191000064,12005000192,-71406173184,20.227,2534000128,1.274253226,1.258911651,139.5,110.81,0.0357,7.635245819,417930233,USD,United States,83411173376,buy,28.382,2.077745242,181.7799325,1.287393289,Consumer Cyclical,Travel Services,N/A,0.011390001,65.45592988,72.19449225,5.59377708,6.738562369,-69.00550775,0.511292438
ABNG,Leverage Shares 2x Long ABNB Da,17.71,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.414875769,1.397371575,17.4909,12.517,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,10.72210145,#VALUE!,#VALUE!,#VALUE!
ABOS,"Acumen Pharmaceuticals, Inc.",2.29,-36.704,-1.85,16.3,-16.0279476,1.8579687,-2.452835859,N/A,68164160,-67432624,128398000,-34114064,1.778,31161000,2.081818182,2.009181818,2.2101,1.1,0.0376,-0.933613226,72227580,USD,United States,162512064,strong_buy,-0.595,-0.038686606,-18.52288641,-8.088596687,Healthcare,Biotechnology,N/A,0.068280004,-98.15434847,-9.710883254,1.67E-06,88.44346522,-12.00088325,-4.240560373
ABSI,Absci Corporation,7,-13.47424,-0.82,12.04,-1.924891429,6.485998,-26.31285108,N/A,970045376,-41475376,125705000,-993693272,0.806,4415000,3.125,3.089285714,6.92,2.24,0.256,-0.266029705,155905056,USD,United States,1119398272,strong_buy,-8.331,-0.541677503,-4.371400107,-0.62448573,Healthcare,Biotechnology,N/A,0.13065,-2.273112215,-1.473663481,-4.632154571,0.799448734,-8.473663481,-0.210523354
ABTS,Abits Group Inc,1.14,undefined,-1.21,N/A,undefined,0.34135935,-3.501712017,-10.1,5172262,-964114,83837,-3232983,0.028,1875000,1.5,1.447368421,1.1,0.76,0.0359,-0.325555041,2961447,USD,Hong Kong,3316820,none,4.526,0.35581761,undefined,undefined,Financial Services,Capital Markets,N/A,0.23813999,-0.227765006,-0.227766219,-47.70642362,-1.21334E-06,-1.367766219,-0.199794929
ABTC,American Bitcoin Corp.,0.8348,undefined,-0.13,N/A,undefined,1.2847561,undefined,0.17,1076587392,N/A,13268000,-1499758688,0.012,202452000,1.084155844,1.078051948,0.8301,0.77,0.023,undefined,330788302,USD,United States,1513026688,none,-8.616,-0.677358491,undefined,undefined,Financial Services,Capital Markets,N/A,0.02103,-0.648388423,-0.606174278,-8.665205352,0.042214146,-1.440974278,-0.726131143
ABUS,Arbutus Biopharma Corporation,4.39,undefined,0.83,N/A,undefined,3.35352,-9.592112929,N/A,775873536,-90406624,95226000,-779866032,0.482,3909000,1.444078947,1.432565789,4.355,3.04,0.1279,-0.457667673,197537710,USD,United States,875092032,strong_buy,5.001,0.325162549,undefined,undefined,Healthcare,Biotechnology,N/A,0.20459,-0.694897567,-0.52521862,0.919542442,0.169678947,-4.91521862,-0.119639777
ABVC,"ABVC Biopharma, Inc.",1.29,undefined,-0.39,N/A,undefined,3.1627908,29.00622938,N/A,37182676,1156323,202509,-35158091,0.008,2731219,1.465909091,1.477272727,1.3,0.88,0.012200001,0.044473205,26000442,USD,United States,35360600,none,-4.644,-0.301950585,undefined,undefined,Healthcare,Biotechnology,N/A,0.18569,-0.144003817,-0.098789944,-10.41667023,0.045213873,-1.388789944,-0.076581352
ACAA,Averin Capital Acquisition Corp,9.96,undefined,N/A,N/A,undefined,N/A,undefined,N/A,356072224,N/A,396057,-355358599,0.011,0,1.041841004,1.042887029,9.97,9.56,0.0002,undefined,28586008,USD,United States,355754656,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,N/A,N/A,N/A,0.302111721,#VALUE!,#VALUE!,#VALUE!
ABVX,Abivax SA,97.5,-312.3116,-5.35,64.47,-3.203195897,15.948819,-67.94327276,N/A,7273549824,-114471872,491552000,-7497432832,6.199,34211000,17.13532513,16.87170475,96,5.69,0.0388,-1.435020658,79770191,EUR,France,7988984832,buy,-28.636,-1.86189857,-83.77076595,-0.859187343,Healthcare,Biotechnology,N/A,0,-73.808266,-5.966516082,-7.080911354,67.84174992,-103.4665161,-0.061195037
ACAAU,Averin Capital Acquisition Corp,10.01,undefined,N/A,N/A,undefined,N/A,undefined,N/A,356785856,N/A,396057,N/A,0.011,0,1.006030151,1.006030151,10.01,9.95,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.00794,N/A,N/A,-0.398011841,#VALUE!,#VALUE!,#VALUE!
ACAAW,Averin Capital Acquisition Corp. Warrants,0.55,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,396057,N/A,0.011,0,1.018518519,1,0.54,0.54,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,-2.17E-06,#VALUE!,#VALUE!,#VALUE!
ACAD,ACADIA Pharmaceuticals Inc.,20.94,-10.608,2.21,-14.5,-0.506590258,2.9609323,23.26269059,N/A,2785015040,154138624,851457984,-2847236928,4.972,50794000,1.063484002,1.062468258,20.92,19.69,0.1089,0.900153829,171235870,USD,United States,3698694912,none,30.041,1.953250975,-4.320738378,-0.206338987,Healthcare,Biotechnology,N/A,0.00322,-1.235428565,-1.277661101,-3.591157173,-0.042232536,-22.2176611,-0.061015334
ACB,Aurora Cannabis Inc.,3,undefined,-0.74,N/A,undefined,0.43140873,20.68041322,N/A,92782440,8985625,116903000,-63968072,1.887,23859000,1.098901099,1.06959707,2.92,2.73,N/A,0.1450648,61942146,CAD,Canada,180871072,buy,-2.815,-0.215214067,undefined,undefined,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,0,-0.419730394,-0.342674988,-14.5299143,0.077055406,-3.342674988,-0.114224996
ACCL,Acco Group Holdings Limited,1.64,undefined,0.07,N/A,undefined,9.771429,12.26752161,N/A,20547710,1864911,2522104,-21332226,0.181,273814,1.333333333,1.308943089,1.61,1.23,0.0163,0.133686335,13949900,USD,Hong Kong,23854330,none,18.847,1.694874101,undefined,undefined,Industrials,Consulting Services,N/A,0.92156,N/A,N/A,25.19084516,#VALUE!,#VALUE!,#VALUE!
ACDC,ProFrac Holding Corp.,6.56,-114.97152,-2.57,47.42,-17.52614634,1.8757328,7.609779082,N/A,2531540224,155962496,33500000,-1124392864,0.185,1210599936,2.12987013,2.076298701,6.395,3.08,0.0395,0.862048678,180920753,USD,United States,1157892864,none,12.709,1.288945233,38.56460967,5.878751474,Energy,Oil & Gas Equipment & Services,N/A,0.84498,0.061770131,0.053631854,-18.61042607,-0.008138277,-6.506368146,0.008175588
ACGC,ACP Holdings Acquisition Corp.,9.94,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,218196,1.004040404,1.004040404,9.94,9.9,0.0116,undefined,21946600,USD,United States,294355872,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,0.01982,N/A,N/A,0.100701858,#VALUE!,#VALUE!,#VALUE!
ACFN,"Acorn Energy, Inc.",16.5,undefined,0.77,N/A,undefined,5.133114,38.93344967,N/A,38199256,1063000,4257000,-38784708,1.697,1001000,1.328502415,1.373590982,17.06,12.42,0.0071,0.423800103,2508258,USD,United States,43041708,none,27.862,1.090489237,undefined,undefined,Technology,Scientific & Technical Instruments,N/A,0.29279,-6.971753641,-7.117451862,-1.197609304,-0.145698221,-23.61745186,-0.431360719
ACET,"Adicet Bio, Inc.",7.76,undefined,-13.87,N/A,undefined,0.55502266,-1.495525099,N/A,-51151688,-48506248,137592000,61871288,14.718,13898000,1.291181364,1.296173045,7.79,6.01,0.0556,-5.188812948,9348236,USD,United States,75720712,strong_buy,0.475,0.030884265,undefined,undefined,Healthcare,Biotechnology,N/A,0.00911,-65.9903135,-23.25817924,-4.785271617,42.73213427,-31.01817924,-2.997188046
ACEP,ARS Core Equity Portfolio ETF,20.34,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.315653299,1.30465718,20.17,15.46,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A,0.474217157,#VALUE!,#VALUE!,#VALUE!
ACGCU,ACP Holdings Acquisition Corp.,10.09,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,218196,1.015090543,1.015090543,10.09,9.94,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Financial Services,Shell Companies,N/A,N/A,N/A,N/A,-1.51E-06,#VALUE!,#VALUE!,#VALUE!
ACGCW,N/A,0.33,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,218196,1.32,1.32,0.33,0.25,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,,,N/A,N/A,N/A,N/A,17.85714236,#VALUE!,#VALUE!,#VALUE!
ACGL,Arch Capital Group Ltd.,92.58,116.896,13,2.74,1.26264852,1.389984,6.130727936,Not Found!,32153905152,5276125184,3620999936,-28652119296,10.406,2728999936,1.122862341,1.112189206,91.7,82.45,0.0295,15.10098001,349389588,USD,Bermuda,32273119232,buy,5.453,0.553604061,135.7880122,1.466710005,Financial Services,Insurance - Diversified,N/A,0.026199998,133.6091056,132.5151795,4.799642108,-1.093926057,39.93517955,1.431358604
ACGLN,Arch Capital Group Ltd. - Depos,16.2,undefined,4.691,N/A,undefined,0.24121949,undefined,N/A,5582221312,5276125184,3620999936,N/A,10.406,2728999936,1.010605115,1,16.03,16.03,N/A,undefined,N/A,USD,Bermuda,N/A,none,0.947,0.096142132,undefined,undefined,Financial Services,Insurance - Diversified,N/A,N/A,N/A,N/A,-1.459857216,#VALUE!,#VALUE!,#VALUE!
ACHC,"Acadia Healthcare Company, Inc.",24.99,-88.328,-12.2,0.55,-3.534533814,1.0891732,-10.59513034,N/A,5042383872,-216916256,158472000,-2002752960,1.723,2692616960,2.186351706,2.053368329,23.47,11.43,0.38599998,-2.35863073,91967027,USD,United States,2161224960,buy,8.576,0.604795487,-17.07648648,-0.683332792,Healthcare,Medical Care Facilities,N/A,0.01546,20.64339479,21.11853975,-0.872665976,0.475144957,-3.871460249,0.845079622
ACGLO,Arch Capital Group Ltd. - Depos,19.165,undefined,4.691,N/A,undefined,0.28741685,1.463635873,N/A,6607019520,5276125184,3620999936,N/A,10.406,2728999936,1.007094062,1,19.03,19.03,N/A,13.09410377,402939008,USD,Bermuda,N/A,none,1.12,0.113705584,undefined,undefined,Financial Services,Insurance - Diversified,N/A,0,N/A,N/A,-2.119509322,#VALUE!,#VALUE!,#VALUE!
