TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,EV/EBITDA RATIO,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY,RSI,INSIDER OWNERSHIP,PRESENT VALUE,DILLUTED PRESENT VALUE
ABL,"Abacus Global Management, Inc.",8.31,1.155410447761194,0.05,19.65,0.1390385617041148,1.8547662,19.54638228789672,1.38,1139520000,41558904,86418952,-720042104,0.884,414477824,1.8065217391304351,1.7760869565217392,8.17,4.6,0.5736,0.4251426109242538,97752855,USD,United States,806461056,strong_buy,15.808,1.5792207792207793,9.824284289007105,1.1822243428408068,Financial Services,Insurance - Life,73.26,0.61691004,28.461273361524874,-47.12524073374952
ABIG,Argent Large Cap ETF,31.79,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.272108843537415,1.266106442577031,31.64,24.99,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
ABLV,Able View Global Inc.,0.8161,undefined,-0.19,N/A,undefined,4.255102,5.554593213940602,3.31,46404972,3602341,6283350,-34907846,0.127,11497127,1.383220338983051,1.3559322033898307,0.8,0.59,0.0022,0.14692345029907838,24518489,USD,China,41191196,none,-5.862,-0.4099300699300699,undefined,undefined,Consumer Cyclical,Specialty Retail,51.66,0.26943,-0.052694363450113794,-0.05289451718636685
ABLVW,Able View Global Inc. Warrant,0.0235,undefined,N/A,N/A,undefined,0.14642857,undefined,N/A,N/A,3602341,6283350,N/A,0.127,11497127,1.0585585585585584,1.0,0.0222,0.0222,N/A,undefined,N/A,USD,China,N/A,none,N/A,undefined,undefined,undefined,Consumer Cyclical,Specialty Retail,N/A,N/A,N/A,N/A
ABNB,"Airbnb, Inc.",131.81,83.09104477611942,4.2,15.60,0.6303849842661362,9.322082,17.33596704368469,4.32,70638231552,3233625088,11683999744,-69137223680,19.269,2278000128,1.3196836203444133,1.3132759311173408,131.17,99.88,0.041199997,7.6032677997052955,425294120,USD,United States,80821223424,hold,25.584,1.9470319634703195,150.41987266431894,1.1411871076877242,Consumer Cyclical,Travel Services,70.33,0.01497,N/A,N/A
ABLLL,"Abacus Global Management, Inc. ",25.3413,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.2349561403508773,1.2353801169590644,25.35,20.52,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
ABPWW,N/A,0.02,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,6366625,328000,N/A,0.121,147000,1.4184397163120568,1.0,0.0141,0.0141,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Healthcare,Biotechnology,N/A,N/A,N/A,N/A
ABNG,Leverage Shares 2x Long ABNB Da,16.93,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3525605176959337,1.36614204681633,17.1,12.517,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
ABP,"Abpro Holdings, Inc",5.77,undefined,-8.25,N/A,undefined,N/A,2.46173193175348,N/A,13895064,6366625,328000,-13199064,0.121,147000,1.2653508771929824,1.006578947368421,4.59,4.56,0.0189,2.343878277554801,2716278,USD,United States,13527064,none,-1.494,-0.09732899022801303,undefined,undefined,Healthcare,Biotechnology,36.35,0.34934,N/A,N/A
ABOS,"Acumen Pharmaceuticals, Inc.",2.06,-39.8030895522388,-2.21,13.44,-19.321888132154758,1.3548387,-1.5803196471446934,N/A,31431192,-78959504,126609000,-595184,2.09,30836000,2.409356725146199,2.3391812865497075,2.0,0.855,0.0128,-1.3035337526316202,60573425,USD,United States,127204184,strong_buy,-0.227,-0.01478827361563518,-23.477226556725014,-11.396711920740298,Healthcare,Biotechnology,58.10,0.070310004,-91.17242686937604,-5.003478196118896
ABSI,Absci Corporation,3.39,-10.159402985074626,-0.91,5.10,-2.99687403689517,2.5266905,-13.367628564429172,5.03,387563936,-38133876,152475008,-381343936,1.014,6220000,1.6865671641791047,1.666666666666667,3.35,2.01,0.2532,-0.2535977105932372,150371531,USD,United States,533818944,strong_buy,-3.674,-0.2393485342019544,-2.8312102615483794,-0.8351652688933272,Healthcare,Biotechnology,52.23,0.09283,-1.17390403384164,-0.7787078694071344
ABTC,American Bitcoin Corp.,1.65,undefined,0.18,N/A,undefined,2.6399999,undefined,2.04,1708186240,N/A,7976000,-1522572224,0.009,185614000,2.619047619047619,2.4761904761904763,1.56,0.63,N/A,undefined,195380091,USD,United States,1530548224,strong_buy,7.636,0.6460236886632825,undefined,undefined,Financial Services,Capital Markets,18.42,0.01426,N/A,N/A
ABTS,Abits Group Inc,5.69,undefined,-0.52,N/A,undefined,1.2722706,-6.000446542593191,-1.26,16824248,-2247378,145143,-13055735,0.061,2625000,22.76,22.28,5.57,0.25,0.027999999,-0.948262760048017,2369995,USD,Hong Kong,13200878,none,12.084,1.0223350253807106,undefined,undefined,Financial Services,Capital Markets,43.68,0.28069,-0.054780400604818445,-0.05298913871479878
ABUS,Arbutus Biopharma Corporation,4.95,undefined,-0.23,N/A,undefined,11.389579,-39.173890385564974,6.19,793671232,-24302000,93702000,-789065232,0.487,4606000,1.826568265682657,1.6863468634686347,4.57,2.71,0.082600005,-0.12635967352948957,192324017,USD,United States,882767232,strong_buy,-25.878,-1.6858631921824105,undefined,undefined,Healthcare,Biotechnology,52.53,0.21802999,-1.7015357970306835,-0.9118459214508531
ABVEW,Above Food Ingredients Inc. War,0.35,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,664430,N/A,0.023,133839864,0.9722222222222222,1.0,0.36,0.36,N/A,undefined,N/A,CAD,Canada,N/A,none,N/A,undefined,undefined,undefined,Consumer Defensive,Packaged Foods,N/A,N/A,N/A,N/A
ABVE,Above Food Ingredients Inc.,1.755,undefined,-1.75,N/A,undefined,N/A,undefined,0.27,185390304,N/A,664430,-93016658,0.023,133839864,7.02,7.0,1.75,0.25,0.0139,undefined,51191848,CAD,Canada,93681088,none,-4.595,-0.4077196095829636,undefined,undefined,Consumer Defensive,Packaged Foods,38.04,0.15996,N/A,N/A
ABVC,"ABVC Biopharma, Inc.",2.067,undefined,-0.28,N/A,undefined,4.007782,-32.53368535035808,-1.19,53205156,-1543949,257243,-49802997,0.011,2472189,5.1675,4.9125,1.965,0.4,0.0175,-0.06353414861366913,24301089,USD,United States,50060240,none,-10.903,-0.7102931596091205,undefined,undefined,Healthcare,Biotechnology,30.14,0.11366,-0.05288376177562397,-0.04334020020813097
ABVX,Abivax SA,117.91,-45.24923880597015,-5.21,2.08,-0.383760824408194,13.471327,-50.999411144173216,N/A,7579643392,-180175376,589702976,-8167169216,8.084,73988000,24.719077568134175,22.756813417190777,108.55,4.77,0.035,-2.311987478966636,77930948,EUR,France,8756872192,strong_buy,-35.07,-2.2846905537459286,-20.07978379120426,-0.17029754720722806,Healthcare,Biotechnology,45.84,0.0,-92.07972068060162,-5.587097266701944
ACAD,ACADIA Pharmaceuticals Inc.,27.26,7.252611940298509,1.55,-2.80,0.2660532626668565,4.941914,178.85965993484587,6.50,3741862656,25785000,847019008,-3687053824,5.007,54809000,2.0343283582089553,1.9847014925373132,26.595,13.4,0.0825,0.15240999569120361,169181817,USD,United States,4534072832,buy,34.501,2.2476221498371336,0.7131422932715273,0.026160759107539518,Healthcare,Biotechnology,64.48,0.00543,-2.751851479267981,-2.867003854646472
ACCL,Acco Group Holdings Limited,3.58,undefined,0.07,N/A,undefined,19.231428,26.77910205902587,19.75,44532160,1864911,2522104,-44426284,0.181,273814,1.7047619047619047,1.5857142857142856,3.33,2.1,0.0015,0.13368633466906574,13949900,USD,Hong Kong,46948388,none,40.847,3.036951672862454,undefined,undefined,Industrials,Consulting Services,36.74,0.78943,N/A,N/A
ACB,Aurora Cannabis Inc.,5.12,-38.58594776119403,-0.73,55.89,-7.536317922108209,0.8099434,27.061111547183913,-9.73,353407936,10704125,95689000,-217172408,1.688,100336000,1.4962010520163647,1.4406779661016949,4.93,3.422,N/A,0.18920139296838337,56575297,CAD,Canada,312861408,buy,-106.224,-6.983826429980276,10.000705569072856,1.9532628064595423,Healthcare,Drug Manufacturers - Specialty & Generic,67.28,0.0,N/A,N/A
ACDC,ProFrac Holding Corp.,4.16,6.727402985074627,-2.08,-12.44,1.6171641791044775,0.8158557,5.731663464330604,0.49,2012388864,131275000,58000000,-645588928,0.321,1207500032,1.3506493506493507,1.2256493506493507,3.775,3.08,0.1263,0.7257927870135067,180871183,USD,United States,703588928,underperform,7.009,0.9055555555555556,-2.347452193221297,-0.5642913926012733,Energy,Oil & Gas Equipment & Services,45.94,0.84309995,-1.7401992281998488,49.10789922713215
ACEP,ARS Core Equity Portfolio ETF,16.335,undefined,N/A,N/A,undefined,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0565976714100906,1.0485122897800776,16.21,15.46,N/A,undefined,N/A,N/A,N/A,N/A,N/A,N/A,undefined,undefined,undefined,N/A,N/A,N/A,N/A,N/A,N/A
ACET,"Adicet Bio, Inc.",0.495,-30.99906716417911,-1.25,21.71,-62.62437810945275,0.39075628,-1.3037312262837697,N/A,-12371075,-58188000,103098000,31834152,0.638,15536000,1.1073825503355705,1.0324384787472036,0.4615,0.447,0.0825,-0.3796794845598478,153255581,USD,United States,71263848,strong_buy,0.108,0.007035830618892508,-9.4157678741853,-19.021753281182427,Healthcare,Biotechnology,28.77,0.01464,-4.748022748312764,-1.6201908278056134
ACGL,Arch Capital Group Ltd.,95.72,98.3630671641791,10.67,2.73,1.0276124860444955,1.5273982,5.190363506243203,,34596687872,6687499776,3475000064,-32197395712,9.623,2728000000,1.1609460278956942,1.152395391146149,95.015,82.45,0.0199,18.441868259296996,362625938,USD,Bermuda,35672395776,buy,6.903,0.6916833667334669,170.00925269186254,1.776110036479968,Financial Services,Insurance - Diversified,66.91,0.03186,211.97822185845484,274.14095158639
ACFN,"Acorn Energy, Inc.",15.63,undefined,2.66,N/A,undefined,5.1780725,29.57024219053914,-4.24,34083604,1323875,4167000,-32976604,1.664,1046000,1.2584541062801933,1.1932367149758454,14.82,12.42,0.0175,0.5285719304998031,2504626,USD,United States,37143604,none,12.765,0.6888828926065839,undefined,undefined,Technology,Scientific & Technical Instruments,41.25,0.29247,-2.540904074727821,-2.562714812524107
ACGLN,Arch Capital Group Ltd. - Depos,16.97,undefined,4.691,N/A,undefined,0.2716653,undefined,N/A,6221655552,6687499776,3475000064,N/A,9.623,2728000000,1.0322384428223843,1.0279805352798053,16.9,16.44,N/A,undefined,N/A,USD,Bermuda,N/A,none,1.241,0.12434869739478958,undefined,undefined,Financial Services,Insurance - Diversified,N/A,N/A,N/A,N/A
ACGLO,Arch Capital Group Ltd. - Depos,20.6,undefined,4.691,N/A,undefined,0.33111206,1.2412028176193544,N/A,7564938240,6687499776,3475000064,-8606604544,9.623,2728000000,1.0305152576288146,1.0285142571285644,20.56,19.99,N/A,16.59680409001255,402939008,USD,Bermuda,12081604608,none,1.509,0.15120240480961922,undefined,undefined,Financial Services,Insurance - Diversified,N/A,0.0,N/A,N/A
ACHC,"Acadia Healthcare Company, Inc.",14.22,-4.580268656716418,1.16,-13.31,-0.32210046812351745,0.41820025,-3.5566238030481476,1.03,3832770304,-361611872,118693000,-1213868408,1.287,2450544896,1.1258907363420427,1.1179730799683292,14.12,12.63,0.1866,-3.9981737702517135,90444261,USD,United States,1332561408,buy,6.115,0.36660671462829736,15.786818968956583,1.1101841750321084,Healthcare,Medical Care Facilities,36.43,0.01836,53.617816921670126,60.72560589885501
ACHV,"Achieve Life Sciences, Inc.",4.49,undefined,-1.35,N/A,undefined,6.8867927,-10.987937577345654,N/A,195008864,-21753000,48114000,-185050880,0.904,9958000,2.4402173913043477,2.358695652173913,4.34,1.84,0.1399,-0.408629915158714,53233988,USD,United States,233164880,strong_buy,-3.742,-0.2437785016286645,undefined,undefined,Healthcare,Biotechnology,45.86,0.04291,-1.848236940203497,-0.8995787020792303
ACIC,American Coastal Insurance Corp,12.82,10.225074626865672,1.73,-1.30,0.7975877244044985,1.7273463,6.889849584958893,,544646656,90738000,188275008,-436408576,4.357,159190000,1.2858575727181545,1.2743731193580743,12.7055,9.97,0.057800002,1.8607082552262262,48765302,USD,United States,624683584,none,4.347,0.4614649681528663,10.997618941337098,0.8578485913679483,Financial Services,Insurance - Property & Casualty,67.15,0.48719,-11.752273074539746,-12.976547108112973
ACIW,"ACI Worldwide, Inc.",46.67,46.777007462686576,2.47,14.57,1.002292853282335,3.3542757,17.697096043224384,3.65,5678725632,271859136,199268000,-4759111008,1.933,924614976,1.153770086526576,1.157231149567367,46.81,40.45,0.0596,2.637155829748031,103088006,USD,United States,4958379008,none,14.756,0.6213052631578947,49.942614545907304,1.0701224458090273,Technology,Software - Infrastructure,55.52,0.0114,25.19625347707415,42.39233785671692
ACIU,AC Immune SA,3.24,undefined,-0.9,N/A,undefined,4.2314715,-17.65127330327769,-3.14,228133328,-18465750,108468000,-222505984,1.075,4661000,2.265734265734266,2.2412587412587412,3.205,1.43,0.0388,-0.18355616302186878,100600000,CHF,Switzerland,330973984,strong_buy,-3.184,-0.20742671009771987,undefined,undefined,Healthcare,Biotechnology,58.02,0.38006002,-1.7398309134734633,-2.3413974929341848
ACLS,"Axcelis Technologies, Inc.",87.26,-4.141910447761193,4.24,-9.69,-0.04746631271786835,2.622911,43.09590309620603,7.07,2298938112,62766624,449560000,-2262516032,14.502,72653000,2.1599009900990103,2.0893564356435643,84.41,40.4,0.1926,2.024786435156106,30999133,USD,United States,2712076032,none,15.503,0.5985714285714286,-1.9779443609099567,-0.02266725144292868,Technology,Semiconductor Equipment & Materials,52.09,0.012200001,12.015995832368628,12.47739037026617
ACLX,"Arcellx, Inc.",68.34,-40.90719402985074,-3.93,4.18,-0.5985834654645996,8.694455,-50.73792096598595,8.88,3425801984,-77882872,461383008,-3374008224,7.979,51794000,1.427914751358128,1.3707166736314251,65.6025,47.86,0.1522,-1.3469215667274632,57822871,USD,United States,3835391232,strong_buy,-14.533,-0.9467752442996743,-14.020046278145266,-0.20515139417830355,Healthcare,Biotechnology,33.45,0.12812,-3.768029034084203,-2.7300483177137425
ACMR,"ACM Research, Inc.",37.73,21.36265671641791,1.72,6.63,0.5661981637004482,1.6818367,-45.45003226139109,3.06,2029282432,-49687876,1129806976,-1279704448,17.415,297044000,2.5759541202976717,2.509046221069161,36.75,14.647,0.077199996,-0.8301424250484173,59854640,USD,United States,2409511424,none,14.118,0.5450965250965252,-10.310492820955828,-0.2732704166699133,Technology,Semiconductor Equipment & Materials,55.57,0.15001,-3.8941756078006207,-4.3453045622164
ACNB,ACNB Corporation,52.61,53.4688656716418,3.33,11.06,1.0163251410690326,1.3393357,undefined,,782241472,N/A,107345000,-442309592,10.337,344280000,1.4736694677871147,1.456442577030812,51.995,35.7,0.0135,undefined,10384812,USD,United States,549654592,buy,N/A,undefined,undefined,undefined,Financial Services,Banks - Regional,74.11,0.03686,13.841197324787458,14.36418051625892
ACOG,Alpha Cognition Inc.,5.01,undefined,-1.38,N/A,undefined,2.6042166,-9.604972798181713,2.68,82769496,-11340786,35398900,-82769436,1.628,0,1.3359999999999999,1.3333333333333333,5.0,3.75,0.005,-0.521604808807832,21742104,USD,Canada,118168336,strong_buy,-4.79,-0.31205211726384363,undefined,undefined,Healthcare,Biotechnology,39.20,0.096420005,-1.0196727794339742,-0.5652099979440015
ACON,"Aclarion, Inc.",6.11,undefined,-2258.79,N/A,undefined,0.2813883,-0.9915077596960852,-3.34,-7325258,-4137211,11380339,7325259,16.951,0,1.100900900900901,1.0810810810810811,6.0,5.55,0.025899999,-6.162332004212276,671371,USD,United States,4055080,none,1.102,0.07068633739576652,undefined,undefined,Healthcare,Health Information Services,43.89,4.0000003e-05,-68.81862039028384,-17.13098590541017
ACNT,Ascent Industries Co.,15.54,undefined,-0.32,N/A,undefined,1.6725863,3.246191577602802,5.40,108933208,44830752,58042000,-87536752,6.198,21446000,1.4442379182156133,1.433085501858736,15.42,10.76,0.026199998,4.7871481483775336,9364814,USD,United States,145578752,none,15.115,1.4818627450980393,undefined,undefined,Basic Materials,Chemicals,70.89,0.18133,5.859989543793947,5.2400185585219
ACONW,N/A,0.0454,undefined,-6.576,N/A,undefined,0.00185884,undefined,N/A,N/A,-4137211,11380339,N/A,16.951,0,1.1916010498687664,1.0,0.0381,0.0381,N/A,undefined,N/A,USD,United States,N/A,none,N/A,undefined,undefined,undefined,Healthcare,Health Information Services,N/A,N/A,N/A,N/A
